#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
312.765	314.57	Svensson_Links
320.949	322.43	Svensson_Links
338.556	339.14	Svensson_Links
344.807	344.97	Svensson_Links
349.927	349.66	Svensson_Links
352.845	352.45	Svensson_Links
370.087	369.5049909	Svensson_Links
371.943	371.46	Svensson_Links
384.13100000000003	384.93	Svensson_Links
387.279	388.27	Svensson_Links
388.03000000000003	388.99	Svensson_Links
388.708	389.63	Svensson_Links
389.357	390.31	Svensson_Links
393.008	394.31	Svensson_Links
400.284	402.25	Svensson_Links
404.13920631263164	406.4	Svensson_Links
417.1	419.62	Svensson_Links
421.883	424.34	Svensson_Links
423.062	425.66	Svensson_Links
427.105	429.97	Svensson_Links
438.08	441.82	Svensson_Links
451.532	457.02	Svensson_Links
454.0	459.74	Svensson_Links
460.42	466.98	Svensson_Links
463.53	470.87	Svensson_Links
473.69709690197794	482.85	Svensson_Links
478.86775318871827	488.79	Svensson_Links
486.1	496.84	Svensson_Links
492.5	503.93	Svensson_Links
499.209065483871	511.4	Svensson_Links
502.75	515.14	Svensson_Links
514.7724498692241	528.65	Svensson_Links
526.45	542.01	Svensson_Links
540.32	557.82	Svensson_Links
541.95651	559.708053097345	Svensson_Links
544.8	562.96	Svensson_Links
547.36	565.86	Svensson_Links
553.1	572.46	Svensson_Links
553.32	572.75	Svensson_Links
561.376	582.17	Svensson_Links
562.58	583.68	Svensson_Links
564.41	585.87	Svensson_Links
568.22	590.34	Svensson_Links
569.95	592.29	Svensson_Links
571.2	593.97	Svensson_Links
571.93	594.9	Svensson_Links
579.0	602.98	Svensson_Links
586.28	611.23	Svensson_Links
593.45	619.782267428027	Svensson_Links
598.86	626.30515108256	Svensson_Links
606.98	635.89	Svensson_Links
613.2	643.53	Svensson_Links
616.0	646.95	Svensson_Links
626.54	659.48	Svensson_Links
632.28	666.29	Svensson_Links
636.42	671.04	Svensson_Links
644.76	681.01	Svensson_Links
645.9	682.43	Svensson_Links
661.85	701.01	Svensson_Links
666.38	706.27	Svensson_Links
670.99	711.59	Svensson_Links
673.1726553966189	714.22	Svensson_Links
677.14	718.91	Svensson_Links
679.52	721.68	Svensson_Links
686.23	729.35	Svensson_Links
