#Includes DF-EDC99 links from Supplemental C of Fujita et al. 2015 (Clim. Past)
depth1	depth2	age_unc	comment
12.11	11.26	10	
12.55	11.68	10	
19.55	18.9	10	
21.09	20.38	10	
22.03	21.41	10	
22.89	22.38	10	
29.59	28.92	10	
36.87	36.68	10	
37.19	37.08	10	
37.41	37.4	10	
37.91	37.83	10	
39.05	38.96	10	
60.21	60.39	10	
63.53	63.72	10	
65.15	65.45	10	
68.95	69.21	10	
73.43	73.78	10	
74.65	75.13	10	
75.65	76.12	10	
76.71	77.21	10	
77.87	78.35	10	
87.39	88.11	10	
96.85	97.65	10	
99.73	100.48	10	
119.49	120.82	10	
121.99	123.36	10	
125.01	126.37	10	
130.53	131.76	10	
133.56	134.86	10	
140.02	141.33	10	
141.28	142.59	10	
151.32	152.69	10	
156.56	157.93	10	
159.96	161.33	10	
169.26	171.08	10	
174.5	176.53	10	
185.82	188.23	10	
189.66	191.89	10	
190.08	192.41	10	
198.54	201.1	10	
208.54	211.26	10	
209.74	212.41	10	
212.94	215.7	10	
213.82	216.5	10	
215.78	218.53	10	
218.8	221.54	10	
232.56	235.57	10	
234.26	237.29	10	
243.12	246.26	10	
249.1	252.32	10	
251.24	254.38	10	
259.32	262.59	10	
260.54	263.88	10	
263.02	266.37	10	
264.0	267.44	10	
270.38	274.03	10	
276.98	280.43	10	
283.04	286.39	10	
283.52	286.91	10	
289.98	293.17	10	
302.36	304.72	10	
303.52	305.7	10	
304.28	306.42	10	
305.52	307.74	10	
306.36	308.71	10	
308.48	310.71	10	
310.94	312.81	10	
312.7	314.57	10	
313.64	315.48	10	
317.3	319.0	10	
318.58	320.19	10	
320.92	322.43	10	
321.94	323.26	10	
322.39	323.65	10	
325.14	326.35	10	
338.52	339.14	10	
339.26	339.87	10	
342.36	342.6	10	
342.66	342.91	10	
343.58	343.8	10	
344.76	344.79	10	
348.54	348.49	10	
349.92	349.66	10	
350.62	350.37	10	
352.82	352.45	10	
371.92	371.46	10	
372.1	371.64	10	
379.32	379.46	10	
384.12	384.93	10	
385.16	385.99	10	
385.9	386.77	10	
387.26	388.27	10	
388.0	388.99	10	
389.36	390.31	10	
