#Includes EDML-EDC ice stratigraphic links from AICC2012. EDC96->99 by F Parrenin.
depth1	depth2	reference
8.17	17.19	AICC2012_Links
12.16	24.94	AICC2012_Links
23.051	46.1	AICC2012_Links
29.64	59.11	AICC2012_Links
37.94	75.38	AICC2012_Links
39.05	77.67	AICC2012_Links
41.24	82.32	AICC2012_Links
60.28	117.725	AICC2012_Links
64.045	125.243	AICC2012_Links
65.151	127.65	AICC2012_Links
67.034	130.917	AICC2012_Links
68.977	134.69	AICC2012_Links
73.39	143.59	AICC2012_Links
74.685	146.22	AICC2012_Links
75.591	148.233	AICC2012_Links
76.647	150.413	AICC2012_Links
77.813	152.857	AICC2012_Links
78.699	154.75	AICC2012_Links
79.277	155.98	AICC2012_Links
83.67	164.4	AICC2012_Links
84.059	165.22	AICC2012_Links
84.866	167.01	AICC2012_Links
95.764	190.64	AICC2012_Links
96.84	192.75	AICC2012_Links
126.33	256.47	AICC2012_Links
126.61	257.09	AICC2012_Links
130.54	265.78	AICC2012_Links
133.61	272.31	AICC2012_Links
135.38	276.3	AICC2012_Links
139.762	285.7	AICC2012_Links
140.04	286.3	AICC2012_Links
141.3	289.31	AICC2012_Links
142.826	292.44	AICC2012_Links
144.66	296.29	AICC2012_Links
156.535	322.34	AICC2012_Links
159.99	329.71	AICC2012_Links
163.976	338.1	AICC2012_Links
169.29	349.69	AICC2012_Links
175.91	363.66	AICC2012_Links
208.58	429.16	AICC2012_Links
209.73	431.26	AICC2012_Links
213.771	438.98	AICC2012_Links
215.749	442.63	AICC2012_Links
218.812	448.28	AICC2012_Links
232.57	473.98	AICC2012_Links
234.427	477.15	AICC2012_Links
243.13	493.58	AICC2012_Links
251.22	508.32	AICC2012_Links
253.766	512.77	AICC2012_Links
259.31	523.07	AICC2012_Links
264.03	531.88	AICC2012_Links
270.42	543.65	AICC2012_Links
283.0	565.03	AICC2012_Links
290.034	576.69	AICC2012_Links
291.224	578.33	AICC2012_Links
293.996	582.64	AICC2012_Links
