#Includes EDML-EDC links from Ruth et al. 2007 and Severi et al. 2007, original file with interpolated EDC96 depths to EDC99
depth1	depth2	reference
12.160086107921929	24.94	Severi2007_Ruth2007
23.051257175660158	46.1	Severi2007_Ruth2007
29.639761336515512	59.11	Severi2007_Ruth2007
37.94008849557522	75.38	Severi2007_Ruth2007
39.04982300884956	77.67	Severi2007_Ruth2007
41.24028639618139	82.32	Severi2007_Ruth2007
60.27973362326719	117.725	Severi2007_Ruth2007
64.04534927969557	125.24333333333334	Severi2007_Ruth2007
65.15112530578962	127.65	Severi2007_Ruth2007
67.0339331340038	130.91666666666666	Severi2007_Ruth2007
68.97651263930416	134.69	Severi2007_Ruth2007
73.38965479749932	143.59	Severi2007_Ruth2007
74.68470780103289	146.22	Severi2007_Ruth2007
75.5912449035064	148.23333333333335	Severi2007_Ruth2007
76.64721119869529	150.41333333333333	Severi2007_Ruth2007
77.81275890187551	152.85666666666665	Severi2007_Ruth2007
78.69937211198695	154.75	Severi2007_Ruth2007
79.27716499048654	155.98	Severi2007_Ruth2007
83.67038325631965	164.4	Severi2007_Ruth2007
84.05889915737973	165.22	Severi2007_Ruth2007
84.86581679804294	167.01	Severi2007_Ruth2007
95.76418592008699	190.64	Severi2007_Ruth2007
96.84007610763796	192.75	Severi2007_Ruth2007
126.33	256.47	Severi2007_Ruth2007
126.61	257.09	Severi2007_Ruth2007
130.54000000000002	265.78	Severi2007_Ruth2007
133.6103370786517	272.31	Severi2007_Ruth2007
135.38	276.3	Severi2007_Ruth2007
139.7623829787234	285.7	Severi2007_Ruth2007
140.04	286.3	Severi2007_Ruth2007
141.300078125	289.31	Severi2007_Ruth2007
142.8255294117647	292.44	Severi2007_Ruth2007
144.66011764705883	296.29	Severi2007_Ruth2007
156.53487804878048	322.34	Severi2007_Ruth2007
159.99	329.71	Severi2007_Ruth2007
163.97621794871796	338.1	Severi2007_Ruth2007
169.28988059701493	349.69	Severi2007_Ruth2007
175.90994994994995	363.66	Severi2007_Ruth2007
208.58	429.16	Severi2007_Ruth2007
209.72985645933016	431.26	Severi2007_Ruth2007
213.771004784689	438.98	Severi2007_Ruth2007
215.74916230366492	442.63	Severi2007_Ruth2007
218.81180083482408	448.28	Severi2007_Ruth2007
232.57	473.98	Severi2007_Ruth2007
234.26999999999998	477.15	Severi2007_Ruth2007
243.13004587155962	493.58	Severi2007_Ruth2007
251.21985849056603	508.32	Severi2007_Ruth2007
253.76554726368158	512.77	Severi2007_Ruth2007
259.30981343283577	523.07	Severi2007_Ruth2007
264.0299376947041	531.88	Severi2007_Ruth2007
270.42012195121947	543.65	Severi2007_Ruth2007
283.000197368421	565.03	Severi2007_Ruth2007
290.03360952874164	576.69	Severi2007_Ruth2007
291.22422578974624	578.33	Severi2007_Ruth2007
293.99566027964784	582.64	Severi2007_Ruth2007
304.27968253968254	598.31	Severi2007_Ruth2007
305.57930463576156	600.41	Severi2007_Ruth2007
310.9395850622406	608.42	Severi2007_Ruth2007
312.7007650273224	611.2	Severi2007_Ruth2007
317.340350877193	618.14	Severi2007_Ruth2007
321.03403508771925	623.49	Severi2007_Ruth2007
321.9498245614035	624.94	Severi2007_Ruth2007
322.37484662576685	625.58	Severi2007_Ruth2007
325.1701226993865	629.89	Severi2007_Ruth2007
338.5599759036145	650.26	Severi2007_Ruth2007
339.2782409638554	651.35	Severi2007_Ruth2007
343.61036585365855	657.72	Severi2007_Ruth2007
349.9213089622641	667.05	Severi2007_Ruth2007
350.6336674528302	668.07	Severi2007_Ruth2007
352.8103183962264	671.25	Severi2007_Ruth2007
371.93326352530534	703.31	Severi2007_Ruth2007
377.0421640488656	712.255	Severi2007_Ruth2007
387.30999999999995	731.47	Severi2007_Ruth2007
388.68999999999994	733.62	Severi2007_Ruth2007
389.3299999999999	734.75	Severi2007_Ruth2007
392.99985655737703	741.25	Severi2007_Ruth2007
397.82147186147193	750.2	Severi2007_Ruth2007
400.3966582278481	754.72	Severi2007_Ruth2007
404.1399831578948	761.69	Severi2007_Ruth2007
421.89501894736844	793.2	Severi2007_Ruth2007
425.9615915789474	801.47	Severi2007_Ruth2007
427.8720689655173	805.33	Severi2007_Ruth2007
428.1795145631068	806.03	Severi2007_Ruth2007
429.22860139860137	808.23	Severi2007_Ruth2007
431.9501748251748	813.77	Severi2007_Ruth2007
438.09000000000003	825.99	Severi2007_Ruth2007
447.21999999999997	845.35	Severi2007_Ruth2007
450.48999999999995	852.35	Severi2007_Ruth2007
451.51	854.43	Severi2007_Ruth2007
453.97012048192767	859.65	Severi2007_Ruth2007
460.39	873.07	Severi2007_Ruth2007
463.48999999999995	879.86	Severi2007_Ruth2007
464.96	882.82	Severi2007_Ruth2007
471.59999999999997	896.77	Severi2007_Ruth2007
481.5	916.59	Severi2007_Ruth2007
494.69996512641677	940.82	Severi2007_Ruth2007
499.20603312990414	949.18	Severi2007_Ruth2007
500.8945597210114	952.25	Severi2007_Ruth2007
502.55311246730605	955.21	Severi2007_Ruth2007
502.7229642545772	955.6	Severi2007_Ruth2007
503.02270270270276	956.11	Severi2007_Ruth2007
504.3615344376635	958.25	Severi2007_Ruth2007
505.99011333914564	961.37	Severi2007_Ruth2007
510.0465736704447	968.87	Severi2007_Ruth2007
512.544394071491	972.71	Severi2007_Ruth2007
514.7824411508283	976.48	Severi2007_Ruth2007
521.5100000000001	988.3	Severi2007_Ruth2007
528.2800000000001	1001.4	Severi2007_Ruth2007
532.32	1008.8	Severi2007_Ruth2007
540.3600000000001	1024.18	Severi2007_Ruth2007
541.4399999999999	1026.45	Severi2007_Ruth2007
541.9499999999999	1027.58	Severi2007_Ruth2007
546.42	1037.16	Severi2007_Ruth2007
547.34	1038.99	Severi2007_Ruth2007
552.23	1049.49	Severi2007_Ruth2007
553.11	1051.35	Severi2007_Ruth2007
553.3199999999999	1051.81	Severi2007_Ruth2007
556.72	1059.06	Severi2007_Ruth2007
557.67	1061.17	Severi2007_Ruth2007
561.36	1069.71	Severi2007_Ruth2007
564.39	1076.93	Severi2007_Ruth2007
566.111224489796	1080.95	Severi2007_Ruth2007
567.5239795918367	1084.13	Severi2007_Ruth2007
568.2104591836735	1085.66	Severi2007_Ruth2007
569.9415816326531	1089.42	Severi2007_Ruth2007
