#Includes TALDICE-EDC links from Severi et al. 2012, with EDC96 depths converted to EDC99 by Quinn.
depth1	depth2	reference
12.160086107921929	29.56	Severi2012
12.501061997703788	30.37	Severi2012
15.188754305396095	36.14	Severi2012
18.458111366245696	42.86	Severi2012
19.54121125143513	45.29	Severi2012
21.08563145809414	48.82	Severi2012
22.048386911595863	51.15	Severi2012
23.051257175660158	53.2	Severi2012
28.76761768082663	65.64	Severi2012
29.639761336515512	67.36	Severi2012
34.391241050119326	77.96	Severi2012
36.786861575178996	83.49	Severi2012
37.462804295942725	85.1	Severi2012
37.94008849557522	85.94	Severi2012
39.04982300884956	88.27	Severi2012
40.56916666666667	91.55	Severi2012
41.24028639618139	93.12	Severi2012
57.68518624641833	128.6	Severi2012
60.27973362326719	133.52	Severi2012
64.04534927969557	142.17	Severi2012
65.15112530578962	144.89	Severi2012
68.97651263930416	152.84	Severi2012
73.38965479749932	162.54	Severi2012
75.5912449035064	167.45	Severi2012
77.81275890187551	172.32	Severi2012
82.39525414514814	182.82	Severi2012
84.05889915737973	186.19	Severi2012
84.86581679804294	188.31	Severi2012
96.84007610763796	215.33	Severi2012
119.53014598540146	264.63	Severi2012
125.00985401459855	276.55	Severi2012
126.61	280.07	Severi2012
130.54000000000002	288.48	Severi2012
133.6103370786517	294.93	Severi2012
135.389914893617	298.8	Severi2012
140.04992187500002	308.21	Severi2012
141.300078125	310.73	Severi2012
144.66011764705883	317.32	Severi2012
153.64	335.05	Severi2012
156.53487804878048	340.77	Severi2012
162.97	353.04	Severi2012
163.97621794871796	354.84	Severi2012
169.28988059701493	365.04	Severi2012
175.90994994994995	377.83	Severi2012
198.57377102550188	419.21	Severi2012
208.58	437.33	Severi2012
209.72985645933016	439.3	Severi2012
215.52455497382198	450.03	Severi2012
215.74916230366492	450.54	Severi2012
218.81180083482408	455.95	Severi2012
232.57	481.59	Severi2012
249.09996649916246	509.25	Severi2012
251.21985849056603	512.89	Severi2012
259.30981343283577	526.24	Severi2012
270.42012195121947	544.06	Severi2012
283.000197368421	562.84	Severi2012
304.27968253968254	594.22	Severi2012
305.57930463576156	596.32	Severi2012
312.7007650273224	606.62	Severi2012
313.69592997811816	608.05	Severi2012
317.340350877193	613.61	Severi2012
321.03403508771925	619.24	Severi2012
321.9498245614035	620.48	Severi2012
338.5599759036145	645.21	Severi2012
342.69	651.34	Severi2012
343.61036585365855	652.67	Severi2012
344.8655424528302	654.69	Severi2012
350.6336674528302	663.28	Severi2012
352.8103183962264	666.74	Severi2012
387.30999999999995	717.18	Severi2012
389.3299999999999	720.4	Severi2012
392.99985655737703	725.67	Severi2012
404.1399831578948	741.48	Severi2012
419.71685473684215	763.2	Severi2012
421.89501894736844	766.09	Severi2012
428.1795145631068	774.47	Severi2012
431.9501748251748	779.29	Severi2012
438.08000000000004	786.55	Severi2012
450.48999999999995	800.68	Severi2012
453.96016064257026	804.46	Severi2012
473.1653164556962	823.56	Severi2012
483.1750914634147	833.44	Severi2012
494.6299085365854	844.77	Severi2012
502.7229642545772	852.7	Severi2012
504.3645318221448	854.2	Severi2012
514.6125893635573	863.63	Severi2012
532.32	879.46	Severi2012
547.89	893.16	Severi2012
557.68	902.5	Severi2012
558.86	903.65	Severi2012
561.36	905.95	Severi2012
564.39	908.84	Severi2012
567.5239795918367	911.74	Severi2012
568.2104591836735	912.39	Severi2012
569.9415816326531	913.97	Severi2012
578.9600232018562	922.24	Severi2012
587.5199419953597	929.86	Severi2012
593.4397959183673	935.31	Severi2012
598.840641509434	940.35	Severi2012
606.9787547169811	948.24	Severi2012
615.9902264150943	956.75	Severi2012
626.5003018867925	966.75	Severi2012
629.1337241379309	969.24	Severi2012
632.2304137931035	972.18	Severi2012
636.3589731051344	976.26	Severi2012
637.4365384615385	977.38	Severi2012
644.7615950226245	984.68	Severi2012
645.9187567567568	985.84	Severi2012
660.1031531531531	1000.52	Severi2012
661.8400180180181	1002.32	Severi2012
666.3424057217165	1007.25	Severi2012
670.9941872561768	1012.29	Severi2012
673.1756436931079	1014.63	Severi2012
675.3969440832249	1016.93	Severi2012
677.1401170351104	1018.75	Severi2012
679.5249428571427	1021.31	Severi2012
685.9112285714285	1028.38	Severi2012
689.0744357142856	1032.05	Severi2012
691.0801285714285	1034.28	Severi2012
691.5915	1034.81	Severi2012
699.0039999999999	1042.92	Severi2012
700.63	1044.49	Severi2012
701.28	1045.22	Severi2012
702.5411940298508	1046.56	Severi2012
718.6013688760808	1064.44	Severi2012
719.030439481268	1064.88	Severi2012
726.2798373983741	1072.91	Severi2012
737.4604946996467	1085.66	Severi2012
739.1296202531646	1087.39	Severi2012
748.1220017793594	1097.72	Severi2012
