#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
312.765	1808.9	Svensson_Links
320.949	1836.4	Svensson_Links
338.556	1896.608	Svensson_Links
344.807	1919.17	Svensson_Links
349.927	1937.7540000000001	Svensson_Links
352.845	1948.55	Svensson_Links
357.038	1965.488	Svensson_Links
358.28	1970.13	Svensson_Links
365.9	1997.103	Svensson_Links
370.087	2012.5	Svensson_Links
371.943	2019.0710000000001	Svensson_Links
384.13100000000003	2068.34	Svensson_Links
387.279	2082.951	Svensson_Links
388.03000000000003	2086.525	Svensson_Links
388.708	2089.552	Svensson_Links
389.357	2092.7200000000003	Svensson_Links
393.008	2111.2490000000003	Svensson_Links
400.284	2145.37	Svensson_Links
404.13920631263164	2164.1528	Svensson_Links
417.1	2219.809	Svensson_Links
421.883	2240.15	Svensson_Links
423.062	2245.205	Svensson_Links
427.105	2263.204	Svensson_Links
433.2355505766063	2288.38	Svensson_Links
438.08	2308.71	Svensson_Links
440.2	2317.14	Svensson_Links
451.532	2361.136	Svensson_Links
454.0	2370.02	Svensson_Links
460.42	2392.36	Svensson_Links
463.53	2401.72	Svensson_Links
469.16	2417.87	Svensson_Links
471.28	2424.095	Svensson_Links
473.69709690197794	2430.265	Svensson_Links
475.01722197170966	2434.0	Svensson_Links
478.86775318871827	2444.685	Svensson_Links
484.2734298780487	2457.645	Svensson_Links
486.1	2462.05	Svensson_Links
486.55	2463.15	Svensson_Links
492.5	2478.16	Svensson_Links
499.209065483871	2497.12	Svensson_Links
502.55	2506.39	Svensson_Links
502.75	2506.97	Svensson_Links
503.02	2507.75	Svensson_Links
506.0	2515.93	Svensson_Links
512.5523496294683	2532.9	Svensson_Links
514.7724498692241	2538.375	Svensson_Links
526.45	2567.25	Svensson_Links
528.28	2572.0293	Svensson_Links
540.32	2600.42	Svensson_Links
541.95651	2604.2	Svensson_Links
544.8	2611.0	Svensson_Links
547.36	2617.32	Svensson_Links
553.1	2633.7	Svensson_Links
553.32	2634.3540000000003	Svensson_Links
561.376	2660.23	Svensson_Links
562.58	2664.18	Svensson_Links
564.41	2670.087	Svensson_Links
565.41	2673.04	Svensson_Links
568.22	2681.92	Svensson_Links
569.95	2687.3808	Svensson_Links
571.2	2691.55	Svensson_Links
571.93	2694.11	Svensson_Links
576.07	2707.85	Svensson_Links
579.0	2717.85	Svensson_Links
583.32	2732.95	Svensson_Links
586.28	2742.86	Svensson_Links
588.0	2749.08	Svensson_Links
593.45	2768.1	Svensson_Links
598.86	2784.36	Svensson_Links
606.98	2806.62	Svensson_Links
613.2	2822.2	Svensson_Links
616.0	2829.06	Svensson_Links
626.54	2851.69	Svensson_Links
629.2	2856.77	Svensson_Links
632.28	2863.15	Svensson_Links
636.42	2872.32	Svensson_Links
644.76	2890.77	Svensson_Links
645.9	2893.14	Svensson_Links
653.22	2907.97	Svensson_Links
661.85	2928.33	Svensson_Links
666.38	2939.56	Svensson_Links
667.8	2943.085	Svensson_Links
670.99	2951.03	Svensson_Links
671.93	2953.05	Svensson_Links
673.1726553966189	2955.915	Svensson_Links
674.852078023407	2959.425	Svensson_Links
677.14	2964.32	Svensson_Links
679.52	2969.13	Svensson_Links
686.23	2981.39	Svensson_Links
689.12	2987.25	Svensson_Links
691.11	2991.1330000000003	Svensson_Links
699.02	3006.318	Svensson_Links
701.27	3010.469	Svensson_Links
702.592	3012.89	Svensson_Links
704.155	3016.45	Svensson_Links
710.0	3027.63	Svensson_Links
718.95	3044.28	Svensson_Links
723.22	3052.1	Svensson_Links
723.82	3053.262	Svensson_Links
726.31	3057.95	Svensson_Links
737.48	3079.07	Svensson_Links
748.08	3098.606	Svensson_Links
748.96	3100.16	Svensson_Links
750.33	3102.68	Svensson_Links
754.28	3109.92	Svensson_Links
759.56	3118.82	Svensson_Links
763.25	3125.35	Svensson_Links
766.15	3130.11	Svensson_Links
773.55	3142.5	Svensson_Links
775.02	3144.96	Svensson_Links
775.9	3146.5	Svensson_Links
777.65	3149.45	Svensson_Links
780.58	3154.24	Svensson_Links
785.82	3162.931	Svensson_Links
789.4	3169.04	Svensson_Links
790.56	3170.992	Svensson_Links
791.88	3173.17	Svensson_Links
798.503	3184.42	Svensson_Links
802.85	3192.0	Svensson_Links
815.27	3212.62	Svensson_Links
822.08	3222.77	Svensson_Links
826.0	3228.32	Svensson_Links
828.55	3231.9	Svensson_Links
837.56	3244.07	Svensson_Links
841.62	3249.64	Svensson_Links
848.95	3260.32	Svensson_Links
856.76	3271.39	Svensson_Links
859.49	3274.77	Svensson_Links
871.43	3289.86	Svensson_Links
876.66	3297.95	Svensson_Links
880.53	3303.76	Svensson_Links
882.27	3306.6	Svensson_Links
884.77	3309.83	Svensson_Links
889.3	3315.48	Svensson_Links
891.34	3317.96	Svensson_Links
893.62	3320.22	Svensson_Links
895.59	3322.22	Svensson_Links
900.9	3326.84	Svensson_Links
907.53	3332.95	Svensson_Links
913.91	3338.45	Svensson_Links
914.42	3338.85	Svensson_Links
915.695	3340.35	Svensson_Links
919.18	3343.02	Svensson_Links
923.37	3346.06	Svensson_Links
925.74	3347.82	Svensson_Links
927.11	3348.86	Svensson_Links
929.2	3350.32	Svensson_Links
931.64	3352.04	Svensson_Links
939.54	3357.86	Svensson_Links
941.3	3359.36	Svensson_Links
944.59	3361.9	Svensson_Links
946.097	3362.95	Svensson_Links
956.34	3369.575	Svensson_Links
962.0	3372.26	Svensson_Links
975.658	3378.275	Svensson_Links
982.19	3380.67	Svensson_Links
990.38	3384.21	Svensson_Links
992.95	3385.29	Svensson_Links
998.56	3388.25	Svensson_Links
1000.124	3389.15	Svensson_Links
1000.676	3389.45	Svensson_Links
1006.668	3392.42	Svensson_Links
1013.72	3397.1	Svensson_Links
1019.41	3401.54	Svensson_Links
