#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
611.253	606.6197	Svensson_Links
623.5	619.24265	Svensson_Links
650.25	645.2138	Svensson_Links
659.52	654.69	Svensson_Links
667.038	662.1985	Svensson_Links
671.266	666.74	Svensson_Links
700.181	692.8	Svensson_Links
703.395	695.5111	Svensson_Links
725.831	713.1655	Svensson_Links
731.464	717.1847499999999	Svensson_Links
734.77	720.4048	Svensson_Links
741.235	725.67785	Svensson_Links
754.712	736.1168	Svensson_Links
761.6928700000001	741.4846	Svensson_Links
784.903	759.61426	Svensson_Links
793.21	766.0942	Svensson_Links
795.517	767.7046	Svensson_Links
803.859	773.2282	Svensson_Links
825.99	786.55675	Svensson_Links
859.64	804.47635	Svensson_Links
916.58	832.6777	Svensson_Links
925.15	837.17	Svensson_Links
936.7	843.268575	Svensson_Links
939.69	844.775075	Svensson_Links
949.176425	849.47285	Svensson_Links
955.6	852.7045250000001	Svensson_Links
976.47578	863.6472	Svensson_Links
1024.19	886.95318	Svensson_Links
1033.57	890.9	Svensson_Links
1039.0	893.0500999999999	Svensson_Links
1051.37	898.4	Svensson_Links
1051.81	898.58315	Svensson_Links
1069.723	905.9506	Svensson_Links
1076.9370000000001	908.84087	Svensson_Links
1085.66	912.39	Svensson_Links
1089.4315000000001	913.9723	Svensson_Links
1094.12	915.82	Svensson_Links
1103.4	919.64	Svensson_Links
1109.62	922.2397000000001	Svensson_Links
1123.98	928.73855	Svensson_Links
1135.22	933.9	Svensson_Links
1138.0	935.311065	Svensson_Links
1146.8	940.346235	Svensson_Links
1160.14	948.24145	Svensson_Links
1160.95	948.71497	Svensson_Links
1170.19	954.64557	Svensson_Links
1174.5	956.7564	Svensson_Links
1190.58	966.743475	Svensson_Links
1194.68	969.24	Svensson_Links
1199.6	972.18308	Svensson_Links
1206.06	976.25918	Svensson_Links
1211.398	979.45983	Svensson_Links
1220.12	984.68575	Svensson_Links
1222.02	985.85	Svensson_Links
1233.75	993.1901250000001	Svensson_Links
1239.18	996.6311000000001	Svensson_Links
1247.97	1002.32965	Svensson_Links
1249.78	1003.63086	Svensson_Links
1254.95325	1007.25638	Svensson_Links
1257.131	1008.8337	Svensson_Links
1262.29	1012.2939	Svensson_Links
1263.7	1013.18866	Svensson_Links
1265.776	1014.6379	Svensson_Links
1268.423	1016.27013	Svensson_Links
1269.4	1016.94	Svensson_Links
1272.27	1018.7479000000001	Svensson_Links
1276.3	1021.32	Svensson_Links
1286.83	1028.38	Svensson_Links
1291.82	1032.0540999999998	Svensson_Links
1295.108	1034.2954	Svensson_Links
1307.595	1042.9017	Svensson_Links
1311.084	1045.2232	Svensson_Links
1313.08	1046.5603	Svensson_Links
1316.039	1048.5496	Svensson_Links
1326.04	1054.9244	Svensson_Links
1342.33	1064.79	Svensson_Links
1349.534	1069.4747	Svensson_Links
1350.59	1070.1309	Svensson_Links
1354.57	1072.9110500000002	Svensson_Links
1372.717	1085.6603	Svensson_Links
1376.915	1088.6617	Svensson_Links
1390.02	1097.7233	Svensson_Links
1391.454	1098.6907	Svensson_Links
1393.78	1100.30355	Svensson_Links
1400.141	1104.8169	Svensson_Links
1408.04	1110.65845	Svensson_Links
1412.4	1113.91	Svensson_Links
1413.7	1114.84	Svensson_Links
1415.64	1116.24	Svensson_Links
1429.11	1126.4641	Svensson_Links
1431.27	1128.11925	Svensson_Links
1432.5	1129.136	Svensson_Links
1435.08	1131.2186000000002	Svensson_Links
1439.07	1134.5295	Svensson_Links
1446.28	1140.5064	Svensson_Links
1451.14	1144.52	Svensson_Links
1452.63	1145.7373	Svensson_Links
1454.356	1147.2226500000002	Svensson_Links
1462.987	1154.3309	Svensson_Links
1468.91	1159.079	Svensson_Links
1497.9	1177.9481	Svensson_Links
1503.6	1181.26585	Svensson_Links
1507.33	1183.4676	Svensson_Links
1520.42	1190.93	Svensson_Links
1536.6	1199.7054	Svensson_Links
1547.79	1205.459	Svensson_Links
1551.53	1207.4301500000001	Svensson_Links
1568.3	1215.6733	Svensson_Links
1575.51	1219.21	Svensson_Links
1580.8	1221.7092	Svensson_Links
1587.05	1224.5736	Svensson_Links
1593.61	1227.3228	Svensson_Links
1596.69	1228.8572	Svensson_Links
1599.96	1230.15	Svensson_Links
1609.93	1234.5045	Svensson_Links
1628.15	1242.2386	Svensson_Links
1628.87	1242.39245	Svensson_Links
1630.61	1243.21	Svensson_Links
1635.13	1245.26	Svensson_Links
1644.02	1248.92	Svensson_Links
1645.949	1249.7577	Svensson_Links
1647.9	1250.26	Svensson_Links
1648.907	1250.5653	Svensson_Links
1652.25	1252.19	Svensson_Links
1662.732	1256.5894	Svensson_Links
1665.239	1257.3143	Svensson_Links
1670.14	1259.133	Svensson_Links
1672.313	1259.9182	Svensson_Links
