#Includes DF-WDC tiepoints from the DF2021 Chronology
depth1	depth2	reference
40.69219676	7.390713639	DF21_Chron
53.55935381	10.14919691	DF21_Chron
58.88052737	11.25895432	DF21_Chron
60.58246535	11.68790731	DF21_Chron
87.82362271	17.78055773	DF21_Chron
100.4844097	20.38193066	DF21_Chron
110.26	22.38022599	DF21_Chron
142.97	28.91761369	DF21_Chron
182.52	36.67989863	DF21_Chron
184.5938075	37.08074912	DF21_Chron
186.175	37.38018093	DF21_Chron
188.6950569	37.83120782	DF21_Chron
195.36	38.9610689	DF21_Chron
325.925	60.38960678	DF21_Chron
351.435	64.24828186	DF21_Chron
359.785	65.45	DF21_Chron
384.675	69.21	DF21_Chron
437.59	77.21	DF21_Chron
445.62	78.35	DF21_Chron
495.09	85.45200652	DF21_Chron
507.59	87.19816926	DF21_Chron
532.935	90.82572701	DF21_Chron
583.897	97.65	DF21_Chron
605.43	100.48	DF21_Chron
619.4	102.3107893	DF21_Chron
747.72	120.82	DF21_Chron
788.54	126.37	DF21_Chron
828.549	131.77	DF21_Chron
850.82	134.86	DF21_Chron
895.6062188	141.0275566	DF21_Chron
897.926	141.35	DF21_Chron
907.58	142.62	DF21_Chron
931.36	145.99	DF21_Chron
978.43	152.69	DF21_Chron
994.8502363	155.1192377	DF21_Chron
1014.55	157.93	DF21_Chron
1036.62	161.33	DF21_Chron
1099.05	171.08	DF21_Chron
1143.895409	177.89	DF21_Chron
1169.2941	181.921	DF21_Chron
1210.0	188.23	DF21_Chron
1225.64	190.74	DF21_Chron
1233.01	191.89	DF21_Chron
1236.01	192.41	DF21_Chron
1244.158	193.81	DF21_Chron
1342.29	211.26	DF21_Chron
1348.84	212.41	DF21_Chron
1367.77	215.7	DF21_Chron
1372.66	216.5	DF21_Chron
1382.549677	218.3091909	DF21_Chron
1383.93	218.53	DF21_Chron
1399.365041	221.3185327	DF21_Chron
1400.75	221.54	DF21_Chron
1475.15	235.57	DF21_Chron
1483.5	237.29	DF21_Chron
1526.02	246.26	DF21_Chron
1554.04	252.32	DF21_Chron
1562.161414	254.0909135	DF21_Chron
1563.63	254.38	DF21_Chron
1601.69	262.59	DF21_Chron
1607.93487	263.8830635	DF21_Chron
1610.690152	264.5226855	DF21_Chron
1612.793494	264.9578921	DF21_Chron
1619.23	266.37	DF21_Chron
1624.08	267.44	DF21_Chron
1633.241198	269.50778	DF21_Chron
1653.0	274.03	DF21_Chron
1689.944358	282.9405802	DF21_Chron
1703.0	286.39	DF21_Chron
1728.92	293.17	DF21_Chron
1742.815	296.95	DF21_Chron
1772.35	304.72	DF21_Chron
1779.392911	306.4220472	DF21_Chron
1784.065	307.74	DF21_Chron
1802.635	312.81	DF21_Chron
1808.95	314.57	DF21_Chron
1812.35	315.48	DF21_Chron
