#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
1808.9	314.57	Svensson_Links
1836.4	322.43	Svensson_Links
1896.608	339.14	Svensson_Links
1919.17	344.97	Svensson_Links
1937.7540000000001	349.66	Svensson_Links
1948.55	352.45	Svensson_Links
2012.5	369.5049909	Svensson_Links
2019.0710000000001	371.46	Svensson_Links
2068.34	384.93	Svensson_Links
2082.951	388.27	Svensson_Links
2086.525	388.99	Svensson_Links
2089.552	389.63	Svensson_Links
2092.7200000000003	390.31	Svensson_Links
2111.2490000000003	394.31	Svensson_Links
2145.37	402.25	Svensson_Links
2164.1528	406.4	Svensson_Links
2219.809	419.62	Svensson_Links
2240.15	424.34	Svensson_Links
2245.205	425.66	Svensson_Links
2263.204	429.97	Svensson_Links
2308.71	441.82	Svensson_Links
2361.136	457.02	Svensson_Links
2370.02	459.74	Svensson_Links
2392.36	466.98	Svensson_Links
2401.72	470.87	Svensson_Links
2430.265	482.85	Svensson_Links
2437.65	485.93	Svensson_Links
2444.685	488.79	Svensson_Links
2451.02	491.69	Svensson_Links
2462.05	496.84	Svensson_Links
2478.16	503.93	Svensson_Links
2482.73	505.79	Svensson_Links
2497.12	511.4	Svensson_Links
2506.97	515.14	Svensson_Links
2538.375	528.65	Svensson_Links
2567.25	542.01	Svensson_Links
2586.48	550.82	Svensson_Links
2600.42	557.82	Svensson_Links
2604.2	559.708053097345	Svensson_Links
2611.0	562.96	Svensson_Links
2617.32	565.86	Svensson_Links
2633.7	572.46	Svensson_Links
2634.3540000000003	572.75	Svensson_Links
2653.0	579.71	Svensson_Links
2660.23	582.17	Svensson_Links
2664.18	583.68	Svensson_Links
2670.087	585.87	Svensson_Links
2681.92	590.34	Svensson_Links
2687.3808	592.29	Svensson_Links
2691.55	593.97	Svensson_Links
2694.11	594.9	Svensson_Links
2717.85	602.98	Svensson_Links
2742.86	611.23	Svensson_Links
2762.9	618.05	Svensson_Links
2768.1	619.782267428027	Svensson_Links
2784.36	626.30515108256	Svensson_Links
2806.62	635.89	Svensson_Links
2807.69	636.3952726	Svensson_Links
2822.2	643.53	Svensson_Links
2829.06	646.95	Svensson_Links
2851.69	659.48	Svensson_Links
2863.15	666.29	Svensson_Links
2872.32	671.04	Svensson_Links
2890.77	681.01	Svensson_Links
2893.14	682.43	Svensson_Links
2915.12	694.54	Svensson_Links
2928.33	701.01	Svensson_Links
2939.56	706.27	Svensson_Links
2951.03	711.59	Svensson_Links
2955.915	714.22	Svensson_Links
2960.7	716.768	Svensson_Links
2964.32	718.91	Svensson_Links
2969.13	721.68	Svensson_Links
2981.39	729.35	Svensson_Links
2987.25	733.04	Svensson_Links
2991.1330000000003	735.39	Svensson_Links
3006.318	744.19	Svensson_Links
3010.469	746.51	Svensson_Links
3016.45	750.0	Svensson_Links
3044.28	767.61	Svensson_Links
3052.1	772.69	Svensson_Links
3057.95	776.242308626974	Svensson_Links
3079.07	788.98	Svensson_Links
3083.92	792.08	Svensson_Links
3098.606	801.0	Svensson_Links
3100.16	802.14	Svensson_Links
3102.68	803.87	Svensson_Links
3109.92	808.42	Svensson_Links
3118.82	814.12	Svensson_Links
3123.9	817.37	Svensson_Links
3125.35	818.28	Svensson_Links
3144.96	831.48	Svensson_Links
3149.45	834.28	Svensson_Links
3154.24	837.4	Svensson_Links
3162.931	843.07	Svensson_Links
3169.04	847.01	Svensson_Links
3170.992	847.98	Svensson_Links
3173.17	849.55	Svensson_Links
3184.42	856.33	Svensson_Links
3192.0	861.08	Svensson_Links
3212.62	875.39	Svensson_Links
3228.32	887.43	Svensson_Links
3231.9	890.19	Svensson_Links
3244.07	900.03	Svensson_Links
3249.64	904.64	Svensson_Links
3260.32	912.5	Svensson_Links
3271.39	921.001	Svensson_Links
3274.77	923.92	Svensson_Links
3289.86	936.57	Svensson_Links
3297.95	942.07	Svensson_Links
3303.76	946.02	Svensson_Links
3306.6	947.92	Svensson_Links
3315.48	955.68	Svensson_Links
3317.96	958.14	Svensson_Links
3320.22	960.65	Svensson_Links
3322.22	962.83	Svensson_Links
3326.84	968.54	Svensson_Links
3338.45	983.03	Svensson_Links
3338.85	983.54	Svensson_Links
3340.35	984.95	Svensson_Links
3343.02	988.59	Svensson_Links
3347.82	995.79	Svensson_Links
3348.86	997.31	Svensson_Links
3350.32	999.56	Svensson_Links
3352.04	1002.18	Svensson_Links
3357.86	1010.42	Svensson_Links
3359.36	1012.31	Svensson_Links
3361.9	1016.07	Svensson_Links
3362.95	1017.73	Svensson_Links
3369.575	1029.47	Svensson_Links
3372.26	1036.03	Svensson_Links
3378.275	1052.1	Svensson_Links
3389.45	1080.68	Svensson_Links
3392.42	1087.63	Svensson_Links
3397.1	1095.7	Svensson_Links
3401.54	1102.12	Svensson_Links
