#Includes WDC-DF tiepoints from DF2021 chronology.
##Includes DF-WDC tiepoints from Ikumi email on Nov 8, 2025. Includes interpolation of DF2 to DF1 links.
depth1	depth2	age_unc	comment
40.69	7.39	10.0	
46.50390464	8.54811764705882	10.0	
53.56	10.15	10.0	
58.88	11.26	10.0	
60.58246535	11.69	10.0	
87.82	17.78	10.0	
92.79	18.80549800796813	10.0	
100.48	20.38	10.0	
105.3	21.44341463414634	10.0	
110.26	22.38	10.0	
142.97	28.92	10.0	
168.9791412	34.073281653746776	10.0	
182.52	36.68	10.0	
184.59	37.08	10.0	
186.18	37.38	10.0	
188.7	37.83	10.0	
195.36	38.96	10.0	
208.925	41.41366574330563	10.0	
240.1504929	46.94430747922438	10.0	
251.171	48.4778485687904	10.0	
272.67	52.09898430286242	10.0	
303.457	56.818333333333335	10.0	
325.93	60.39	10.0	
351.44	64.25	10.0	
359.79	65.45	10.0	
371.0373831	67.08977777777773	10.0	
384.68	69.2099999999999	10.0	
415.3874518	73.83072538860101	10.0	
423.7869116	75.09	10.0	
437.585	77.2099999999999	10.0	
445.62	78.3499999999999	10.0	
451.9076886	79.2374999999998	10.0	
477.7084273	82.75791666666663	10.0	
489.0302056	84.43430555555554	10.0	
495.09	85.45	10.0	
507.59	87.2	10.0	
532.94	90.83	10.0	
541.51	92.0	10.0	
583.9	97.65	10.0	
594.1	98.94589225589226	10.0	
605.43	100.48	10.0	
619.4	102.31	10.0	
651.89	106.87195467422096	10.0	
711.282	115.18834560906517	10.0	
747.72	120.82	10.0	
765.1625198	123.31	10.0	
788.54	126.37	10.0	
797.895	127.72	10.0	
828.549	131.77	10.0	
832.476	132.31333333333336	10.0	
850.82	134.88	10.0	
864.35	136.74666666666667	10.0	
895.62	141.03	10.0	
897.926	141.35	10.0	
907.54	142.62	10.0	
918.42	144.15	10.0	
931.33	145.99	10.0	
978.43	152.69	10.0	
994.8502363	155.1192377	10.0	
1003.988	156.4	10.0	
1007.675	156.96368421052634	10.0	
1014.55	157.93	10.0	
1022.216	159.09	10.0	
1036.535	161.33	10.0	
1057.418	164.5487804878049	10.0	
1063.51649	165.48	10.0	
1099.05	171.08	10.0	
1118.427	174.1233333333333	10.0	
1137.675	177.0132111692845	10.0	
1143.895409	177.93	10.0	
1169.2941	181.921	10.0	
1184.026	184.26	10.0	
1191.327	185.31205	10.0	
1210.0	188.23	10.0	
1225.64	190.74	10.0	
1233.01	191.89	10.0	
1236.01	192.41	10.0	
1244.158	193.81	10.0	
1280.691	200.15	10.0	
1285.872	201.15	10.0	
1294.445	202.66	10.0	
1307.825	205.06266666666667	10.0	
1317.915	206.9	10.0	
1323.785	208.0559069767442	10.0	
1331.395	209.45516279069767	10.0	
1342.29	211.26	10.0	
1346.705	212.065	10.0	
1348.84	212.38333333333333	10.0	
1353.495	213.32	10.0	
1367.77	215.7	10.0	
1372.66	216.5	10.0	
1383.93	218.53	10.0	
1399.365041	221.3185327	10.0	
1400.75	221.54	10.0	
1435.005	227.86647226173545	10.0	
1475.15	235.57	10.0	
1483.5	237.29	10.0	
1498.765	240.64	10.0	
1505.645	242.04013840830447	10.0	
1526.02	246.26	10.0	
1554.04	252.32	10.0	
1562.161414	254.0909135	10.0	
1563.63	254.38	10.0	
1601.69	262.59	10.0	
1607.93487	263.8830635	10.0	
1610.690152	264.4466666666667	10.0	
1612.793494	264.93333333333334	10.0	
1619.23	266.37	10.0	
1624.08	267.44	10.0	
1633.241198	269.50778	10.0	
1645.845	272.4106897816594	10.0	
1653.0	274.03	10.0	
1680.965	280.67	10.0	
1689.944358	282.9405802	10.0	
1703.0	286.39	10.0	
1706.785	287.5272549019607	10.0	
1710.255	288.39	10.0	
1717.745	290.28999999999996	10.0	
1728.92	293.17	10.0	
1730.895	293.75	10.0	
1732.995	294.27	10.0	
1742.815	296.95	10.0	
1760.025	301.44	10.0	
1767.905	303.53	10.0	
1772.35	304.72	10.0	
1775.465	305.48091521882355	10.0	
1779.392911	306.4220472	10.0	
1784.065	307.74	10.0	
1799.215	311.8518897637795	10.0	
1802.635	312.81	10.0	
1806.995	314.05	10.0	
1808.95	314.57	10.0	
1812.395	315.48	10.0	
1824.515	318.93	10.0	
1828.61	320.19	10.0	
1833.065	321.50522935779816	10.0	
1836.365	322.43	10.0	
1839.47	323.26	10.0	
1840.91	323.65	10.0	
1844.105	324.55	10.0	
1847.607175	325.5834645	10.0	
1850.335	326.37	10.0	
1864.785	330.45	10.0	
1873.205825	332.8584129	10.0	
1891.845	337.7727144798107	10.0	
1896.63	339.14	10.0	
1899.27	339.87	10.0	
1910.16958	342.6161107	10.0	
1911.29	342.91	10.0	
1914.68	343.8	10.0	
1917.485	344.55	10.0	
1918.258651	344.775614	10.0	
1919.165	344.97	10.0	
1920.713991	345.3651048	10.0	
1924.655	346.37	10.0	
1932.82	348.49	10.0	
1937.765	349.66	10.0	
1940.24	350.37	10.0	
1945.565	351.62	10.0	
1948.56	352.45	10.0	
1949.249708	352.6212127	10.0	
1997.055	365.1534247300529	10.0	
2012.564296	369.5049909	10.0	
2019.053752	371.479398	10.0	
2019.731896	371.6575445	10.0	
2021.525	372.18	10.0	
2037.379954	376.79	10.0	
2047.21487	379.4671689	10.0	
2052.335	380.7252142846154	10.0	
2068.29915	384.9186989	10.0	
2082.97	388.27	10.0	
2086.55	388.99	10.0	
2089.565	389.63	10.0	
2092.72	390.31	10.0	
2111.28	394.31	10.0	
2133.67	399.69	10.0	
2145.356932	402.2489943	10.0	
2155.595	404.3756283863906	10.0	
2164.15	406.4	10.0	
2170.04	407.65	10.0	
2172.645262	408.3090195	10.0	
2179.77	409.95	10.0	
2196.355	413.98	10.0	
2213.056971	417.8926015	10.0	
2219.855187	419.6236172	10.0	
2231.065	422.1532469069436	10.0	
2240.155	424.3443311	10.0	
2243.035	425.0	10.0	
2245.175	425.54	10.0	
2253.465	427.5	10.0	
2254.91	427.79	10.0	
2258.36	428.7	10.0	
