#Includes WDC-EDML tiepoints from Sigl email file, sent on Jan 14 2025 (forwarded by Christo)
depth1	depth2	reference
322.34807170000005	116.73104	SiglEmail
325.098873	117.54135	SiglEmail
325.89542510000007	117.72299	SiglEmail
335.5396561270156	120.45403	SiglEmail
351.4176211	125.26665	SiglEmail
359.7404968	127.65835	SiglEmail
371.03780922604335	130.93309	SiglEmail
384.65864639999995	134.70264	SiglEmail
404.1972980183391	140.2718	SiglEmail
406.2080103096288	140.86577	SiglEmail
415.4074022	143.61147	SiglEmail
423.75660480000005	146.20583	SiglEmail
430.0846216	148.267	SiglEmail
437.594601	150.42023	SiglEmail
445.61862949999994	152.85458	SiglEmail
451.86583410000003	154.75159	SiglEmail
455.93796080000004	155.97932	SiglEmail
456.55772876913215	156.17424	SiglEmail
460.3190840000001	157.202	SiglEmail
486.0596784	164.37244	SiglEmail
489.04672039999997	165.25127	SiglEmail
495.09310740000006	167.07225	SiglEmail
503.8417492	169.57805	SiglEmail
507.5571347	170.47125	SiglEmail
518.5226950783392	173.83083	SiglEmail
523.9343336	175.37508	SiglEmail
532.9178968	178.07016	SiglEmail
541.5053158000001	180.49374	SiglEmail
565.2854150448512	187.3164	SiglEmail
572.2561386782207	189.50284	SiglEmail
576.1049292	190.59402	SiglEmail
583.93146	192.76805	SiglEmail
605.45166	199.03664	SiglEmail
619.4813	202.90623	SiglEmail
651.91296	212.11398	SiglEmail
711.2281	230.56233	SiglEmail
719.9488	233.15553	SiglEmail
747.75867	241.73041	SiglEmail
765.3011	246.91953	SiglEmail
788.57196	253.5215	SiglEmail
797.8484	256.4855	SiglEmail
799.88477	257.09448	SiglEmail
828.4527	265.80096	SiglEmail
841.50507	269.60794	SiglEmail
845.09717	270.72076	SiglEmail
850.8913	272.30182	SiglEmail
858.1846	274.51605	SiglEmail
864.3364	276.29614	SiglEmail
895.5699	285.69812	SiglEmail
898.19855	286.4422	SiglEmail
907.6152	289.3242	SiglEmail
918.47107	292.4305	SiglEmail
931.43616	296.29797	SiglEmail
978.5173	310.93356	SiglEmail
986.9006	313.46555	SiglEmail
994.9157	316.23914	SiglEmail
1004.0071	319.11456	SiglEmail
1007.7121	320.4018	SiglEmail
1014.5092	322.3789	SiglEmail
1017.1284	323.22446	SiglEmail
1022.2327	324.8647	SiglEmail
1036.5537	329.58057	SiglEmail
1057.4629	336.12045	SiglEmail
1063.5288	338.09985	SiglEmail
1098.9956	349.69986	SiglEmail
1118.5132	355.9677	SiglEmail
1137.6896	361.81177	SiglEmail
1143.8743	363.65863	SiglEmail
1169.4562	371.988	SiglEmail
1191.398	378.9124	SiglEmail
1196.9724	380.6237	SiglEmail
1210.065	384.7667	SiglEmail
1232.8859	391.991	SiglEmail
1234.857	392.56378	SiglEmail
1235.9896	392.87128	SiglEmail
1244.0983	395.43683	SiglEmail
1255.7721	399.2419	SiglEmail
1285.868	409.5129	SiglEmail
1294.5082	412.6891	SiglEmail
1307.8492	417.1532	SiglEmail
1317.931	420.85272	SiglEmail
1341.8317	429.00885	SiglEmail
1342.3778	429.17584	SiglEmail
1346.7158	430.62222	SiglEmail
1348.8774	431.2381	SiglEmail
1367.891	437.42056	SiglEmail
1372.745	438.98935	SiglEmail
1383.925	442.63986	SiglEmail
1399.408	447.8631	SiglEmail
1400.7589	448.303	SiglEmail
1434.0137	459.39908	SiglEmail
