#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
1808.9	611.253	Svensson_Links
1836.4	623.5	Svensson_Links
1896.608	650.25	Svensson_Links
1919.17	659.52	Svensson_Links
1937.7540000000001	667.038	Svensson_Links
1948.55	671.266	Svensson_Links
1964.635	677.11	Svensson_Links
1965.488	677.51	Svensson_Links
1970.13	679.48	Svensson_Links
1997.103	692.19	Svensson_Links
2012.5	700.181	Svensson_Links
2019.0710000000001	703.395	Svensson_Links
2068.34	725.831	Svensson_Links
2082.951	731.464	Svensson_Links
2086.525	732.625	Svensson_Links
2089.552	733.65	Svensson_Links
2092.7200000000003	734.77	Svensson_Links
2111.2490000000003	741.235	Svensson_Links
2145.37	754.712	Svensson_Links
2164.1528	761.6928700000001	Svensson_Links
2219.809	784.903	Svensson_Links
2240.15	793.21	Svensson_Links
2245.205	795.517	Svensson_Links
2263.204	803.859	Svensson_Links
2288.38	816.3	Svensson_Links
2308.71	825.99	Svensson_Links
2316.33	829.82	Svensson_Links
2317.14	830.26	Svensson_Links
2361.136	854.42	Svensson_Links
2370.02	859.64	Svensson_Links
2392.36	873.07	Svensson_Links
2401.72	880.07	Svensson_Links
2417.87	891.98	Svensson_Links
2424.095	896.769	Svensson_Links
2428.095	899.8	Svensson_Links
2430.265	901.373	Svensson_Links
2434.0	904.0	Svensson_Links
2435.6	905.1	Svensson_Links
2437.65	906.65	Svensson_Links
2441.83	909.48	Svensson_Links
2444.685	911.72	Svensson_Links
2451.02	916.58	Svensson_Links
2457.645	921.735	Svensson_Links
2462.05	925.15	Svensson_Links
2463.15	925.95	Svensson_Links
2478.16	936.7	Svensson_Links
2482.73	939.69	Svensson_Links
2497.12	949.176425	Svensson_Links
2506.39	955.21	Svensson_Links
2506.97	955.6	Svensson_Links
2507.75	956.11	Svensson_Links
2515.93	961.375	Svensson_Links
2532.9	972.7121	Svensson_Links
2538.375	976.47578	Svensson_Links
2549.6587	984.65857	Svensson_Links
2567.25	997.8	Svensson_Links
2572.0293	1001.4	Svensson_Links
2586.48	1012.55	Svensson_Links
2599.04	1023.05	Svensson_Links
2600.42	1024.19	Svensson_Links
2601.05	1024.75	Svensson_Links
2604.2	1027.5835	Svensson_Links
2611.0	1033.57	Svensson_Links
2617.32	1039.0	Svensson_Links
2633.7	1051.37	Svensson_Links
2634.3540000000003	1051.81	Svensson_Links
2653.0	1064.77	Svensson_Links
2660.23	1069.723	Svensson_Links
2664.18	1072.53	Svensson_Links
2670.087	1076.9370000000001	Svensson_Links
2673.04	1079.25	Svensson_Links
2681.92	1085.66	Svensson_Links
2687.3808	1089.4315000000001	Svensson_Links
2689.1	1090.69	Svensson_Links
2691.55	1092.49	Svensson_Links
