#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
1808.9	606.6197	Svensson_Links
1836.4	619.24265	Svensson_Links
1896.608	645.2138	Svensson_Links
1919.17	654.69	Svensson_Links
1937.7540000000001	662.1985	Svensson_Links
1948.55	666.74	Svensson_Links
2012.5	692.8	Svensson_Links
2019.0710000000001	695.5111	Svensson_Links
2068.34	713.1655	Svensson_Links
2082.951	717.1847499999999	Svensson_Links
2092.7200000000003	720.4048	Svensson_Links
2111.2490000000003	725.67785	Svensson_Links
2145.37	736.1168	Svensson_Links
2164.1528	741.4846	Svensson_Links
2219.809	759.61426	Svensson_Links
2240.15	766.0942	Svensson_Links
2245.205	767.7046	Svensson_Links
2263.204	773.2282	Svensson_Links
2308.71	786.55675	Svensson_Links
2370.02	804.47635	Svensson_Links
2451.02	832.6777	Svensson_Links
2462.05	837.17	Svensson_Links
2478.16	843.268575	Svensson_Links
2482.73	844.775075	Svensson_Links
2497.12	849.47285	Svensson_Links
2506.97	852.7045250000001	Svensson_Links
2538.375	863.6472	Svensson_Links
2600.42	886.95318	Svensson_Links
2611.0	890.9	Svensson_Links
2617.32	893.0500999999999	Svensson_Links
2633.7	898.4	Svensson_Links
2634.3540000000003	898.58315	Svensson_Links
2660.23	905.9506	Svensson_Links
2670.087	908.84087	Svensson_Links
2681.92	912.39	Svensson_Links
2687.3808	913.9723	Svensson_Links
2694.11	915.82	Svensson_Links
2707.85	919.64	Svensson_Links
2717.85	922.2397000000001	Svensson_Links
2742.86	928.73855	Svensson_Links
2762.9	933.9	Svensson_Links
2768.1	935.311065	Svensson_Links
2784.36	940.346235	Svensson_Links
2806.62	948.24145	Svensson_Links
2807.69	948.71497	Svensson_Links
2822.2	954.64557	Svensson_Links
2829.06	956.7564	Svensson_Links
2851.69	966.743475	Svensson_Links
2856.77	969.24	Svensson_Links
2863.15	972.18308	Svensson_Links
2872.32	976.25918	Svensson_Links
2879.69	979.45983	Svensson_Links
2890.77	984.68575	Svensson_Links
2893.14	985.85	Svensson_Links
2907.97	993.1901250000001	Svensson_Links
2915.12	996.6311000000001	Svensson_Links
2928.33	1002.32965	Svensson_Links
2931.28	1003.63086	Svensson_Links
2939.56	1007.25638	Svensson_Links
2943.085	1008.8337	Svensson_Links
2951.03	1012.2939	Svensson_Links
2953.05	1013.18866	Svensson_Links
2955.915	1014.6379	Svensson_Links
2959.425	1016.27013	Svensson_Links
2960.7	1016.94	Svensson_Links
2964.32	1018.7479000000001	Svensson_Links
2969.13	1021.32	Svensson_Links
2981.39	1028.38	Svensson_Links
2987.25	1032.0540999999998	Svensson_Links
2991.1330000000003	1034.2954	Svensson_Links
3006.318	1042.9017	Svensson_Links
3010.469	1045.2232	Svensson_Links
3012.89	1046.5603	Svensson_Links
3016.45	1048.5496	Svensson_Links
3027.63	1054.9244	Svensson_Links
3044.28	1064.79	Svensson_Links
3052.1	1069.4747	Svensson_Links
3053.262	1070.1309	Svensson_Links
3057.95	1072.9110500000002	Svensson_Links
3079.07	1085.6603	Svensson_Links
3083.92	1088.6617	Svensson_Links
3098.606	1097.7233	Svensson_Links
3100.16	1098.6907	Svensson_Links
3102.68	1100.30355	Svensson_Links
3109.92	1104.8169	Svensson_Links
3118.82	1110.65845	Svensson_Links
3123.9	1113.91	Svensson_Links
3125.35	1114.84	Svensson_Links
3127.5	1116.24	Svensson_Links
3142.5	1126.4641	Svensson_Links
3144.96	1128.11925	Svensson_Links
3146.5	1129.136	Svensson_Links
3149.45	1131.2186000000002	Svensson_Links
3154.24	1134.5295	Svensson_Links
3162.931	1140.5064	Svensson_Links
3169.04	1144.52	Svensson_Links
3170.992	1145.7373	Svensson_Links
3173.17	1147.2226500000002	Svensson_Links
3184.42	1154.3309	Svensson_Links
3192.0	1159.079	Svensson_Links
3222.77	1177.9481	Svensson_Links
3228.32	1181.26585	Svensson_Links
3231.9	1183.4676	Svensson_Links
3244.07	1190.93	Svensson_Links
3260.32	1199.7054	Svensson_Links
3271.39	1205.459	Svensson_Links
3274.77	1207.4301500000001	Svensson_Links
3289.86	1215.6733	Svensson_Links
3297.95	1219.21	Svensson_Links
3303.76	1221.7092	Svensson_Links
3309.83	1224.5736	Svensson_Links
3315.48	1227.3228	Svensson_Links
3317.96	1228.8572	Svensson_Links
3320.22	1230.15	Svensson_Links
3326.84	1234.5045	Svensson_Links
3338.45	1242.2386	Svensson_Links
3338.85	1242.39245	Svensson_Links
3340.35	1243.21	Svensson_Links
3343.02	1245.26	Svensson_Links
3347.82	1248.92	Svensson_Links
3348.86	1249.7577	Svensson_Links
3349.8	1250.26	Svensson_Links
3350.32	1250.5653	Svensson_Links
3352.04	1252.19	Svensson_Links
3357.86	1256.5894	Svensson_Links
3359.36	1257.3143	Svensson_Links
3361.9	1259.133	Svensson_Links
3362.95	1259.9182	Svensson_Links
