#Includes WDC-TALDICE tiepoints from Sigl email on Jan 14 2025 (forwarded by Christo)
##Includes WDC-TALDICE tiepoints from Christo Southern Westerlies Paper
depth1	depth2	age_unc	comment
154.805	72.016	10.0	
161.43309	74.72389	10.0	
168.86983	77.96997	10.0	
182.31137	83.47874	10.0	
186.19864	85.97287	10.0	
188.46881	86.48327	10.0	
192.71793	87.640175	10.0	
195.29242	88.31836	10.0	
204.37616	91.542694	10.0	
208.85204	93.10341	10.0	
325.89542510000007	133.52	10.0	
351.33436055000004	142.176665	10.0	
359.73590839999997	144.87723499999998	10.0	
384.60599319999994	152.85264	10.0	
415.3275111	162.555225	10.0	
430.0117458	167.47352	10.0	
445.64810475	172.324375	10.0	
451.70068	174.38718	10.0	
456.48486	175.84016	10.0	
465.68304	178.82085	10.0	
477.65192	182.85448	10.0	
489.0134252	186.21482	10.0	
495.0806437	188.319405	10.0	
507.57294	192.27174	10.0	
532.73035	200.19405	10.0	
538.1865	201.82915	10.0	
541.41235	202.75996	10.0	
565.2984	209.72931	10.0	
572.1377	211.67088	10.0	
575.9728	212.77538	10.0	
583.88013	215.33937	10.0	
593.98834	218.4162	10.0	
596.45795	219.16415	10.0	
599.2125	219.93655	10.0	
605.3442	221.79182	10.0	
623.1697	226.81969	10.0	
626.75507	227.89787	10.0	
628.4956	228.34239	10.0	
643.5735	232.6712	10.0	
671.02655	241.16939	10.0	
676.1434	242.75356	10.0	
682.19867	244.72255	10.0	
701.9372	250.65805	10.0	
706.3497	252.20729	10.0	
711.04456	253.73044	10.0	
719.818	256.42313	10.0	
727.77734	258.9075	10.0	
728.83875	259.21454	10.0	
732.39905	260.30908	10.0	
733.63025	260.55804	10.0	
747.62366	264.64072	10.0	
765.18866	269.83463	10.0	
772.4822	272.1796	10.0	
785.3471	275.8573	10.0	
788.39075	276.56934	10.0	
797.76544	279.44785	10.0	
799.76337	280.07065	10.0	
809.0027	282.69437	10.0	
828.4058	288.48505	10.0	
845.08984	293.56207	10.0	
850.81537	294.92832	10.0	
864.37625	298.8031	10.0	
897.8641	308.21110999999996	10.0	
907.56595	310.742215	10.0	
931.285225	317.321425	10.0	
978.17206	330.53494	10.0	
994.8222	335.0546	10.0	
1003.87897	337.64935	10.0	
1014.5216	340.77599	10.0	
1057.3557	353.0364	10.0	
1063.48985	354.8268	10.0	
1098.96655	365.02052	10.0	
1135.7561	375.56305	10.0	
1137.7135	376.10733	10.0	
1143.86825	377.817785	10.0	
1169.1089	384.8888	10.0	
1191.1694	391.40048	10.0	
1209.9504	396.6153	10.0	
1232.8706	403.3228	10.0	
1235.631	404.1204	10.0	
1244.037	406.84607	10.0	
1247.6731	407.9215	10.0	
1270.7506	415.34738	10.0	
1282.3466	419.24188	10.0	
1294.4209	422.68567	10.0	
1307.7784	426.6247	10.0	
1323.7942	431.64816	10.0	
1341.8573	437.16827	10.0	
1342.3455	437.33004	10.0	
1348.84715	439.301625	10.0	
1382.5609	450.04602	10.0	
1383.92515	450.551965	10.0	
1399.3229	455.48764	10.0	
1400.77485	455.95315	10.0	
1434.0214	466.94885	10.0	
1475.1453	480.667775	10.0	
1483.4960999999998	483.85542	10.0	
1505.6291500000002	492.055935	10.0	
1526.06275	499.15135	10.0	
1530.0839	500.6161	10.0	
1539.0225	503.72012	10.0	
1554.08515	509.226625	10.0	
1563.62385	512.8993499999999	10.0	
1566.6482	513.87213	10.0	
1569.1658	514.7471	10.0	
1601.65895	526.24085	10.0	
1607.9424	528.32355	10.0	
1610.6962	529.2082	10.0	
1612.7335	529.8568	10.0	
1619.229	532.2063	10.0	
1624.1143	533.9123	10.0	
1633.2981	537.10834	10.0	
1634.7236	537.6334	10.0	
1641.7883	540.1787	10.0	
1645.8547	541.6765	10.0	
1652.1782	543.7991	10.0	
1653.01855	544.06943	10.0	
1679.9888	553.91846	10.0	
1688.3347	557.18604	10.0	
1690.0001	557.72	10.0	
1702.9812000000002	562.83935	10.0	
1704.7223	563.50946	10.0	
1706.8036	564.2899	10.0	
1710.2736	565.851	10.0	
1717.7589	569.07697	10.0	
1719.7185	569.92535	10.0	
1722.888	571.41235	10.0	
1730.8932	574.72565	10.0	
1732.4004	575.3162	10.0	
1733.0088	575.59375	10.0	
1741.2681	578.9243	10.0	
1742.8269	579.60376	10.0	
1744.2549	580.183	10.0	
1752.9675	583.6803	10.0	
1757.5392	585.5011	10.0	
1760.0396	586.5444	10.0	
1767.9073	589.59204	10.0	
1772.3345	591.40393	10.0	
1775.4698	592.658	10.0	
1775.8729	592.87164	10.0	
1779.4395	594.2186750000001	10.0	
1784.10305	596.3240499999999	10.0	
1794.1635	600.5274	10.0	
1797.9644	602.09576	10.0	
1799.1938	602.5923	10.0	
1802.6489	604.09607	10.0	
1807.0043	605.9247	10.0	
1808.93895	606.6197	10.0	
1812.2955	608.0713	10.0	
1819.4995	611.3848	10.0	
1824.2596	613.5064	10.0	
1824.51875	613.622625	10.0	
1828.6587	615.6905	10.0	
1830.3485	616.4307	10.0	
1833.0957	617.76587	10.0	
1836.3679	619.24265	10.0	
1836.6951	619.3798	10.0	
1839.50175	620.4783	10.0	
1840.9369	621.08716	10.0	
1844.1146	622.4168	10.0	
1850.3457	625.1791	10.0	
1855.8691	627.4477	10.0	
1859.4504	628.92017	10.0	
1867.7227	632.62854	10.0	
1867.9514	632.7201	10.0	
1873.2296	635.13885	10.0	
1876.3782	636.548	10.0	
1881.4268	638.75916	10.0	
1890.0321	642.485	10.0	
1896.6274	645.2138	10.0	
1899.2375	646.345	10.0	
1903.1516	647.9529	10.0	
1905.3666	648.88293	10.0	
1910.1697	650.89343	10.0	
1911.2926	651.3437	10.0	
1911.8741	651.5931	10.0	
1914.6777	652.7437	10.0	
1916.3882	653.61523	10.0	
1917.4688	654.07294	10.0	
1918.3003	654.3785	10.0	
1919.1818	654.6899000000001	10.0	
1920.7217	655.3877	10.0	
1932.8536	660.17535	10.0	
1937.7421	662.1985	10.0	
1940.255	663.30084	10.0	
1941.3319	663.77716	10.0	
1945.5673	665.503	10.0	
1948.5057	666.7446	10.0	
2012.6587	692.7964	10.0	
2019.0928	695.5111	10.0	
2033.3469	701.10297	10.0	
2037.3817	702.604	10.0	
2042.0764	704.36664	10.0	
2047.1074	706.1673	10.0	
2068.3557	713.1655	10.0	
2082.9948999999997	717.1847499999999	10.0	
2092.7279	720.4048	10.0	
2095.4387	721.1234	10.0	
2102.4993	723.2276	10.0	
2104.1243	723.6548	10.0	
2105.6199	724.0931	10.0	
2111.30515	725.67785	10.0	
2114.6228	726.69025	10.0	
2116.7795	727.3204	10.0	
2131.8657	731.9008	10.0	
2133.6392	732.412	10.0	
2135.769	733.11383	10.0	
2143.7004	735.59735	10.0	
2145.3916	736.1168	10.0	
2149.9036	737.4353	10.0	
2153.3655	738.57776	10.0	
2155.6143	739.21173	10.0	
2157.7854	739.774	10.0	
2161.4912	740.7606	10.0	
2164.1558	741.4846	10.0	
2167.8506	742.7324	10.0	
2170.0847	743.4356	10.0	
2171.2205	743.8049	10.0	
2172.6562	744.2708	10.0	
2175.9294	745.171	10.0	
2179.8254	746.4829	10.0	
2192.9243	750.8363	10.0	
2213.122	757.4736	10.0	
2219.8232	759.61426	10.0	
2231.0815	763.198	10.0	
2240.1658	766.0942	10.0	
2245.157	767.7046	10.0	
2263.206	773.2282	10.0	
2266.1824	774.0964	10.0	
2267.60955	774.4812	10.0	
2271.78135	775.85582	10.0	
2276.3838	777.2427	10.0	
2279.4739	778.29455	10.0	
2282.8774000000003	779.2890749999999	10.0	
2290.192	781.446875	10.0	
2299.5637	784.05176	10.0	
2305.685	785.7292	10.0	
2308.7078	786.55675	10.0	
2314.9126	788.34814	10.0	
2349.0327	798.10126	10.0	
2353.2976	799.4408	10.0	
2355.784	800.1818	10.0	
2357.449	800.6886999999999	10.0	
2367.36785	803.6792499999999	10.0	
2370.03345	804.47635	10.0	
2422.7178	822.21185	10.0	
2424.8667	822.9631	10.0	
2426.4077	823.5471	10.0	
2451.033	832.6777	10.0	
2452.9133	833.44995	10.0	
2462.11	837.17	10.0	
2478.42325	843.268575	10.0	
2482.7520000000004	844.775075	10.0	
2489.6687	847.1161	10.0	
2497.1220000000003	849.47285	10.0	
2504.2507	851.79834	10.0	
2505.9766	852.4115	10.0	
2506.3855000000003	852.54508	10.0	
2506.98695	852.7045250000001	10.0	
2507.7522	852.9785	10.0	
2511.14325	854.1685	10.0	
2516.501	855.9666500000001	10.0	
2517.26805	856.1965	10.0	
2519.8818	857.18243	10.0	
2526.96875	859.49692	10.0	
2538.383	863.6472	10.0	
2543.3533	865.5252	10.0	
2545.7917	866.4092	10.0	
2600.4584	886.95318	10.0	
2602.9251999999997	887.92652	10.0	
2605.2244	888.78033	10.0	
2610.9984999999997	890.8977	10.0	
2617.30575	893.0500999999999	10.0	
2621.12675	894.30285	10.0	
2622.3125	894.7862	10.0	
2626.107	895.973925	10.0	
2628.05465	896.5899	10.0	
2631.2078	897.6034	10.0	
2633.65	898.40405	10.0	
2634.35995	898.58315	10.0	
2634.6792	898.6794	10.0	
2647.785	902.50446	10.0	
2649.7822	903.1072	10.0	
2651.7415	903.6502	10.0	
2654.8765000000003	904.48675	10.0	
2656.0366999999997	904.80317	10.0	
2660.1869500000003	905.9506	10.0	
2662.7693	906.7057	10.0	
2664.2095	907.11985	10.0	
2668.4314999999997	908.3793	10.0	
2670.0862500000003	908.84087	10.0	
2671.5217	909.3025	10.0	
2672.3726	909.54846	10.0	
2673.0264	909.7728	10.0	
2674.5383	910.23645	10.0	
2675.558	910.56824	10.0	
2676.89	910.93445	10.0	
2677.77515	911.20992	10.0	
2679.8465	911.74323	10.0	
2680.995	912.1055	10.0	
2681.91935	912.39138	10.0	
2687.3797999999997	913.9723	10.0	
2694.1248	915.81726	10.0	
2706.9678	919.41876	10.0	
2707.8665	919.6364	10.0	
2714.1479	921.219925	10.0	
2717.8713	922.2397	10.0	
2718.8918	922.496	10.0	
2727.688	924.59717	10.0	
2734.3162	926.45917	10.0	
