#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
312.765	606.6197	Svensson_Links
320.949	619.24265	Svensson_Links
338.556	645.2138	Svensson_Links
344.807	654.69	Svensson_Links
349.927	662.1985	Svensson_Links
352.845	666.74	Svensson_Links
370.087	692.8	Svensson_Links
371.943	695.5111	Svensson_Links
384.13100000000003	713.1655	Svensson_Links
387.279	717.1847499999999	Svensson_Links
389.357	720.4048	Svensson_Links
393.008	725.67785	Svensson_Links
400.284	736.1168	Svensson_Links
404.13920631263164	741.4846	Svensson_Links
417.1	759.61426	Svensson_Links
421.883	766.0942	Svensson_Links
423.062	767.7046	Svensson_Links
427.105	773.2282	Svensson_Links
438.08	786.55675	Svensson_Links
454.0	804.47635	Svensson_Links
486.1	837.17	Svensson_Links
492.5	843.268575	Svensson_Links
499.209065483871	849.47285	Svensson_Links
502.75	852.7045250000001	Svensson_Links
514.7724498692241	863.6472	Svensson_Links
540.32	886.95318	Svensson_Links
544.8	890.9	Svensson_Links
547.36	893.0500999999999	Svensson_Links
553.1	898.4	Svensson_Links
553.32	898.58315	Svensson_Links
561.376	905.9506	Svensson_Links
564.41	908.84087	Svensson_Links
568.22	912.39	Svensson_Links
569.95	913.9723	Svensson_Links
571.93	915.82	Svensson_Links
576.07	919.64	Svensson_Links
579.0	922.2397000000001	Svensson_Links
586.28	928.73855	Svensson_Links
593.45	935.311065	Svensson_Links
598.86	940.346235	Svensson_Links
606.98	948.24145	Svensson_Links
613.2	954.64557	Svensson_Links
616.0	956.7564	Svensson_Links
626.54	966.743475	Svensson_Links
629.2	969.24	Svensson_Links
632.28	972.18308	Svensson_Links
636.42	976.25918	Svensson_Links
644.76	984.68575	Svensson_Links
645.9	985.85	Svensson_Links
653.22	993.1901250000001	Svensson_Links
661.85	1002.32965	Svensson_Links
666.38	1007.25638	Svensson_Links
667.8	1008.8337	Svensson_Links
670.99	1012.2939	Svensson_Links
671.93	1013.18866	Svensson_Links
673.1726553966189	1014.6379	Svensson_Links
674.852078023407	1016.27013	Svensson_Links
677.14	1018.7479000000001	Svensson_Links
679.52	1021.32	Svensson_Links
686.23	1028.38	Svensson_Links
689.12	1032.0540999999998	Svensson_Links
691.11	1034.2954	Svensson_Links
699.02	1042.9017	Svensson_Links
701.27	1045.2232	Svensson_Links
702.592	1046.5603	Svensson_Links
704.155	1048.5496	Svensson_Links
710.0	1054.9244	Svensson_Links
718.95	1064.79	Svensson_Links
723.22	1069.4747	Svensson_Links
723.82	1070.1309	Svensson_Links
726.31	1072.9110500000002	Svensson_Links
737.48	1085.6603	Svensson_Links
748.08	1097.7233	Svensson_Links
748.96	1098.6907	Svensson_Links
750.33	1100.30355	Svensson_Links
754.28	1104.8169	Svensson_Links
759.56	1110.65845	Svensson_Links
763.25	1114.84	Svensson_Links
773.55	1126.4641	Svensson_Links
775.02	1128.11925	Svensson_Links
775.9	1129.136	Svensson_Links
777.65	1131.2186000000002	Svensson_Links
780.58	1134.5295	Svensson_Links
785.82	1140.5064	Svensson_Links
789.4	1144.52	Svensson_Links
790.56	1145.7373	Svensson_Links
791.88	1147.2226500000002	Svensson_Links
798.503	1154.3309	Svensson_Links
802.85	1159.079	Svensson_Links
822.08	1177.9481	Svensson_Links
826.0	1181.26585	Svensson_Links
828.55	1183.4676	Svensson_Links
837.56	1190.93	Svensson_Links
848.95	1199.7054	Svensson_Links
856.76	1205.459	Svensson_Links
859.49	1207.4301500000001	Svensson_Links
871.43	1215.6733	Svensson_Links
876.66	1219.21	Svensson_Links
880.53	1221.7092	Svensson_Links
884.77	1224.5736	Svensson_Links
889.3	1227.3228	Svensson_Links
891.34	1228.8572	Svensson_Links
893.62	1230.15	Svensson_Links
900.9	1234.5045	Svensson_Links
913.91	1242.2386	Svensson_Links
914.42	1242.39245	Svensson_Links
915.695	1243.21	Svensson_Links
919.18	1245.26	Svensson_Links
925.74	1248.92	Svensson_Links
927.11	1249.7577	Svensson_Links
929.2	1250.5653	Svensson_Links
931.64	1252.19	Svensson_Links
939.54	1256.5894	Svensson_Links
941.3	1257.3143	Svensson_Links
944.59	1259.133	Svensson_Links
946.097	1259.9182	Svensson_Links
