#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
611.253	314.57	Svensson_Links
623.5	322.43	Svensson_Links
650.25	339.14	Svensson_Links
659.52	344.97	Svensson_Links
667.038	349.66	Svensson_Links
671.266	352.45	Svensson_Links
700.181	369.5049909	Svensson_Links
703.395	371.46	Svensson_Links
725.831	384.93	Svensson_Links
731.464	388.27	Svensson_Links
732.625	388.99	Svensson_Links
733.65	389.63	Svensson_Links
734.77	390.31	Svensson_Links
741.235	394.31	Svensson_Links
754.712	402.25	Svensson_Links
761.6928700000001	406.4	Svensson_Links
784.903	419.62	Svensson_Links
793.21	424.34	Svensson_Links
795.517	425.66	Svensson_Links
803.859	429.97	Svensson_Links
825.99	441.82	Svensson_Links
854.42	457.02	Svensson_Links
859.64	459.74	Svensson_Links
873.07	466.98	Svensson_Links
880.07	470.87	Svensson_Links
901.373	482.85	Svensson_Links
906.65	485.93	Svensson_Links
911.72	488.79	Svensson_Links
916.58	491.69	Svensson_Links
925.15	496.84	Svensson_Links
936.7	503.93	Svensson_Links
939.69	505.79	Svensson_Links
949.176425	511.4	Svensson_Links
955.6	515.14	Svensson_Links
976.47578	528.65	Svensson_Links
997.8	542.01	Svensson_Links
1012.55	550.82	Svensson_Links
1024.19	557.82	Svensson_Links
1027.5835	559.708053097345	Svensson_Links
1033.57	562.96	Svensson_Links
1039.0	565.86	Svensson_Links
1051.37	572.46	Svensson_Links
1051.81	572.75	Svensson_Links
1064.77	579.71	Svensson_Links
1069.723	582.17	Svensson_Links
1072.53	583.68	Svensson_Links
1076.9370000000001	585.87	Svensson_Links
1085.66	590.34	Svensson_Links
1089.4315000000001	592.29	Svensson_Links
1092.49	593.97	Svensson_Links
1094.12	594.9	Svensson_Links
1109.62	602.98	Svensson_Links
1123.98	611.23	Svensson_Links
1135.22	618.05	Svensson_Links
1138.0	619.782267428027	Svensson_Links
1146.8	626.30515108256	Svensson_Links
1160.14	635.89	Svensson_Links
1160.95	636.3952726	Svensson_Links
1170.19	643.53	Svensson_Links
1174.5	646.95	Svensson_Links
1190.58	659.48	Svensson_Links
1199.6	666.29	Svensson_Links
1206.06	671.04	Svensson_Links
1220.12	681.01	Svensson_Links
1222.02	682.43	Svensson_Links
1239.18	694.54	Svensson_Links
1247.97	701.01	Svensson_Links
1254.95325	706.27	Svensson_Links
1262.29	711.59	Svensson_Links
1265.776	714.22	Svensson_Links
1269.4	716.768	Svensson_Links
1272.27	718.91	Svensson_Links
1276.3	721.68	Svensson_Links
1286.83	729.35	Svensson_Links
1291.82	733.04	Svensson_Links
1295.108	735.39	Svensson_Links
1307.595	744.19	Svensson_Links
1311.084	746.51	Svensson_Links
1316.039	750.0	Svensson_Links
1342.33	767.61	Svensson_Links
1349.534	772.69	Svensson_Links
1354.57	776.242308626974	Svensson_Links
1372.717	788.98	Svensson_Links
1376.915	792.08	Svensson_Links
1390.02	801.0	Svensson_Links
1391.454	802.14	Svensson_Links
1393.78	803.87	Svensson_Links
1400.141	808.42	Svensson_Links
1408.04	814.12	Svensson_Links
1412.4	817.37	Svensson_Links
1413.7	818.28	Svensson_Links
1431.27	831.48	Svensson_Links
1435.08	834.28	Svensson_Links
1439.07	837.4	Svensson_Links
1446.28	843.07	Svensson_Links
1451.14	847.01	Svensson_Links
1452.63	847.98	Svensson_Links
1454.356	849.55	Svensson_Links
1462.987	856.33	Svensson_Links
1468.91	861.08	Svensson_Links
1487.91	875.39	Svensson_Links
1503.6	887.43	Svensson_Links
1507.33	890.19	Svensson_Links
1520.42	900.03	Svensson_Links
1526.13	904.64	Svensson_Links
1536.6	912.5	Svensson_Links
1547.79	921.001	Svensson_Links
1551.53	923.92	Svensson_Links
1568.3	936.57	Svensson_Links
1575.51	942.07	Svensson_Links
1580.8	946.02	Svensson_Links
1583.32	947.92	Svensson_Links
1593.61	955.68	Svensson_Links
1596.69	958.14	Svensson_Links
1599.96	960.65	Svensson_Links
1602.8	962.83	Svensson_Links
1605.6319452555	965.07	Svensson_Links
1609.93	968.54	Svensson_Links
1618.42	974.92	Svensson_Links
1623.18	978.99	Svensson_Links
1628.15	983.03	Svensson_Links
1628.87	983.54	Svensson_Links
1630.61	984.95	Svensson_Links
1635.13	988.59	Svensson_Links
1644.02	995.79	Svensson_Links
1645.949	997.31	Svensson_Links
1648.907	999.56	Svensson_Links
1652.25	1002.18	Svensson_Links
1662.732	1010.42	Svensson_Links
1665.239	1012.31	Svensson_Links
1670.14	1016.07	Svensson_Links
1672.313	1017.73	Svensson_Links
1687.65	1029.47	Svensson_Links
1696.16	1036.03	Svensson_Links
1699.82	1038.89	Svensson_Links
1716.11	1052.1	Svensson_Links
1748.47	1080.68	Svensson_Links
1756.75	1087.63	Svensson_Links
1766.861	1095.7	Svensson_Links
1775.207	1102.12	Svensson_Links
1786.1	1110.34	Svensson_Links
1804.27	1123.38	Svensson_Links
1809.67	1127.14	Svensson_Links
1810.342	1127.59	Svensson_Links
1816.54	1131.7	Svensson_Links
1830.85	1141.34	Svensson_Links
1834.761	1143.85	Svensson_Links
1843.261	1149.61	Svensson_Links
1844.477	1150.46	Svensson_Links
1853.64	1156.6	Svensson_Links
1853.925	1156.77	Svensson_Links
1855.21	1157.73	Svensson_Links
1866.616	1166.23	Svensson_Links
1867.559	1167.29	Svensson_Links
1869.48	1168.95	Svensson_Links
1870.929	1170.11	Svensson_Links
1877.854	1175.74	Svensson_Links
1883.31	1179.97	Svensson_Links
1890.6	1185.55	Svensson_Links
1897.69	1190.42	Svensson_Links
1900.849	1192.92	Svensson_Links
1913.0	1201.23	Svensson_Links
1919.08	1205.59	Svensson_Links
1921.26	1207.35	Svensson_Links
1924.74	1210.16	Svensson_Links
1930.06	1214.33	Svensson_Links
1942.77	1224.9	Svensson_Links
1949.86	1230.85	Svensson_Links
1957.88	1237.72	Svensson_Links
1965.07	1243.32	Svensson_Links
1969.93	1247.78	Svensson_Links
1976.43	1254.26	Svensson_Links
1985.05	1264.5	Svensson_Links
1987.54	1267.65	Svensson_Links
1990.07	1270.78	Svensson_Links
2001.35	1284.32	Svensson_Links
2007.73	1291.67	Svensson_Links
2010.87	1295.32	Svensson_Links
2013.5	1297.97	Svensson_Links
2022.05	1307.58	Svensson_Links
2039.68	1326.86	Svensson_Links
2046.15	1333.24	Svensson_Links
2062.88	1351.34	Svensson_Links
2069.48	1357.76	Svensson_Links
2071.18	1359.17	Svensson_Links
2076.32	1364.32	Svensson_Links
2080.22	1367.97	Svensson_Links
2088.85	1376.11	Svensson_Links
2096.08	1382.72	Svensson_Links
2101.64	1388.33	Svensson_Links
2111.56	1399.37	Svensson_Links
2122.25	1409.88	Svensson_Links
2123.95	1411.95	Svensson_Links
2125.55	1413.65	Svensson_Links
2137.1	1427.55	Svensson_Links
2145.57	1437.74	Svensson_Links
2152.69	1446.2	Svensson_Links
2166.7	1463.72	Svensson_Links
2168.2	1465.54	Svensson_Links
2169.3	1466.97	Svensson_Links
2171.17	1469.28	Svensson_Links
2174.2	1473.27	Svensson_Links
2184.0	1486.02	Svensson_Links
2188.11	1491.82	Svensson_Links
2190.74	1495.95	Svensson_Links
2194.67	1502.15	Svensson_Links
2195.94	1503.91	Svensson_Links
2200.41	1512.07	Svensson_Links
2200.92	1512.94	Svensson_Links
2205.15	1519.8	Svensson_Links
2213.01	1533.01	Svensson_Links
2213.8	1534.38	Svensson_Links
2219.9	1545.01	Svensson_Links
2228.6	1559.28	Svensson_Links
2231.3	1563.42	Svensson_Links
