#Includes WDC-EDML tiepoints from Christo Westerlies paper file
depth1	depth2	reference
322.34807170000005	116.73104	ChristoWesterlies
325.098873	117.54135	ChristoWesterlies
325.89542510000007	117.72299	ChristoWesterlies
335.5396561270156	120.45403	ChristoWesterlies
351.4176211	125.26665	ChristoWesterlies
359.7404968	127.65835	ChristoWesterlies
371.03780922604335	130.93309	ChristoWesterlies
384.65864639999995	134.70264	ChristoWesterlies
404.1972980183391	140.2718	ChristoWesterlies
406.2080103096288	140.86577	ChristoWesterlies
415.4074022	143.61147	ChristoWesterlies
423.75660480000005	146.20583	ChristoWesterlies
430.0846216	148.267	ChristoWesterlies
437.594601	150.42023	ChristoWesterlies
445.61862949999994	152.85458	ChristoWesterlies
451.86583410000003	154.75159	ChristoWesterlies
455.93796080000004	155.97932	ChristoWesterlies
456.55772876913215	156.17424	ChristoWesterlies
460.3190840000001	157.202	ChristoWesterlies
486.0596784	164.37244	ChristoWesterlies
489.04672039999997	165.25127	ChristoWesterlies
495.09310740000006	167.07225	ChristoWesterlies
503.8417492	169.57805	ChristoWesterlies
507.5571347	170.47125	ChristoWesterlies
518.5226950783392	173.83083	ChristoWesterlies
523.9343336	175.37508	ChristoWesterlies
532.9178968	178.07016	ChristoWesterlies
541.5053158000001	180.49374	ChristoWesterlies
565.2854150448512	187.3164	ChristoWesterlies
572.2561386782207	189.50284	ChristoWesterlies
576.1049292	190.59402	ChristoWesterlies
583.93146	192.76805	ChristoWesterlies
605.45166	199.03664	ChristoWesterlies
619.4813	202.90623	ChristoWesterlies
651.91296	212.11398	ChristoWesterlies
711.2281	230.56233	ChristoWesterlies
719.9488	233.15553	ChristoWesterlies
747.75867	241.73041	ChristoWesterlies
765.3011	246.91953	ChristoWesterlies
788.57196	253.5215	ChristoWesterlies
797.8484	256.4855	ChristoWesterlies
799.88477	257.09448	ChristoWesterlies
828.4527	265.80096	ChristoWesterlies
841.50507	269.60794	ChristoWesterlies
845.09717	270.72076	ChristoWesterlies
850.8913	272.30182	ChristoWesterlies
858.1846	274.51605	ChristoWesterlies
864.3364	276.29614	ChristoWesterlies
895.5699	285.69812	ChristoWesterlies
898.19855	286.4422	ChristoWesterlies
907.6152	289.3242	ChristoWesterlies
918.47107	292.4305	ChristoWesterlies
931.43616	296.29797	ChristoWesterlies
978.5173	310.93356	ChristoWesterlies
986.9006	313.46555	ChristoWesterlies
994.9157	316.23914	ChristoWesterlies
1004.0071	319.11456	ChristoWesterlies
1007.7121	320.4018	ChristoWesterlies
1014.5092	322.3789	ChristoWesterlies
1017.1284	323.22446	ChristoWesterlies
1022.2327	324.8647	ChristoWesterlies
1036.5537	329.58057	ChristoWesterlies
1057.4629	336.12045	ChristoWesterlies
1063.5288	338.09985	ChristoWesterlies
1098.9956	349.69986	ChristoWesterlies
1118.5132	355.9677	ChristoWesterlies
1137.6896	361.81177	ChristoWesterlies
1143.8743	363.65863	ChristoWesterlies
1169.4562	371.988	ChristoWesterlies
1191.398	378.9124	ChristoWesterlies
1196.9724	380.6237	ChristoWesterlies
1210.065	384.7667	ChristoWesterlies
1232.8859	391.991	ChristoWesterlies
1234.857	392.56378	ChristoWesterlies
1235.9896	392.87128	ChristoWesterlies
1244.0983	395.43683	ChristoWesterlies
1255.7721	399.2419	ChristoWesterlies
1285.868	409.5129	ChristoWesterlies
1294.5082	412.6891	ChristoWesterlies
1307.8492	417.1532	ChristoWesterlies
1317.9305	420.85636	ChristoWesterlies
1341.8308499999998	429.00942499999996	ChristoWesterlies
1342.3789000000002	429.16792	ChristoWesterlies
1346.7179	430.62111000000004	ChristoWesterlies
1348.8787000000002	431.24905	ChristoWesterlies
1367.891	437.42056	ChristoWesterlies
1372.7475	438.98467500000004	ChristoWesterlies
1383.9275	442.63493	ChristoWesterlies
1399.409	447.84655	ChristoWesterlies
1400.75945	448.2915	ChristoWesterlies
1434.0137	459.39908	ChristoWesterlies
1457.0466	467.27618	ChristoWesterlies
1463.6526	469.72574	ChristoWesterlies
1475.1278000000002	474.0324	ChristoWesterlies
1483.5099500000001	477.04447500000003	ChristoWesterlies
1526.02965	493.59529999999995	ChristoWesterlies
1562.1610500000002	507.69780000000003	ChristoWesterlies
1563.6156	508.32135	ChristoWesterlies
1566.0098	509.2363	ChristoWesterlies
1573.0308	511.97116	ChristoWesterlies
1575.0714	512.77576	ChristoWesterlies
1575.5708	512.9772	ChristoWesterlies
1576.2933	513.2617	ChristoWesterlies
1577.938	513.8898	ChristoWesterlies
1579.6211	514.556	ChristoWesterlies
1581.5797	515.29803	ChristoWesterlies
1582.5856	515.72955	ChristoWesterlies
1587.2211	517.4511	ChristoWesterlies
1588.247	517.7965	ChristoWesterlies
1590.4771	518.78328	ChristoWesterlies
1598.1232	521.6343	ChristoWesterlies
1599.2198	522.05524	ChristoWesterlies
1601.1053	522.8398	ChristoWesterlies
1601.66215	523.07107	ChristoWesterlies
1607.9101	525.5099749999999	ChristoWesterlies
1610.7211499999999	526.57595	ChristoWesterlies
1612.69145	527.35407	ChristoWesterlies
1613.6427	527.72925	ChristoWesterlies
1614.5582	528.05695	ChristoWesterlies
1614.9921	528.2218	ChristoWesterlies
1619.21595	529.8686	ChristoWesterlies
1620.4604	530.32513	ChristoWesterlies
1623.7227	531.7564	ChristoWesterlies
1624.0806499999999	531.87793	ChristoWesterlies
1624.6477	532.0804	ChristoWesterlies
1628.4528	533.71497	ChristoWesterlies
1629.417	534.1306	ChristoWesterlies
1630.6155	534.53754	ChristoWesterlies
1631.1627	534.7717	ChristoWesterlies
1633.2483499999998	535.5778700000001	ChristoWesterlies
1645.8652	540.86395	ChristoWesterlies
1652.20935	543.30955	ChristoWesterlies
1653.0307	543.6474499999999	ChristoWesterlies
1657.2148	545.45374	ChristoWesterlies
1658.0135	545.8281	ChristoWesterlies
1668.0076	549.86957	ChristoWesterlies
1670.0105	550.648	ChristoWesterlies
1672.1599	551.5577699999999	ChristoWesterlies
1674.9843	552.77844	ChristoWesterlies
1679.9392	554.9326	ChristoWesterlies
1680.9115	555.3609	ChristoWesterlies
1688.2417	558.61957	ChristoWesterlies
1689.9398	559.28032	ChristoWesterlies
1690.5991	559.548	ChristoWesterlies
1702.9673	565.0353	ChristoWesterlies
1704.7001	565.7274	ChristoWesterlies
1706.1971	566.4092	ChristoWesterlies
1706.8035	566.6871	ChristoWesterlies
1710.2517	568.2952	ChristoWesterlies
1717.7517	571.80405	ChristoWesterlies
1722.8407	574.0736	ChristoWesterlies
1725.9917	575.4271	ChristoWesterlies
1727.2925	576.0817	ChristoWesterlies
1728.88165	576.696775	ChristoWesterlies
1730.8953999999999	577.5597499999999	ChristoWesterlies
1733.0176000000001	578.331	ChristoWesterlies
1741.2788	581.97034	ChristoWesterlies
1742.82825	582.6385	ChristoWesterlies
1744.2477	583.2178	ChristoWesterlies
1756.5502	588.21344	ChristoWesterlies
1760.0298	589.9235	ChristoWesterlies
1767.92165	593.32943	ChristoWesterlies
1772.3733499999998	595.3592	ChristoWesterlies
1775.4161	596.6662	ChristoWesterlies
1779.4514	598.31872	ChristoWesterlies
1784.04	600.4105649999999	ChristoWesterlies
1790.2628	603.10175	ChristoWesterlies
1792.1006	603.89734	ChristoWesterlies
1794.1978	604.74426	ChristoWesterlies
1799.2285000000002	606.8793000000001	ChristoWesterlies
1801.8705	608.1039	ChristoWesterlies
1802.63035	608.41955	ChristoWesterlies
1806.98085	610.42945	ChristoWesterlies
1808.93535	611.223615	ChristoWesterlies
1812.3754	612.7515	ChristoWesterlies
1824.52325	618.14125	ChristoWesterlies
1833.09145	622.068575	ChristoWesterlies
1835.6743	623.20856	ChristoWesterlies
1836.33835	623.491675	ChristoWesterlies
1836.724	623.7122	ChristoWesterlies
1837.7312	624.13	ChristoWesterlies
1839.50025	624.94195	ChristoWesterlies
1840.9179	625.5856249999999	ChristoWesterlies
1844.1117	626.939175	ChristoWesterlies
1847.5985	628.51715	ChristoWesterlies
1850.3492999999999	629.8876	ChristoWesterlies
1856.3602	632.5103	ChristoWesterlies
1857.6997	633.07367	ChristoWesterlies
1860.6631	634.378	ChristoWesterlies
1864.7852	636.18805	ChristoWesterlies
1865.7206	636.58234	ChristoWesterlies
1867.7188999999998	637.45757	ChristoWesterlies
1871.5468	639.2068	ChristoWesterlies
1873.2122	639.9715	ChristoWesterlies
1876.3721999999998	641.41885	ChristoWesterlies
1876.9623	641.6659	ChristoWesterlies
1877.3217	641.8516	ChristoWesterlies
1878.8048	642.51697	ChristoWesterlies
1879.496	642.8293	ChristoWesterlies
1889.0162	646.9658	ChristoWesterlies
1891.8687	648.27167	ChristoWesterlies
1892.47125	648.53728	ChristoWesterlies
1896.6289000000002	650.2592	ChristoWesterlies
1899.28165	651.35307	ChristoWesterlies
1903.1504	652.9167	ChristoWesterlies
1905.3362	653.84753	ChristoWesterlies
1909.6083	655.6406	ChristoWesterlies
1910.1604000000002	655.9032	ChristoWesterlies
1911.30215	656.37925	ChristoWesterlies
1913.7766	657.35144	ChristoWesterlies
1914.6810500000001	657.72203	ChristoWesterlies
1915.1132	657.88477	ChristoWesterlies
1916.8041	658.59283	ChristoWesterlies
1917.5382	658.8588500000001	ChristoWesterlies
1918.2964	659.12973	ChristoWesterlies
1919.18605	659.52877	ChristoWesterlies
1924.6499	661.83263	ChristoWesterlies
1926.0782	662.45386	ChristoWesterlies
1932.81905	665.0615	ChristoWesterlies
1937.71975	667.0418999999999	ChristoWesterlies
1938.516	667.42487	ChristoWesterlies
1940.24225	668.0778	ChristoWesterlies
1945.5884	670.06445	ChristoWesterlies
1960.2595	675.5111	ChristoWesterlies
1963.9773	676.90106	ChristoWesterlies
1965.4983	677.52435	ChristoWesterlies
1970.1453	679.4992	ChristoWesterlies
1974.3625	681.2387	ChristoWesterlies
1986.3717	686.9569	ChristoWesterlies
1990.2103	688.829	ChristoWesterlies
1992.5037	689.9252	ChristoWesterlies
1997.1129	692.214	ChristoWesterlies
1998.07	692.76996	ChristoWesterlies
2001.9653	694.76935	ChristoWesterlies
2003.5747	695.5927	ChristoWesterlies
2004.8809	696.30536	ChristoWesterlies
2012.5675999999999	700.1848	ChristoWesterlies
2019.0599	703.34755	ChristoWesterlies
