#Svensson Match Points, unpublished.
depth1	depth2	reference
1575.712	611.253	SvenssonLinks
1597.2	623.5	SvenssonLinks
1640.88	650.25	SvenssonLinks
1653.88	659.52	SvenssonLinks
1663.79	667.038	SvenssonLinks
1669.73	671.266	SvenssonLinks
1678.25	677.51	SvenssonLinks
1679.75	679.48	SvenssonLinks
1692.25	700.181	SvenssonLinks
1694.24	703.395	SvenssonLinks
1708.64	725.831	SvenssonLinks
1713.915	731.464	SvenssonLinks
1715.71	732.625	SvenssonLinks
1717.28	733.65	SvenssonLinks
1718.666	734.77	SvenssonLinks
1725.74	741.235	SvenssonLinks
1744.25	754.712	SvenssonLinks
1753.92	761.6928700000001	SvenssonLinks
1787.32	784.903	SvenssonLinks
1798.17	793.21	SvenssonLinks
1799.765	795.517	SvenssonLinks
1805.39	803.859	SvenssonLinks
1812.8	816.3	SvenssonLinks
1818.88	825.99	SvenssonLinks
1821.266	829.82	SvenssonLinks
1821.52	830.26	SvenssonLinks
1835.425	854.42	SvenssonLinks
1838.6	859.64	SvenssonLinks
1858.715	891.98	SvenssonLinks
1861.91	896.769	SvenssonLinks
1865.295	901.373	SvenssonLinks
1867.435	904.0	SvenssonLinks
1868.255	905.1	SvenssonLinks
1869.7250000000001	906.65	SvenssonLinks
1872.38	909.48	SvenssonLinks
1874.615	911.72	SvenssonLinks
1879.445	916.58	SvenssonLinks
1883.93	921.735	SvenssonLinks
1887.525	925.15	SvenssonLinks
1904.72	939.69	SvenssonLinks
1915.734	949.176425	SvenssonLinks
1922.77	955.6	SvenssonLinks
1963.65	997.8	SvenssonLinks
1997.75	1039.0	SvenssonLinks
2006.76	1051.81	SvenssonLinks
2022.74	1076.9370000000001	SvenssonLinks
2030.73	1089.4315000000001	SvenssonLinks
2033.89	1094.12	SvenssonLinks
2050.57	1118.46	SvenssonLinks
2057.05	1123.98	SvenssonLinks
2059.5	1127.7	SvenssonLinks
2066.17	1138.0	SvenssonLinks
2086.38	1160.14	SvenssonLinks
2092.92	1170.19	SvenssonLinks
2109.92	1190.58	SvenssonLinks
2112.92	1194.68	SvenssonLinks
2117.06	1199.6	SvenssonLinks
2125.72	1206.06	SvenssonLinks
2137.48	1222.02	SvenssonLinks
2160.05	1247.97	SvenssonLinks
2162.47	1249.78	SvenssonLinks
2169.35	1254.95325	SvenssonLinks
2179.13	1263.7	SvenssonLinks
2183.74	1269.4	SvenssonLinks
2185.45	1272.27	SvenssonLinks
2188.78	1276.3	SvenssonLinks
2202.73	1291.82	SvenssonLinks
2206.65	1295.108	SvenssonLinks
2217.63	1302.36	SvenssonLinks
2224.844	1307.595	SvenssonLinks
2229.705	1311.084	SvenssonLinks
2232.367	1313.08	SvenssonLinks
2234.17	1316.039	SvenssonLinks
2239.51	1326.04	SvenssonLinks
2242.06	1331.3	SvenssonLinks
2247.62	1342.33	SvenssonLinks
2252.11	1350.59	SvenssonLinks
2256.34	1354.57	SvenssonLinks
2269.62	1372.717	SvenssonLinks
2274.583	1376.915	SvenssonLinks
2283.78	1391.454	SvenssonLinks
2285.24	1393.78	SvenssonLinks
2291.12	1400.141	SvenssonLinks
2299.22	1408.04	SvenssonLinks
2303.13	1412.4	SvenssonLinks
2305.7	1415.64	SvenssonLinks
2307.46	1418.12	SvenssonLinks
2315.01	1429.11	SvenssonLinks
2317.11	1431.27	SvenssonLinks
2318.21	1432.5	SvenssonLinks
2320.35	1434.82	SvenssonLinks
2320.62	1435.08	SvenssonLinks
2324.65	1439.07	SvenssonLinks
2332.678	1446.28	SvenssonLinks
2339.05	1451.14	SvenssonLinks
2341.167	1452.63	SvenssonLinks
2343.475	1454.356	SvenssonLinks
2355.18	1462.987	SvenssonLinks
2362.96	1473.06	SvenssonLinks
2382.3	1503.6	SvenssonLinks
2386.05	1507.33	SvenssonLinks
2396.69	1520.42	SvenssonLinks
2401.8	1526.13	SvenssonLinks
2411.08	1536.6	SvenssonLinks
2421.67	1547.79	SvenssonLinks
2425.618	1551.53	SvenssonLinks
2449.2	1575.51	SvenssonLinks
2454.18	1580.8	SvenssonLinks
2454.467	1581.04	SvenssonLinks
2462.903	1599.96	SvenssonLinks
2464.255	1602.8	SvenssonLinks
2469.69	1609.93	SvenssonLinks
2473.9	1618.42	SvenssonLinks
2480.283	1628.15	SvenssonLinks
