#Svensson Match Points, unpublished.
depth1	depth2	reference
1575.712	606.6197	SvenssonLinks
1597.2	619.24265	SvenssonLinks
1640.88	645.2138	SvenssonLinks
1653.88	654.69	SvenssonLinks
1663.79	662.1985	SvenssonLinks
1669.73	666.74	SvenssonLinks
1692.25	692.8	SvenssonLinks
1694.24	695.5111	SvenssonLinks
1708.64	713.1655	SvenssonLinks
1713.915	717.1847499999999	SvenssonLinks
1718.666	720.4048	SvenssonLinks
1725.74	725.67785	SvenssonLinks
1744.25	736.1168	SvenssonLinks
1753.92	741.4846	SvenssonLinks
1787.32	759.61426	SvenssonLinks
1798.17	766.0942	SvenssonLinks
1799.765	767.7046	SvenssonLinks
1805.39	773.2282	SvenssonLinks
1818.88	786.55675	SvenssonLinks
1838.6	804.47635	SvenssonLinks
1879.445	832.6777	SvenssonLinks
1887.525	837.17	SvenssonLinks
1904.72	844.775075	SvenssonLinks
1915.734	849.47285	SvenssonLinks
1922.77	852.7045250000001	SvenssonLinks
1997.75	893.0500999999999	SvenssonLinks
2006.76	898.58315	SvenssonLinks
2022.74	908.84087	SvenssonLinks
2030.73	913.9723	SvenssonLinks
2033.89	915.82	SvenssonLinks
2057.05	928.73855	SvenssonLinks
2066.17	935.311065	SvenssonLinks
2086.38	948.24145	SvenssonLinks
2092.92	954.64557	SvenssonLinks
2109.92	966.743475	SvenssonLinks
2112.92	969.24	SvenssonLinks
2117.06	972.18308	SvenssonLinks
2125.72	976.25918	SvenssonLinks
2137.48	985.85	SvenssonLinks
2160.05	1002.32965	SvenssonLinks
2162.47	1003.63086	SvenssonLinks
2169.35	1007.25638	SvenssonLinks
2179.13	1013.18866	SvenssonLinks
2183.74	1016.94	SvenssonLinks
2185.45	1018.7479000000001	SvenssonLinks
2188.78	1021.32	SvenssonLinks
2202.73	1032.0540999999998	SvenssonLinks
2206.65	1034.2954	SvenssonLinks
2224.844	1042.9017	SvenssonLinks
2229.705	1045.2232	SvenssonLinks
2232.367	1046.5603	SvenssonLinks
2234.17	1048.5496	SvenssonLinks
2239.51	1054.9244	SvenssonLinks
2247.62	1064.79	SvenssonLinks
2252.11	1070.1309	SvenssonLinks
2256.34	1072.9110500000002	SvenssonLinks
2269.62	1085.6603	SvenssonLinks
2274.583	1088.6617	SvenssonLinks
2283.78	1098.6907	SvenssonLinks
2285.24	1100.30355	SvenssonLinks
2291.12	1104.8169	SvenssonLinks
2299.22	1110.65845	SvenssonLinks
2303.13	1113.91	SvenssonLinks
2305.7	1116.24	SvenssonLinks
2315.01	1126.4641	SvenssonLinks
2317.11	1128.11925	SvenssonLinks
2318.21	1129.136	SvenssonLinks
2320.62	1131.2186000000002	SvenssonLinks
2324.65	1134.5295	SvenssonLinks
2332.678	1140.5064	SvenssonLinks
2339.05	1144.52	SvenssonLinks
2341.167	1145.7373	SvenssonLinks
2343.475	1147.2226500000002	SvenssonLinks
2355.18	1154.3309	SvenssonLinks
2382.3	1181.26585	SvenssonLinks
2386.05	1183.4676	SvenssonLinks
2396.69	1190.93	SvenssonLinks
2411.08	1199.7054	SvenssonLinks
2421.67	1205.459	SvenssonLinks
2425.618	1207.4301500000001	SvenssonLinks
2449.2	1219.21	SvenssonLinks
2454.18	1221.7092	SvenssonLinks
2462.903	1230.15	SvenssonLinks
2469.69	1234.5045	SvenssonLinks
2480.283	1242.2386	SvenssonLinks
2482.037	1243.21	SvenssonLinks
2485.052	1245.26	SvenssonLinks
2493.25	1249.7577	SvenssonLinks
2507.702	1259.133	SvenssonLinks
