#Svensson Match Points, unpublished.
depth1	depth2	reference
1517.287	314.57	SvenssonLinks
1539.05	322.43	SvenssonLinks
1585.05	339.14	SvenssonLinks
1598.9	344.97	SvenssonLinks
1609.47	349.66	SvenssonLinks
1615.62	352.45	SvenssonLinks
1639.53	369.5049909	SvenssonLinks
1641.68	371.46	SvenssonLinks
1657.52	384.93	SvenssonLinks
1663.325	388.27	SvenssonLinks
1665.4	388.99	SvenssonLinks
1666.99	389.63	SvenssonLinks
1668.483	390.31	SvenssonLinks
1676.25	394.31	SvenssonLinks
1696.15	402.25	SvenssonLinks
1706.57	406.4	SvenssonLinks
1742.28	419.62	SvenssonLinks
1753.75	424.34	SvenssonLinks
1755.46	425.66	SvenssonLinks
1761.44	429.97	SvenssonLinks
1775.82	441.82	SvenssonLinks
1793.372	457.02	SvenssonLinks
1796.72	459.74	SvenssonLinks
1874.755	511.4	SvenssonLinks
1882.23	515.14	SvenssonLinks
1926.337	542.01	SvenssonLinks
1973.03	572.75	SvenssonLinks
1985.34	582.17	SvenssonLinks
1997.82	592.29	SvenssonLinks
2001.127	594.9	SvenssonLinks
2025.84	611.23	SvenssonLinks
2035.26	619.782267428027	SvenssonLinks
2055.99	635.89	SvenssonLinks
2080.41	659.48	SvenssonLinks
2087.83	666.29	SvenssonLinks
2096.91	671.04	SvenssonLinks
2131.4	701.01	SvenssonLinks
2140.49	706.27	SvenssonLinks
2159.12	721.68	SvenssonLinks
2172.18	733.04	SvenssonLinks
2175.9	735.39	SvenssonLinks
2193.328	744.19	SvenssonLinks
2197.994	746.51	SvenssonLinks
2202.29	750.0	SvenssonLinks
2223.93	776.242308626974	SvenssonLinks
2236.819	788.98	SvenssonLinks
2241.555	792.08	SvenssonLinks
2249.72	801.0	SvenssonLinks
2250.53	802.14	SvenssonLinks
2252.045	803.87	SvenssonLinks
2257.93	808.42	SvenssonLinks
2265.98	814.12	SvenssonLinks
2269.91	817.37	SvenssonLinks
2283.64	831.48	SvenssonLinks
2287.04	834.28	SvenssonLinks
2291.05	837.4	SvenssonLinks
2298.735	843.07	SvenssonLinks
2304.88	847.01	SvenssonLinks
2306.902	847.98	SvenssonLinks
2309.126	849.55	SvenssonLinks
2320.513	856.33	SvenssonLinks
2347.35	887.43	SvenssonLinks
2351.03	890.19	SvenssonLinks
2361.54	900.03	SvenssonLinks
2366.64	904.64	SvenssonLinks
2375.84	912.5	SvenssonLinks
2386.63	921.001	SvenssonLinks
2390.604	923.92	SvenssonLinks
2415.02	942.07	SvenssonLinks
2420.13	946.02	SvenssonLinks
2429.538	960.65	SvenssonLinks
2431.0	962.83	SvenssonLinks
2447.875	983.03	SvenssonLinks
2449.785	984.95	SvenssonLinks
2453.106	988.59	SvenssonLinks
2461.6	997.31	SvenssonLinks
2493.81	1052.1	SvenssonLinks
2510.03	1080.68	SvenssonLinks
2527.27	1110.34	SvenssonLinks
2551.894	1143.85	SvenssonLinks
2564.67	1166.23	SvenssonLinks
2565.18	1167.29	SvenssonLinks
2566.58	1168.95	SvenssonLinks
2567.46	1170.11	SvenssonLinks
2576.28	1179.97	SvenssonLinks
2581.3	1185.55	SvenssonLinks
2592.72	1207.35	SvenssonLinks
2594.65	1210.16	SvenssonLinks
2604.73	1224.9	SvenssonLinks
2608.54	1230.85	SvenssonLinks
2612.846	1237.72	SvenssonLinks
2616.73	1243.32	SvenssonLinks
2623.96	1254.26	SvenssonLinks
2630.662	1264.5	SvenssonLinks
2632.624	1267.65	SvenssonLinks
2634.719	1270.78	SvenssonLinks
2650.814	1297.97	SvenssonLinks
2672.177	1351.34	SvenssonLinks
2684.72	1367.97	SvenssonLinks
2694.724	1382.72	SvenssonLinks
2703.62	1399.37	SvenssonLinks
2710.77	1409.88	SvenssonLinks
2713.05	1413.65	SvenssonLinks
2738.9	1466.97	SvenssonLinks
2741.75	1473.27	SvenssonLinks
2753.24	1502.15	SvenssonLinks
2753.96	1512.07	SvenssonLinks
