#Svensson Match Points, unpublished.
depth1	depth2	reference
1517.287	611.253	SvenssonLinks
1539.05	623.5	SvenssonLinks
1585.05	650.25	SvenssonLinks
1598.9	659.52	SvenssonLinks
1609.47	667.038	SvenssonLinks
1615.62	671.266	SvenssonLinks
1624.449	677.51	SvenssonLinks
1639.53	700.181	SvenssonLinks
1641.68	703.395	SvenssonLinks
1657.52	725.831	SvenssonLinks
1663.325	731.464	SvenssonLinks
1665.4	732.625	SvenssonLinks
1666.99	733.65	SvenssonLinks
1668.483	734.77	SvenssonLinks
1676.25	741.235	SvenssonLinks
1696.15	754.712	SvenssonLinks
1706.57	761.6928700000001	SvenssonLinks
1742.28	784.903	SvenssonLinks
1753.75	793.21	SvenssonLinks
1755.46	795.517	SvenssonLinks
1761.44	803.859	SvenssonLinks
1769.48	816.3	SvenssonLinks
1775.82	825.99	SvenssonLinks
1778.339	829.82	SvenssonLinks
1778.62	830.26	SvenssonLinks
1793.372	854.42	SvenssonLinks
1796.72	859.64	SvenssonLinks
1874.755	949.176425	SvenssonLinks
1882.23	955.6	SvenssonLinks
1926.337	997.8	SvenssonLinks
1973.03	1051.81	SvenssonLinks
1985.34	1069.723	SvenssonLinks
1997.82	1089.4315000000001	SvenssonLinks
2001.127	1094.12	SvenssonLinks
2018.919	1118.46	SvenssonLinks
2025.84	1123.98	SvenssonLinks
2028.25	1127.7	SvenssonLinks
2035.26	1138.0	SvenssonLinks
2055.99	1160.14	SvenssonLinks
2080.41	1190.58	SvenssonLinks
2087.83	1199.6	SvenssonLinks
2096.91	1206.06	SvenssonLinks
2131.4	1247.97	SvenssonLinks
2140.49	1254.95325	SvenssonLinks
2150.0	1263.7	SvenssonLinks
2159.12	1276.3	SvenssonLinks
2172.18	1291.82	SvenssonLinks
2175.9	1295.108	SvenssonLinks
2186.42	1302.36	SvenssonLinks
2193.328	1307.595	SvenssonLinks
2197.994	1311.084	SvenssonLinks
2200.507	1313.08	SvenssonLinks
2202.29	1316.039	SvenssonLinks
2207.53	1326.04	SvenssonLinks
2223.93	1354.57	SvenssonLinks
2236.819	1372.717	SvenssonLinks
2241.555	1376.915	SvenssonLinks
2249.72	1390.02	SvenssonLinks
2250.53	1391.454	SvenssonLinks
2252.045	1393.78	SvenssonLinks
2257.93	1400.141	SvenssonLinks
2265.98	1408.04	SvenssonLinks
2269.91	1412.4	SvenssonLinks
2281.58	1429.11	SvenssonLinks
2283.64	1431.27	SvenssonLinks
2286.78	1434.82	SvenssonLinks
2287.04	1435.08	SvenssonLinks
2291.05	1439.07	SvenssonLinks
2298.735	1446.28	SvenssonLinks
2304.88	1451.14	SvenssonLinks
2306.902	1452.63	SvenssonLinks
2309.126	1454.356	SvenssonLinks
2320.513	1462.987	SvenssonLinks
2328.03	1473.06	SvenssonLinks
2347.35	1503.6	SvenssonLinks
2351.03	1507.33	SvenssonLinks
2361.54	1520.42	SvenssonLinks
2366.64	1526.13	SvenssonLinks
2375.84	1536.6	SvenssonLinks
2386.63	1547.79	SvenssonLinks
2390.604	1551.53	SvenssonLinks
2415.02	1575.51	SvenssonLinks
2420.13	1580.8	SvenssonLinks
2420.448	1581.04	SvenssonLinks
2429.538	1599.96	SvenssonLinks
2431.0	1602.8	SvenssonLinks
2447.875	1628.15	SvenssonLinks
2449.785	1630.61	SvenssonLinks
2453.106	1635.13	SvenssonLinks
2458.0	1640.66	SvenssonLinks
2461.6	1645.949	SvenssonLinks
2493.81	1716.11	SvenssonLinks
2504.25	1738.45	SvenssonLinks
2510.03	1748.47	SvenssonLinks
2527.27	1786.1	SvenssonLinks
2549.772	1831.68	SvenssonLinks
2551.894	1834.761	SvenssonLinks
2564.67	1866.616	SvenssonLinks
2565.18	1867.559	SvenssonLinks
2566.58	1869.48	SvenssonLinks
2567.46	1870.929	SvenssonLinks
2576.28	1883.31	SvenssonLinks
2581.3	1890.6	SvenssonLinks
2592.72	1921.26	SvenssonLinks
2594.65	1924.74	SvenssonLinks
2604.73	1942.77	SvenssonLinks
2608.54	1949.86	SvenssonLinks
2612.846	1957.88	SvenssonLinks
2616.73	1965.07	SvenssonLinks
2623.96	1976.43	SvenssonLinks
2630.662	1985.05	SvenssonLinks
2632.624	1987.54	SvenssonLinks
2634.719	1990.07	SvenssonLinks
2646.247	2004.51	SvenssonLinks
2650.814	2013.5	SvenssonLinks
2672.177	2062.88	SvenssonLinks
2684.72	2080.22	SvenssonLinks
2694.724	2096.08	SvenssonLinks
2703.62	2111.56	SvenssonLinks
2710.77	2122.25	SvenssonLinks
2713.05	2125.55	SvenssonLinks
2732.72	2159.16	SvenssonLinks
2738.9	2169.3	SvenssonLinks
2741.75	2174.2	SvenssonLinks
2753.15	2193.45	SvenssonLinks
2753.24	2194.67	SvenssonLinks
2753.96	2200.41	SvenssonLinks
