#Svensson Match Points, unpublished.
depth1	depth2	reference
1517.287	606.6197	SvenssonLinks
1539.05	619.24265	SvenssonLinks
1585.05	645.2138	SvenssonLinks
1598.9	654.69	SvenssonLinks
1609.47	662.1985	SvenssonLinks
1615.62	666.74	SvenssonLinks
1639.53	692.8	SvenssonLinks
1641.68	695.5111	SvenssonLinks
1657.52	713.1655	SvenssonLinks
1663.325	717.1847499999999	SvenssonLinks
1668.483	720.4048	SvenssonLinks
1676.25	725.67785	SvenssonLinks
1696.15	736.1168	SvenssonLinks
1706.57	741.4846	SvenssonLinks
1742.28	759.61426	SvenssonLinks
1753.75	766.0942	SvenssonLinks
1755.46	767.7046	SvenssonLinks
1761.44	773.2282	SvenssonLinks
1775.82	786.55675	SvenssonLinks
1796.72	804.47635	SvenssonLinks
1874.755	849.47285	SvenssonLinks
1882.23	852.7045250000001	SvenssonLinks
1973.03	898.58315	SvenssonLinks
1985.34	905.9506	SvenssonLinks
1997.82	913.9723	SvenssonLinks
2001.127	915.82	SvenssonLinks
2025.84	928.73855	SvenssonLinks
2035.26	935.311065	SvenssonLinks
2055.99	948.24145	SvenssonLinks
2080.41	966.743475	SvenssonLinks
2087.83	972.18308	SvenssonLinks
2096.91	976.25918	SvenssonLinks
2131.4	1002.32965	SvenssonLinks
2140.49	1007.25638	SvenssonLinks
2150.0	1013.18866	SvenssonLinks
2159.12	1021.32	SvenssonLinks
2172.18	1032.0540999999998	SvenssonLinks
2175.9	1034.2954	SvenssonLinks
2193.328	1042.9017	SvenssonLinks
2197.994	1045.2232	SvenssonLinks
2200.507	1046.5603	SvenssonLinks
2202.29	1048.5496	SvenssonLinks
2207.53	1054.9244	SvenssonLinks
2223.93	1072.9110500000002	SvenssonLinks
2236.819	1085.6603	SvenssonLinks
2241.555	1088.6617	SvenssonLinks
2249.72	1097.7233	SvenssonLinks
2250.53	1098.6907	SvenssonLinks
2252.045	1100.30355	SvenssonLinks
2257.93	1104.8169	SvenssonLinks
2265.98	1110.65845	SvenssonLinks
2269.91	1113.91	SvenssonLinks
2281.58	1126.4641	SvenssonLinks
2283.64	1128.11925	SvenssonLinks
2287.04	1131.2186000000002	SvenssonLinks
2291.05	1134.5295	SvenssonLinks
2298.735	1140.5064	SvenssonLinks
2304.88	1144.52	SvenssonLinks
2306.902	1145.7373	SvenssonLinks
2309.126	1147.2226500000002	SvenssonLinks
2320.513	1154.3309	SvenssonLinks
2347.35	1181.26585	SvenssonLinks
2351.03	1183.4676	SvenssonLinks
2361.54	1190.93	SvenssonLinks
2375.84	1199.7054	SvenssonLinks
2386.63	1205.459	SvenssonLinks
2390.604	1207.4301500000001	SvenssonLinks
2415.02	1219.21	SvenssonLinks
2420.13	1221.7092	SvenssonLinks
2429.538	1230.15	SvenssonLinks
2447.875	1242.2386	SvenssonLinks
2449.785	1243.21	SvenssonLinks
2453.106	1245.26	SvenssonLinks
2461.6	1249.7577	SvenssonLinks
