#Sigl WD_GRIP volcanic matching done from existing DEP data.
depth1	depth2	reference
139.3839	139.1365	WD_GRIP_Sigl
143.15456	142.90114	WD_GRIP_Sigl
181.31995	182.41005	WD_GRIP_Sigl
187.29059	188.45998	WD_GRIP_Sigl
205.9964	208.83713	WD_GRIP_Sigl
219.5368	223.29808	WD_GRIP_Sigl
256.15244	264.103	WD_GRIP_Sigl
269.39	279.3105	WD_GRIP_Sigl
309.70468	325.77286	WD_GRIP_Sigl
320.86798	339.464	WD_GRIP_Sigl
331.87845	351.35205	WD_GRIP_Sigl
338.89203	359.6614	WD_GRIP_Sigl
339.8614	361.01752	WD_GRIP_Sigl
356.2628	380.16846	WD_GRIP_Sigl
394.24423	423.70557	WD_GRIP_Sigl
413.21722	445.54684	WD_GRIP_Sigl
475.05817	518.4427	WD_GRIP_Sigl
479.29388	523.8032	WD_GRIP_Sigl
486.67575	532.688	WD_GRIP_Sigl
493.0477	541.39795	WD_GRIP_Sigl
513.4398	568.0407	WD_GRIP_Sigl
526.7442	583.8395	WD_GRIP_Sigl
534.13794	593.9524	WD_GRIP_Sigl
553.4706	619.32996	WD_GRIP_Sigl
659.32324	747.6572	WD_GRIP_Sigl
673.5012	765.16394	WD_GRIP_Sigl
701.841	799.7706	WD_GRIP_Sigl
709.99976	810.3125	WD_GRIP_Sigl
733.55396	841.3834	WD_GRIP_Sigl
736.48346	845.08386	WD_GRIP_Sigl
740.5822	850.7301	WD_GRIP_Sigl
784.47253	907.3998	WD_GRIP_Sigl
788.4935	912.8256	WD_GRIP_Sigl
802.7877	931.28845	WD_GRIP_Sigl
849.95685	994.85754	WD_GRIP_Sigl
899.83575	1057.2961	WD_GRIP_Sigl
931.807	1098.9819	WD_GRIP_Sigl
966.1077	1143.7565	WD_GRIP_Sigl
1041.722	1244.02	WD_GRIP_Sigl
1050.3352	1255.5516	WD_GRIP_Sigl
1074.6251	1285.7777	WD_GRIP_Sigl
1100.8826	1317.8323	WD_GRIP_Sigl
1119.7312	1340.3066	WD_GRIP_Sigl
1121.4303	1342.235	WD_GRIP_Sigl
1125.0488	1346.6412	WD_GRIP_Sigl
1126.6034	1348.8064	WD_GRIP_Sigl
1130.2767	1353.3916	WD_GRIP_Sigl
1141.4327	1367.7133	WD_GRIP_Sigl
1145.1074	1372.6033	WD_GRIP_Sigl
1153.8562	1383.8218	WD_GRIP_Sigl
1165.798	1399.3188	WD_GRIP_Sigl
1182.7148	1421.587	WD_GRIP_Sigl
1186.5862	1426.5767	WD_GRIP_Sigl
1192.5775	1433.9701	WD_GRIP_Sigl
1202.1266	1446.1354	WD_GRIP_Sigl
1210.3097	1456.9567	WD_GRIP_Sigl
1215.6667	1463.5116	WD_GRIP_Sigl
1225.1112	1475.1012	WD_GRIP_Sigl
1227.296	1477.8752	WD_GRIP_Sigl
1232.3667	1483.47	WD_GRIP_Sigl
1234.0825	1485.4048	WD_GRIP_Sigl
1237.378	1489.2062	WD_GRIP_Sigl
1252.1018	1505.6184	WD_GRIP_Sigl
1268.2043	1524.5071	WD_GRIP_Sigl
1269.4244	1525.9445	WD_GRIP_Sigl
1340.3931	1607.919	WD_GRIP_Sigl
1346.81	1614.9736	WD_GRIP_Sigl
1354.6954	1624.0154	WD_GRIP_Sigl
1359.5299	1629.4144	WD_GRIP_Sigl
1362.8712	1633.229	WD_GRIP_Sigl
1378.8939	1651.124	WD_GRIP_Sigl
1380.4996	1652.9624	WD_GRIP_Sigl
1399.8749	1674.9333	WD_GRIP_Sigl
1404.4261	1679.8826	WD_GRIP_Sigl
1425.531	1702.9266	WD_GRIP_Sigl
1452.896	1732.9674	WD_GRIP_Sigl
1459.9875	1741.2144	WD_GRIP_Sigl
1489.6915	1775.345	WD_GRIP_Sigl
1492.8092	1779.3671	WD_GRIP_Sigl
1509.2411	1799.1902	WD_GRIP_Sigl
1512.1714	1802.5999	WD_GRIP_Sigl
1517.3218	1808.8666	WD_GRIP_Sigl
1528.5948	1822.9694	WD_GRIP_Sigl
1529.4889	1824.2096	WD_GRIP_Sigl
1532.7993	1828.5771	WD_GRIP_Sigl
1536.4926	1833.0356	WD_GRIP_Sigl
1538.5718	1835.6399	WD_GRIP_Sigl
1539.0642	1836.3109	WD_GRIP_Sigl
1540.9186	1838.8472	WD_GRIP_Sigl
1541.4108	1839.4426	WD_GRIP_Sigl
1542.5576	1840.9191	WD_GRIP_Sigl
1544.8939	1844.0787	WD_GRIP_Sigl
1549.8325	1850.2968	WD_GRIP_Sigl
1574.6589	1884.1968	WD_GRIP_Sigl
1575.8278	1885.9464	WD_GRIP_Sigl
1598.9012	1919.0813	WD_GRIP_Sigl
1609.4066	1937.6833	WD_GRIP_Sigl
1615.6246	1948.5011	WD_GRIP_Sigl
