#Svensson Match Points, unpublished.
depth1	depth2	reference
1356.746	312.765	SvenssonLinks
1370.02	320.949	SvenssonLinks
1396.43	338.556	SvenssonLinks
1404.23	344.807	SvenssonLinks
1410.3	349.927	SvenssonLinks
1413.86	352.845	SvenssonLinks
1418.955	357.038	SvenssonLinks
1429.08	370.087	SvenssonLinks
1430.56	371.943	SvenssonLinks
1441.43	384.13100000000003	SvenssonLinks
1445.007	387.279	SvenssonLinks
1446.08	388.03000000000003	SvenssonLinks
1447.056	388.708	SvenssonLinks
1447.92	389.357	SvenssonLinks
1452.02	393.008	SvenssonLinks
1462.3690000000001	400.284	SvenssonLinks
1467.49	404.13920631263164	SvenssonLinks
1484.035	417.1	SvenssonLinks
1489.4660000000001	421.883	SvenssonLinks
1490.348	423.062	SvenssonLinks
1493.3020000000001	427.105	SvenssonLinks
1497.556	433.2355505766063	SvenssonLinks
1510.686	451.532	SvenssonLinks
1525.84	471.28	SvenssonLinks
1528.84	475.01722197170966	SvenssonLinks
1532.52	478.86775318871827	SvenssonLinks
1539.73	486.1	SvenssonLinks
1548.03	492.5	SvenssonLinks
1561.195	502.75	SvenssonLinks
1585.4	526.45	SvenssonLinks
1587.2	528.28	SvenssonLinks
1610.2	553.1	SvenssonLinks
1610.41	553.32	SvenssonLinks
1617.105	561.376	SvenssonLinks
1619.62	564.41	SvenssonLinks
1622.85	568.22	SvenssonLinks
1624.3	569.95	SvenssonLinks
1641.23	586.28	SvenssonLinks
1642.78	588.0	SvenssonLinks
1647.55	593.45	SvenssonLinks
1665.98	613.2	SvenssonLinks
1678.65	626.54	SvenssonLinks
1683.32	632.28	SvenssonLinks
1688.83	636.42	SvenssonLinks
1696.18	644.76	SvenssonLinks
1712.05	661.85	SvenssonLinks
1717.88	666.38	SvenssonLinks
1719.26	667.8	SvenssonLinks
1724.05	671.93	SvenssonLinks
1728.47	677.14	SvenssonLinks
1730.51	679.52	SvenssonLinks
1740.05	689.12	SvenssonLinks
1742.65	691.11	SvenssonLinks
1754.19	699.02	SvenssonLinks
1757.3	701.27	SvenssonLinks
1759.0	702.592	SvenssonLinks
1760.4	704.155	SvenssonLinks
1764.63	710.0	SvenssonLinks
1771.08	718.95	SvenssonLinks
1774.32	723.22	SvenssonLinks
1774.76	723.82	SvenssonLinks
1777.73	726.31	SvenssonLinks
1786.92	737.48	SvenssonLinks
1796.12	748.08	SvenssonLinks
1796.74	748.96	SvenssonLinks
1797.81	750.33	SvenssonLinks
1801.8	754.28	SvenssonLinks
1807.0	759.56	SvenssonLinks
1812.9	766.15	SvenssonLinks
1818.48	773.55	SvenssonLinks
1819.87	775.02	SvenssonLinks
1820.59	775.9	SvenssonLinks
1821.96	777.48	SvenssonLinks
1822.12	777.65	SvenssonLinks
1824.74	780.58	SvenssonLinks
1829.657	785.82	SvenssonLinks
1833.48	789.4	SvenssonLinks
1834.824	790.56	SvenssonLinks
1836.231	791.88	SvenssonLinks
1843.675	798.503	SvenssonLinks
1847.19	802.85	SvenssonLinks
1854.62	815.27	SvenssonLinks
1863.15	826.0	SvenssonLinks
1865.65	828.55	SvenssonLinks
1876.39	841.62	SvenssonLinks
1882.7	848.95	SvenssonLinks
1889.52	856.76	SvenssonLinks
1891.996	859.49	SvenssonLinks
1908.0	876.66	SvenssonLinks
1911.415	880.53	SvenssonLinks
1918.79	893.62	SvenssonLinks
1919.82	895.59	SvenssonLinks
1921.21	897.7	SvenssonLinks
1927.3	906.82	SvenssonLinks
1929.8	910.2	SvenssonLinks
1933.35	915.695	SvenssonLinks
1938.82	923.37	SvenssonLinks
1941.25	927.11	SvenssonLinks
1948.9	939.54	SvenssonLinks
1952.0	944.59	SvenssonLinks
1952.65	946.097	SvenssonLinks
1956.91	956.34	SvenssonLinks
1965.61	975.658	SvenssonLinks
1969.0	982.19	SvenssonLinks
1972.8	990.38	SvenssonLinks
1974.18	992.95	SvenssonLinks
1981.01	1006.668	SvenssonLinks
1984.52	1013.72	SvenssonLinks
1987.28	1019.41	SvenssonLinks
1990.89	1027.86	SvenssonLinks
1992.32	1031.04	SvenssonLinks
1995.66	1038.55	SvenssonLinks
1998.45	1043.957	SvenssonLinks
2006.134	1057.974	SvenssonLinks
2009.768	1063.95	SvenssonLinks
2011.98	1070.2	SvenssonLinks
2012.38	1071.194	SvenssonLinks
2015.15	1078.96	SvenssonLinks
2015.44	1079.72	SvenssonLinks
2016.979	1082.29	SvenssonLinks
2022.73	1092.32	SvenssonLinks
2026.18	1097.96	SvenssonLinks
2029.18	1102.911	SvenssonLinks
2033.15	1113.0	SvenssonLinks
2035.74	1118.45	SvenssonLinks
2037.425	1120.9	SvenssonLinks
2046.0	1134.95	SvenssonLinks
2049.4	1140.57	SvenssonLinks
2057.0	1152.77	SvenssonLinks
2063.43	1163.2	SvenssonLinks
2069.7	1173.03	SvenssonLinks
2071.54	1176.06	SvenssonLinks
2073.3	1178.96	SvenssonLinks
2088.2	1205.68	SvenssonLinks
2089.95	1211.41	SvenssonLinks
2103.14	1237.99	SvenssonLinks
2109.7	1246.75	SvenssonLinks
2118.662	1254.6	SvenssonLinks
2126.88	1260.86	SvenssonLinks
2128.87	1262.49	SvenssonLinks
2134.9	1271.19	SvenssonLinks
2161.03	1311.44	SvenssonLinks
2162.12	1314.14	SvenssonLinks
2163.48	1318.1	SvenssonLinks
2171.4	1342.71	SvenssonLinks
2179.96	1369.77	SvenssonLinks
2180.45	1371.1	SvenssonLinks
2182.09	1377.0	SvenssonLinks
2186.295	1391.99	SvenssonLinks
2188.66	1402.62	SvenssonLinks
2188.82	1404.33	SvenssonLinks
2190.3	1411.92	SvenssonLinks
2199.46	1434.12	SvenssonLinks
2205.575	1452.36	SvenssonLinks
2206.03	1455.97	SvenssonLinks
