#Svensson Match Points, unpublished.
depth1	depth2	reference
1356.746	1808.9	SvenssonLinks
1370.02	1836.4	SvenssonLinks
1396.43	1896.608	SvenssonLinks
1404.23	1919.17	SvenssonLinks
1410.3	1937.7540000000001	SvenssonLinks
1413.86	1948.55	SvenssonLinks
1418.955	1965.488	SvenssonLinks
1429.08	2012.5	SvenssonLinks
1430.56	2019.0710000000001	SvenssonLinks
1441.43	2068.34	SvenssonLinks
1445.007	2082.951	SvenssonLinks
1446.08	2086.525	SvenssonLinks
1447.056	2089.552	SvenssonLinks
1447.92	2092.7200000000003	SvenssonLinks
1452.02	2111.2490000000003	SvenssonLinks
1462.3690000000001	2145.37	SvenssonLinks
1467.49	2164.1528	SvenssonLinks
1484.035	2219.809	SvenssonLinks
1489.4660000000001	2240.15	SvenssonLinks
1490.348	2245.205	SvenssonLinks
1493.3020000000001	2263.204	SvenssonLinks
1497.556	2288.38	SvenssonLinks
1510.686	2361.136	SvenssonLinks
1525.84	2424.095	SvenssonLinks
1528.84	2434.0	SvenssonLinks
1532.52	2444.685	SvenssonLinks
1535.29	2451.02	SvenssonLinks
1539.73	2462.05	SvenssonLinks
1548.03	2478.16	SvenssonLinks
1550.3	2482.73	SvenssonLinks
1561.195	2506.97	SvenssonLinks
1585.4	2567.25	SvenssonLinks
1587.2	2572.0293	SvenssonLinks
1610.2	2633.7	SvenssonLinks
1610.41	2634.3540000000003	SvenssonLinks
1617.105	2660.23	SvenssonLinks
1619.62	2670.087	SvenssonLinks
1622.85	2681.92	SvenssonLinks
1624.3	2687.3808	SvenssonLinks
1641.23	2742.86	SvenssonLinks
1642.78	2749.08	SvenssonLinks
1647.55	2768.1	SvenssonLinks
1661.59	2807.69	SvenssonLinks
1665.98	2822.2	SvenssonLinks
1678.65	2851.69	SvenssonLinks
1683.32	2863.15	SvenssonLinks
1688.83	2872.32	SvenssonLinks
1696.18	2890.77	SvenssonLinks
1712.05	2928.33	SvenssonLinks
1717.88	2939.56	SvenssonLinks
1719.26	2943.085	SvenssonLinks
1724.05	2953.05	SvenssonLinks
1728.47	2964.32	SvenssonLinks
1730.51	2969.13	SvenssonLinks
1740.05	2987.25	SvenssonLinks
1742.65	2991.1330000000003	SvenssonLinks
1754.19	3006.318	SvenssonLinks
1757.3	3010.469	SvenssonLinks
1759.0	3012.89	SvenssonLinks
1760.4	3016.45	SvenssonLinks
1764.63	3027.63	SvenssonLinks
1766.64	3033.15	SvenssonLinks
1771.08	3044.28	SvenssonLinks
1774.32	3052.1	SvenssonLinks
1774.76	3053.262	SvenssonLinks
1777.73	3057.95	SvenssonLinks
1786.92	3079.07	SvenssonLinks
1790.006	3083.92	SvenssonLinks
1796.12	3098.606	SvenssonLinks
1796.74	3100.16	SvenssonLinks
1797.81	3102.68	SvenssonLinks
1801.8	3109.92	SvenssonLinks
1807.0	3118.82	SvenssonLinks
1809.58	3123.9	SvenssonLinks
1812.9	3130.11	SvenssonLinks
1818.48	3142.5	SvenssonLinks
1819.87	3144.96	SvenssonLinks
1820.59	3146.5	SvenssonLinks
1822.12	3149.45	SvenssonLinks
1824.74	3154.24	SvenssonLinks
1829.657	3162.931	SvenssonLinks
1833.48	3169.04	SvenssonLinks
1834.824	3170.992	SvenssonLinks
1836.231	3173.17	SvenssonLinks
1843.675	3184.42	SvenssonLinks
1847.19	3192.0	SvenssonLinks
1854.62	3212.62	SvenssonLinks
1863.15	3228.32	SvenssonLinks
1865.65	3231.9	SvenssonLinks
1876.39	3249.64	SvenssonLinks
1882.7	3260.32	SvenssonLinks
1889.52	3271.39	SvenssonLinks
1891.996	3274.77	SvenssonLinks
1908.0	3297.95	SvenssonLinks
1911.415	3303.76	SvenssonLinks
1918.79	3320.22	SvenssonLinks
1919.82	3322.22	SvenssonLinks
1933.35	3340.35	SvenssonLinks
1938.82	3346.06	SvenssonLinks
1941.25	3348.86	SvenssonLinks
1948.9	3357.86	SvenssonLinks
1952.0	3361.9	SvenssonLinks
1952.65	3362.95	SvenssonLinks
1956.91	3369.575	SvenssonLinks
1965.61	3378.275	SvenssonLinks
1969.0	3380.67	SvenssonLinks
1972.8	3384.21	SvenssonLinks
1974.18	3385.29	SvenssonLinks
1981.01	3392.42	SvenssonLinks
1984.52	3397.1	SvenssonLinks
1986.25	3399.99	SvenssonLinks
1987.28	3401.54	SvenssonLinks
