#EDML_NGRIP from Vinther et al EDC4
depth1	depth2	reference
35.59	17.2	VintherEDC4
47.85	22.8	VintherEDC4
48.76	23.24	VintherEDC4
52.4	24.95	VintherEDC4
53.83	25.64	VintherEDC4
78.47	37.49	VintherEDC4
89.19	42.39	VintherEDC4
96.94	46.15	VintherEDC4
124.13	59.09	VintherEDC4
145.89	68.55	VintherEDC4
158.12	74.01	VintherEDC4
161.49	75.38	VintherEDC4
166.77	77.68	VintherEDC4
177.61	82.32	VintherEDC4
265.32	117.71	VintherEDC4
284.21	125.25	VintherEDC4
290.21	127.65	VintherEDC4
331.21	143.58	VintherEDC4
337.42	146.15	VintherEDC4
342.27	148.27	VintherEDC4
353.26	152.87	VintherEDC4
406.79	173.84	VintherEDC4
410.73	175.32	VintherEDC4
453.0	192.75	VintherEDC4
476.48	202.87	VintherEDC4
481.98	204.91	VintherEDC4
500.31	212.09	VintherEDC4
570.73	240.7	VintherEDC4
609.52	256.45	VintherEDC4
641.01	270.72	VintherEDC4
644.87	272.3	VintherEDC4
678.63	286.44	VintherEDC4
684.97	289.28	VintherEDC4
702.01	296.28	VintherEDC4
761.04	322.34	VintherEDC4
777.54	329.6	VintherEDC4
793.59	336.67	VintherEDC4
824.1	349.69	VintherEDC4
907.48	384.76	VintherEDC4
926.39	392.82	VintherEDC4
964.59	409.51	VintherEDC4
971.87	412.67	VintherEDC4
1011.62	429.15	VintherEDC4
1016.23	431.24	VintherEDC4
1056.33	448.29	VintherEDC4
1118.32	473.97	VintherEDC4
1163.62	493.58	VintherEDC4
1234.93	525.5	VintherEDC4
1248.69	531.9	VintherEDC4
1256.52	535.54	VintherEDC4
1273.39	543.62	VintherEDC4
1296.21	554.93	VintherEDC4
1316.18	565.03	VintherEDC4
1338.36	576.69	VintherEDC4
1341.32	578.32	VintherEDC4
1349.38	582.64	VintherEDC4
