#Includes NG2-EDML tiepoints from AICC2012
depth1	depth2	reference
1371.54	595.34	AICC2012
1376.59	598.32	AICC2012
1380.09	600.4	AICC2012
1399.37	611.23	AICC2012
1410.64	618.13	AICC2012
1416.85	622.08	AICC2012
1419.07	623.52	AICC2012
1421.17	624.93	AICC2012
1424.22	626.94	AICC2012
1426.16	628.21	AICC2012
1428.52	629.89	AICC2012
1458.67	650.25	AICC2012
1462.87	653.38	AICC2012
1466.11	655.88	AICC2012
1468.59	657.71	AICC2012
1470.65	659.14	AICC2012
1479.72	667.04	AICC2012
1485.09	671.28	AICC2012
2111.58	1369.54	AICC2012
2115.41	1372.73	AICC2012
2118.62	1375.15	AICC2012
2547.22	1866.62	AICC2012
2547.97	1867.56	AICC2012
2550.06	1869.51	AICC2012
2551.45	1870.93	AICC2012
2558.43	1877.57	AICC2012
2558.76	1877.85	AICC2012
2564.35	1882.96	AICC2012
2564.7	1883.31	AICC2012
2572.61	1890.58	AICC2012
