#Svensson Match Points, unpublished.
depth1	depth2	reference
1399.381	611.253	SvenssonLinks
1419.08	623.5	SvenssonLinks
1458.68	650.25	SvenssonLinks
1470.64	659.52	SvenssonLinks
1479.711	667.038	SvenssonLinks
1485.084	671.266	SvenssonLinks
1492.34	677.11	SvenssonLinks
1492.65	677.51	SvenssonLinks
1494.0	679.48	SvenssonLinks
1501.88	692.19	SvenssonLinks
1506.13	700.181	SvenssonLinks
1508.049	703.395	SvenssonLinks
1522.22	725.831	SvenssonLinks
1527.32	731.464	SvenssonLinks
1529.03	732.625	SvenssonLinks
1530.4940000000001	733.65	SvenssonLinks
1531.81	734.77	SvenssonLinks
1538.352	741.235	SvenssonLinks
1555.516	754.712	SvenssonLinks
1564.5	761.6928700000001	SvenssonLinks
1595.04	784.903	SvenssonLinks
1605.0040000000001	793.21	SvenssonLinks
1606.517	795.517	SvenssonLinks
1611.97	803.859	SvenssonLinks
1619.54	816.3	SvenssonLinks
1625.57	825.99	SvenssonLinks
1627.96	829.82	SvenssonLinks
1628.21	830.26	SvenssonLinks
1642.661	854.42	SvenssonLinks
1645.86	859.64	SvenssonLinks
1653.93	873.07	SvenssonLinks
1657.95	880.07	SvenssonLinks
1664.9	891.98	SvenssonLinks
1667.92	896.769	SvenssonLinks
1670.12	899.8	SvenssonLinks
1671.35	901.373	SvenssonLinks
1673.21	904.0	SvenssonLinks
1674.03	905.1	SvenssonLinks
1675.23	906.65	SvenssonLinks
1677.76	909.48	SvenssonLinks
1679.65	911.72	SvenssonLinks
1684.3	916.58	SvenssonLinks
1688.69	921.735	SvenssonLinks
1692.28	925.15	SvenssonLinks
1693.09	925.95	SvenssonLinks
1706.1	936.7	SvenssonLinks
1710.06	939.69	SvenssonLinks
1721.322	949.176425	SvenssonLinks
1728.18	955.21	SvenssonLinks
1728.59	955.6	SvenssonLinks
1729.17	956.11	SvenssonLinks
1734.77	961.375	SvenssonLinks
1747.0900000000001	972.7121	SvenssonLinks
1751.03	976.47578	SvenssonLinks
1758.52	984.65857	SvenssonLinks
1770.805	997.8	SvenssonLinks
1774.15	1001.4	SvenssonLinks
1784.44	1012.55	SvenssonLinks
1794.5	1023.05	SvenssonLinks
1795.42	1024.19	SvenssonLinks
1795.79	1024.75	SvenssonLinks
1797.64	1027.5835	SvenssonLinks
1801.9	1033.57	SvenssonLinks
1805.58	1039.0	SvenssonLinks
1814.63	1051.37	SvenssonLinks
1814.919	1051.81	SvenssonLinks
1824.01	1064.77	SvenssonLinks
1827.205	1069.723	SvenssonLinks
1829.14	1072.53	SvenssonLinks
1831.59	1076.9370000000001	SvenssonLinks
1832.99	1079.25	SvenssonLinks
1837.38	1085.66	SvenssonLinks
1840.25	1089.4315000000001	SvenssonLinks
1841.19	1090.69	SvenssonLinks
1842.48	1092.49	SvenssonLinks
1843.683	1094.12	SvenssonLinks
1850.08	1103.4	SvenssonLinks
1855.0	1109.62	SvenssonLinks
1862.58	1118.46	SvenssonLinks
1869.52	1123.98	SvenssonLinks
1872.22	1127.7	SvenssonLinks
1877.95	1135.22	SvenssonLinks
1880.0	1138.0	SvenssonLinks
1892.34	1146.8	SvenssonLinks
1902.87	1160.14	SvenssonLinks
1903.45	1160.95	SvenssonLinks
1910.98	1170.19	SvenssonLinks
1915.58	1174.5	SvenssonLinks
1925.62	1184.55	SvenssonLinks
1931.08	1190.58	SvenssonLinks
1934.6599999999999	1194.68	SvenssonLinks
1939.54	1199.6	SvenssonLinks
1949.6	1206.06	SvenssonLinks
1954.6000000000001	1211.398	SvenssonLinks
1962.25	1220.12	SvenssonLinks
1963.76	1222.02	SvenssonLinks
1977.85	1233.75	SvenssonLinks
1982.33	1239.18	SvenssonLinks
1989.9	1247.97	SvenssonLinks
1992.63	1249.78	SvenssonLinks
2000.22	1254.95325	SvenssonLinks
2002.8899999999999	1257.131	SvenssonLinks
2009.39	1262.29	SvenssonLinks
2010.98	1263.7	SvenssonLinks
2012.94	1265.776	SvenssonLinks
2015.38	1268.423	SvenssonLinks
2016.41	1269.4	SvenssonLinks
2018.48	1272.27	SvenssonLinks
2022.25	1276.3	SvenssonLinks
2032.52	1286.83	SvenssonLinks
2038.06	1291.82	SvenssonLinks
2042.284	1295.108	SvenssonLinks
2054.15	1302.36	SvenssonLinks
2061.99	1307.595	SvenssonLinks
2067.37	1311.084	SvenssonLinks
2070.24	1313.08	SvenssonLinks
2072.476	1316.039	SvenssonLinks
2079.0	1326.04	SvenssonLinks
2082.16	1331.3	SvenssonLinks
2089.08	1342.33	SvenssonLinks
2094.1330000000003	1349.534	SvenssonLinks
2094.881	1350.59	SvenssonLinks
2100.03	1354.57	SvenssonLinks
2106.01	1362.28	SvenssonLinks
2109.62	1366.56	SvenssonLinks
2113.22	1370.57	SvenssonLinks
2116.181	1372.717	SvenssonLinks
2121.857	1376.915	SvenssonLinks
2129.82	1386.61	SvenssonLinks
2132.213	1390.02	SvenssonLinks
2132.64	1390.49	SvenssonLinks
2133.26	1391.454	SvenssonLinks
2135.12	1393.78	SvenssonLinks
2142.37	1400.141	SvenssonLinks
2151.8	1408.04	SvenssonLinks
2156.53	1412.4	SvenssonLinks
2157.88	1413.7	SvenssonLinks
2159.8	1415.64	SvenssonLinks
2161.98	1418.12	SvenssonLinks
2171.42	1429.11	SvenssonLinks
2173.9	1431.27	SvenssonLinks
2175.16	1432.5	SvenssonLinks
2177.7	1434.82	SvenssonLinks
2177.99	1435.08	SvenssonLinks
2182.77	1439.07	SvenssonLinks
2191.98	1446.28	SvenssonLinks
2199.2	1451.14	SvenssonLinks
2201.554	1452.63	SvenssonLinks
2204.139	1454.356	SvenssonLinks
2217.638	1462.987	SvenssonLinks
2224.0	1468.91	SvenssonLinks
2227.22	1473.06	SvenssonLinks
2230.18	1477.55	SvenssonLinks
2237.22	1487.91	SvenssonLinks
2241.74	1493.3	SvenssonLinks
2245.63	1497.9	SvenssonLinks
2252.88	1503.6	SvenssonLinks
2257.55	1507.33	SvenssonLinks
2271.13	1520.42	SvenssonLinks
2277.65	1526.13	SvenssonLinks
2289.42	1536.6	SvenssonLinks
2302.75	1547.79	SvenssonLinks
2307.609	1551.53	SvenssonLinks
2318.91	1560.393	SvenssonLinks
2329.1	1568.3	SvenssonLinks
2337.93	1575.51	SvenssonLinks
2344.6	1580.8	SvenssonLinks
2344.98	1581.04	SvenssonLinks
2346.6	1583.32	SvenssonLinks
2348.72	1587.05	SvenssonLinks
2352.78	1593.61	SvenssonLinks
2355.55	1596.69	SvenssonLinks
2357.412	1599.96	SvenssonLinks
2359.45	1602.8	SvenssonLinks
2362.28	1605.6319452555	SvenssonLinks
2367.03	1609.93	SvenssonLinks
2373.41	1618.42	SvenssonLinks
2374.32	1619.39	SvenssonLinks
2378.13	1623.18	SvenssonLinks
2382.65	1628.15	SvenssonLinks
2383.32	1628.87	SvenssonLinks
2385.24	1630.61	SvenssonLinks
2389.487	1635.13	SvenssonLinks
2395.84	1640.66	SvenssonLinks
2399.05	1644.02	SvenssonLinks
2400.69	1645.949	SvenssonLinks
2402.96	1647.9	SvenssonLinks
2403.591	1648.907	SvenssonLinks
2405.91	1652.25	SvenssonLinks
2415.95	1662.732	SvenssonLinks
2417.46	1665.239	SvenssonLinks
2421.724	1670.14	SvenssonLinks
2422.824	1672.313	SvenssonLinks
2430.41	1687.65	SvenssonLinks
2434.96	1696.16	SvenssonLinks
2437.142	1699.82	SvenssonLinks
2445.9	1716.11	SvenssonLinks
2451.86	1725.12	SvenssonLinks
2458.75	1735.28	SvenssonLinks
2461.16	1738.45	SvenssonLinks
2467.41	1745.66	SvenssonLinks
2469.208	1747.7250000000001	SvenssonLinks
2469.74	1748.47	SvenssonLinks
2475.109	1756.75	SvenssonLinks
2478.76	1762.07	SvenssonLinks
2481.763	1766.861	SvenssonLinks
2485.19	1771.93	SvenssonLinks
2487.42	1775.207	SvenssonLinks
2494.16	1786.1	SvenssonLinks
2495.15	1787.75	SvenssonLinks
2498.29	1792.59	SvenssonLinks
2505.21	1804.27	SvenssonLinks
2508.14	1807.33	SvenssonLinks
2508.24	1807.57	SvenssonLinks
2509.193	1809.67	SvenssonLinks
