#Includes GRIP-GISP2 data from GICC05modeltext from the 2014 GIRP GISP2 timescale
depth1	depth2	age_unc	comment
33.047	30.62	10	
46.33	43.153	10	
54.507	50.887	10	
57.16	53.407	10	
58.228	54.51	10	
62.79	58.696	10	
64.348	60.217	10	
72.111	67.345	10	
76.574	71.679	10	
77.685	72.66	10	
79.486	74.297	10	
85.924	80.384	10	
94.943	88.99	10	
100.201	93.852	10	
102.63	95.911	10	
108.832	102.057	10	
118.582	110.961	10	
127.082	118.883	10	
140.11	131.185	10	
141.107	132.165	10	
142.558	133.506	10	
148.711	139.361	10	
152.702	143.147	10	
179.998	168.836	10	
193.245	181.382	10	
199.612	187.276	10	
206.042	193.26	10	
217.252	203.746	10	
219.577	205.949	10	
233.885	219.532	10	
251.785	236.622	10	
253.421	238.209	10	
258.023	242.398	10	
272.342	256.127	10	
274.945	258.548	10	
280.411	263.77	10	
286.346	269.401	10	
311.176	293.208	10	
313.877	295.56	10	
328.632	309.634	10	
340.496	320.826	10	
359.633	339.821	10	
362.613	342.632	10	
374.423	353.835	10	
377.538	356.668	10	
378.27	357.317	10	
381.832	360.789	10	
384.922	363.582	10	
409.021	386.867	10	
416.912	394.24	10	
436.747	413.241	10	
453.396	429.082	10	
480.92	455.319	10	
489.284	463.335	10	
500.776	474.25	10	
509.122	482.431	10	
514.603	488.019	10	
519.779	493.026	10	
521.91	495.148	10	
523.36	496.54	10	
541.556	513.319	10	
549.42	520.143	10	
550.62	521.216	10	
556.906	526.677	10	
563.094	534.105	10	
565.992	537.032	10	
567.182	538.043	10	
568.035	538.881	10	
571.353	542.039	10	
583.5	553.42	10	
588.116	557.915	10	
589.41	559.171	10	
590.061	559.781	10	
597.648	566.991	10	
598.253	567.608	10	
600.108	569.365	10	
606.707	575.685	10	
607.92	576.878	10	
609.763	578.665	10	
611.597	580.538	10	
675.338	641.734	10	
693.989	659.752	10	
694.702	660.359	10	
716.994	680.827	10	
738.559	701.851	10	
739.247	702.625	10	
759.111	721.738	10	
762.935	725.468	10	
766.877	729.514	10	
774.522	736.469	10	
778.824	740.562	10	
781.864	743.423	10	
807.156	768.638	10	
811.506	772.741	10	
818.757	779.447	10	
819.071	779.778	10	
828.459	788.494	10	
875.957	835.012	10	
877.297	836.316	10	
925.426	882.653	10	
925.913	883.104	10	
935.751	891.88	10	
937.995	894.091	10	
943.417	899.532	10	
977.716	931.785	10	
1013.66	966.075	10	
1058.252	1007.837	10	
1105.374	1054.615	10	
1108.135	1057.3	10	
1108.665	1057.813	10	
1118.097	1066.996	10	
1119.683	1068.542	10	
1122.511	1071.26	10	
1126.021	1074.603	10	
1129.793	1078.332	10	
1174.004	1122.099	10	
1178.63	1126.512	10	
1193.516	1141.405	10	
1197.419	1145.09	10	
1201.505	1148.964	10	
