#Includes GISP2-NEEM data from Sigl ion datasheet
depth1	depth2	age_unc	comment
3.19	11.755	10	
32.99315	36.232437	10	
35.95934	38.490646	10	
39.861427	40.930283	10	
42.502235	43.946377	10	
46.066727	47.479412	10	
48.9571	50.39018	10	
51.251053	52.890575	10	
56.846928	57.078846	10	
58.112118	57.969643	10	
62.88266	61.83384	10	
64.48452	63.393646	10	
72.35766	70.337845	10	
76.49529	74.53634	10	
77.805756	75.52049	10	
79.72026	77.08058	10	
83.830124	80.74016	10	
86.51046	82.973175	10	
94.95904	90.61308	10	
102.130646	96.71568	10	
107.7019	101.38247	10	
108.862564	102.31459	10	
118.08952	111.14556	10	
122.378975	115.0543	10	
126.49996	118.849106	10	
139.61214	130.65404	10	
148.39807	137.81732	10	
152.27052	141.55219	10	
160.24779	149.56927	10	
179.84401	165.81703	10	
183.53804	168.92145	10	
193.18169	177.5504	10	
195.48555	179.73332	10	
199.5844	183.32617	10	
205.99373	189.07031	10	
211.00575	193.97244	10	
213.2745	196.04543	10	
215.07982	197.6551	10	
217.3675	199.70624	10	
219.63953	201.77689	10	
230.05138	210.96794	10	
232.74095	213.56952	10	
234.12032	214.5764	10	
251.6331	230.60855	10	
253.4397	232.076	10	
256.13763	234.11441	10	
272.40356	248.79613	10	
274.913	251.02922	10	
277.56934	253.58907	10	
280.45056	255.95872	10	
286.4226	261.36157	10	
291.28983	266.07184	10	
298.5949	272.8107	10	
310.28717	283.68866	10	
313.80057	286.43375	10	
318.6242	290.11206	10	
327.5521	298.3711	10	
328.65982	299.24988	10	
339.41492	309.01196	10	
340.49	309.865	10	
362.74066	329.71738	10	
366.98196	333.40604	10	
374.49908	340.0165	10	
376.85315	342.2159	10	
382.0109	346.69763	10	
383.60614	348.1756	10	
386.69962	350.71048	10	
409.03915	371.08563	10	
413.22134	374.63416	10	
416.72552	377.53613	10	
422.47617	382.34207	10	
426.1652	385.9348	10	
436.73477	395.0493	10	
438.6083	396.64584	10	
441.35675	398.98395	10	
448.2275	405.4297	10	
453.73566	410.65082	10	
479.2275	432.77292	10	
481.0573	434.24655	10	
489.8679	441.75464	10	
493.2349	445.25293	10	
499.99188	451.7438	10	
500.9097	452.5564	10	
505.40802	456.32703	10	
514.7985	464.4693	10	
519.75415	469.22867	10	
521.9647	471.2273	10	
530.3976	479.03574	10	
541.54565	489.01862	10	
549.53	495.2615	10	
556.6498	501.2348	10	
563.2116	508.47632	10	
568.01794	513.1218	10	
