#Includes GISP=NG2 data from GICC05modeltext from the 2014 GIRP GISP2 timescale
depth1	depth2	age_unc	comment
1518.432	1347.301	10	
1518.714	1347.572	10	
1519.167	1347.982	10	
1519.851	1348.622	10	
1520.17	1348.91	10	
1523.784	1352.313	10	
1525.729	1354.108	10	
1526.143	1354.471	10	
1527.483	1355.647	10	
1527.988	1356.152	10	
1528.863	1356.942	10	
1529.859	1357.815	10	
1532.725	1360.44	10	
1533.135	1360.809	10	
1534.289	1361.85	10	
1534.843	1362.292	10	
1535.884	1363.283	10	
1538.445	1365.587	10	
1539.09	1366.183	10	
1542.035	1368.942	10	
1543.164	1369.947	10	
1544.94	1371.582	10	
1546.83	1373.277	10	
1547.675	1374.067	10	
1548.001	1374.411	10	
1549.696	1375.911	10	
1551.173	1377.255	10	
1552.782	1378.674	10	
1554.336	1380.094	10	
1554.799	1380.564	10	
1555.442	1381.106	10	
1556.242	1381.892	10	
1556.932	1382.516	10	
1558.357	1383.761	10	
1559.117	1384.466	10	
1561.38	1386.425	10	
1561.642	1386.683	10	
1561.744	1386.748	10	
1563.495	1388.287	10	
1564.149	1388.887	10	
1564.623	1389.313	10	
1565.151	1389.81	10	
1565.774	1390.366	10	
1566.833	1391.359	10	
1567.674	1392.143	10	
1568.786	1393.092	10	
1569.214	1393.478	10	
1570.585	1394.674	10	
1573.154	1397.144	10	
1573.857	1397.728	10	
1574.543	1398.341	10	
1575.216	1398.991	10	
1575.712	1399.381	10	
1577.804	1401.406	10	
1578.133	1401.735	10	
1579.444	1402.992	10	
1580.503	1403.983	10	
1583.701	1406.929	10	
1586.947	1409.82	10	
1587.851	1410.627	10	
1589.592	1412.266	10	
1591.116	1413.64	10	
1592.599	1414.993	10	
1593.818	1416.066	10	
1594.695	1416.837	10	
1596.068	1418.076	10	
1597.213	1419.082	10	
1599.487	1421.185	10	
1602.168	1423.593	10	
1602.868	1424.195	10	
1604.034	1425.268	10	
1605.008	1426.16	10	
1605.986	1427.027	10	
1606.924	1427.862	10	
1607.655	1428.496	10	
1610.722	1431.246	10	
1614.36	1434.5	10	
1622.55	1441.926	10	
1625.233	1444.479	10	
1625.897	1445.091	10	
1627.373	1446.405	10	
1628.329	1447.28	10	
1629.351	1448.17	10	
1632.094	1450.593	10	
1632.259	1450.749	10	
1637.925	1455.97	10	
1638.825	1456.768	10	
1639.775	1457.7	10	
1640.948	1458.709	10	
1643.131	1460.777	10	
1644.461	1461.967	10	
1646.889	1464.205	10	
1648.322	1465.562	10	
1648.529	1465.768	10	
1648.904	1466.13	10	
1651.42	1468.415	10	
1652.256	1469.15	10	
1653.867	1470.627	10	
1654.409	1471.126	10	
1655.627	1472.231	10	
1656.079	1472.639	10	
1657.798	1474.171	10	
1659.382	1475.59	10	
1660.263	1476.458	10	
1661.737	1477.841	10	
1661.903	1477.998	10	
1663.536	1479.487	10	
1663.8	1479.72	10	
1663.938	1479.873	10	
