#Includes NG2-GRIP from GICC21 tiepoints
depth1	depth2	age_unc	comment
20.801	13.003	10	
24.331	17.342	10	
32.004	26.359	10	
36.052	30.646	10	
40.808	36.097	10	
42.499	37.898	10	
43.419	38.927	10	
56.837	53.107	10	
57.903	54.399	10	
60.34	57.067	10	
61.791	58.685	10	
63.947	61.048	10	
64.907	61.855	10	
65.93	62.981	10	
67.668	64.752	10	
67.913	64.988	10	
68.615	65.804	10	
70.208	67.4	10	
73.007	70.407	10	
75.4	72.653	10	
76.95	74.3	10	
82.333	80.314	10	
85.255	83.614	10	
88.857	87.591	10	
93.07	92.141	10	
96.7	95.916	10	
101.291	100.978	10	
102.419	102.196	10	
103.416	103.144	10	
103.628	103.356	10	
106.348	106.1	10	
107.214	107.069	10	
109.233	109.132	10	
111.063	110.928	10	
112.891	112.673	10	
114.911	114.835	10	
118.731	118.886	10	
124.398	124.727	10	
125.215	125.6	10	
130.532	131.206	10	
133.372	134.31	10	
137.766	139.391	10	
141.385	143.16	10	
143.016	144.614	10	
143.256	144.776	10	
147.611	149.3	10	
151.87	153.8	10	
155.492	158.0	10	
157.954	160.7	10	
160.957	163.757	10	
162.261	165.061	10	
164.813	167.686	10	
165.212	168.151	10	
165.792	168.872	10	
166.449	169.528	10	
166.657	169.745	10	
168.47	171.665	10	
173.047	176.97	10	
177.12	181.014	10	
177.456	181.404	10	
177.981	181.863	10	
178.974	182.684	10	
179.742	183.477	10	
183.33	187.381	10	
185.38	189.386	10	
187.247	191.346	10	
189.085	193.3	10	
193.403	197.3	10	
193.592	197.6	10	
199.563	203.705	10	
201.659	205.972	10	
204.709	209.317	10	
210.097	215.003	10	
210.616	215.453	10	
210.813	215.618	10	
214.525	219.584	10	
215.464	220.428	10	
219.553	224.544	10	
221.384	226.54	10	
228.374	234.153	10	
230.25	236.2	10	
230.547	236.631	10	
231.928	238.201	10	
232.162	238.424	10	
234.212	240.607	10	
236.714	243.095	10	
238.0	244.3	10	
239.02	245.395	10	
240.581	247.2	10	
240.841	247.45	10	
241.061	247.677	10	
244.521	251.558	10	
245.343	252.47	10	
245.966	253.195	10	
247.231	254.761	10	
248.711	256.2	10	
250.948	258.55	10	
252.682	260.493	10	
255.927	263.8	10	
256.037	264.0	10	
256.842	264.691	10	
261.377	269.491	10	
263.671	271.761	10	
264.321	272.4	10	
271.938	280.838	10	
276.221	285.4	10	
278.927	288.256	10	
281.496	290.683	10	
283.524	293.118	10	
285.922	295.639	10	
287.105	296.994	10	
287.7	297.55	10	
293.504	303.8	10	
299.184	309.7	10	
302.05	312.65	10	
307.928	318.861	10	
308.847	319.878	10	
309.782	320.9	10	
318.75	330.415	10	
320.208	331.887	10	
322.0	333.916	10	
323.444	335.449	10	
323.692	335.72	10	
325.25	337.617	10	
327.238	339.8	10	
329.804	342.655	10	
340.001	353.8	10	
340.6	354.451	10	
342.851	356.867	10	
346.556	360.803	10	
347.63	362.057	10	
347.832	362.265	10	
350.75	365.493	10	
354.216	369.3	10	
356.651	371.955	10	
358.8	373.945	10	
359.299	374.469	10	
367.891	384.097	10	
371.903	388.054	10	
372.772	388.822	10	
373.656	389.65	10	
377.451	394.166	10	
377.633	394.3	10	
380.45	397.603	10	
383.748	401.101	10	
387.289	404.85	10	
390.719	408.521	10	
395.048	413.372	10	
396.6	415.0	10	
396.7	415.2	10	
401.748	420.366	10	
408.773	427.328	10	
410.564	429.12	10	
