#Includes GICC21 tie points
depth1	depth2	reference
13.735	13.003	GICC21
17.199	17.342	GICC21
24.448	26.359	GICC21
28.175	30.646	GICC21
32.727	36.097	GICC21
34.267	37.898	GICC21
35.177	38.927	GICC21
47.607	53.107	GICC21
48.771	54.399	GICC21
51.068	57.067	GICC21
52.438	58.685	GICC21
54.507	61.048	GICC21
55.216	61.855	GICC21
56.252	62.981	GICC21
57.821	64.752	GICC21
57.985	64.988	GICC21
58.69	65.804	GICC21
60.108	67.4	GICC21
62.633	70.407	GICC21
64.55	72.653	GICC21
65.997	74.3	GICC21
70.933	80.314	GICC21
73.631	83.614	GICC21
77.053	87.591	GICC21
80.925	92.141	GICC21
84.172	95.916	GICC21
88.267	100.978	GICC21
89.244	102.196	GICC21
90.044	103.144	GICC21
90.28	103.356	GICC21
92.7	106.1	GICC21
93.519	107.069	GICC21
95.354	109.132	GICC21
96.922	110.928	GICC21
98.487	112.673	GICC21
100.345	114.835	GICC21
103.753	118.886	GICC21
108.778	124.727	GICC21
109.479	125.6	GICC21
114.293	131.206	GICC21
116.735	134.31	GICC21
120.932	139.391	GICC21
124.116	143.16	GICC21
125.45	144.614	GICC21
125.618	144.776	GICC21
129.43	149.3	GICC21
133.234	153.8	GICC21
136.559	158.0	GICC21
138.775	160.7	GICC21
141.427	163.757	GICC21
142.719	165.061	GICC21
144.88	167.686	GICC21
145.3	168.151	GICC21
145.909	168.872	GICC21
146.42	169.528	GICC21
146.643	169.745	GICC21
148.323	171.665	GICC21
152.597	176.97	GICC21
156.087	181.014	GICC21
156.369	181.404	GICC21
156.821	181.863	GICC21
157.563	182.684	GICC21
158.316	183.477	GICC21
161.514	187.381	GICC21
163.309	189.386	GICC21
164.972	191.346	GICC21
166.579	193.3	GICC21
170.184	197.3	GICC21
170.392	197.6	GICC21
175.591	203.705	GICC21
177.579	205.972	GICC21
180.272	209.317	GICC21
185.14	215.003	GICC21
185.519	215.453	GICC21
185.71	215.618	GICC21
189.11	219.584	GICC21
189.83	220.428	GICC21
193.49	224.544	GICC21
195.146	226.54	GICC21
201.4	234.153	GICC21
203.15	236.2	GICC21
203.451	236.631	GICC21
204.699	238.201	GICC21
204.871	238.424	GICC21
206.816	240.607	GICC21
209.022	243.095	GICC21
210.075	244.3	GICC21
211.039	245.395	GICC21
212.514	247.2	GICC21
212.7	247.45	GICC21
212.889	247.677	GICC21
215.947	251.558	GICC21
216.742	252.47	GICC21
217.245	253.195	GICC21
218.496	254.761	GICC21
219.724	256.2	GICC21
221.7	258.55	GICC21
223.366	260.493	GICC21
226.239	263.8	GICC21
226.357	264.0	GICC21
226.981	264.691	GICC21
231.012	269.491	GICC21
232.98	271.761	GICC21
233.539	272.4	GICC21
240.645	280.838	GICC21
244.578	285.4	GICC21
247.045	288.256	GICC21
249.124	290.683	GICC21
251.163	293.118	GICC21
253.339	295.639	GICC21
254.44	296.994	GICC21
255.026	297.55	GICC21
260.345	303.8	GICC21
265.37	309.7	GICC21
267.789	312.65	GICC21
273.195	318.861	GICC21
274.036	319.878	GICC21
274.95	320.9	GICC21
282.957	330.415	GICC21
284.279	331.887	GICC21
285.983	333.916	GICC21
287.323	335.449	GICC21
287.527	335.72	GICC21
289.124	337.617	GICC21
290.904	339.8	GICC21
293.412	342.655	GICC21
303.0	353.8	GICC21
303.526	354.451	GICC21
305.642	356.867	GICC21
309.034	360.803	GICC21
310.005	362.057	GICC21
310.193	362.265	GICC21
312.884	365.493	GICC21
315.95	369.3	GICC21
318.299	371.955	GICC21
320.126	373.945	GICC21
320.576	374.469	GICC21
328.879	384.097	GICC21
332.378	388.054	GICC21
333.093	388.822	GICC21
333.787	389.65	GICC21
337.5	394.166	GICC21
337.684	394.3	GICC21
340.467	397.603	GICC21
343.48	401.101	GICC21
346.7	404.85	GICC21
349.825	408.521	GICC21
353.836	413.372	GICC21
355.336	415.0	GICC21
355.452	415.2	GICC21
360.98	420.366	GICC21
366.286	427.328	GICC21
367.841	429.12	GICC21
370.838	432.498	GICC21
375.245	437.478	GICC21
377.264	439.988	GICC21
379.039	442.165	GICC21
387.723	452.311	GICC21
388.854	453.674	GICC21
390.235	455.433	GICC21
390.633	455.838	GICC21
398.189	464.496	GICC21
402.545	469.393	GICC21
405.178	472.229	GICC21
406.858	474.3	GICC21
409.045	476.993	GICC21
411.139	479.365	GICC21
415.197	484.195	GICC21
418.774	488.013	GICC21
423.121	493.063	GICC21
424.83	495.187	GICC21
427.699	498.43	GICC21
435.43	507.068	GICC21
435.943	507.65	GICC21
437.984	509.797	GICC21
441.266	513.471	GICC21
444.996	517.78	GICC21
447.574	520.8	GICC21
448.167	521.4	GICC21
