#Includes Seierstad 2014 and Rasmussen 2014 tie points (same file)
depth1	depth2	reference
28.165	30.62	Seierstad2014_Rasmussen2014
38.885	43.153	Seierstad2014_Rasmussen2014
45.625	50.887	Seierstad2014_Rasmussen2014
47.855	53.407	Seierstad2014_Rasmussen2014
48.792	54.51	Seierstad2014_Rasmussen2014
52.424	58.696	Seierstad2014_Rasmussen2014
53.704	60.217	Seierstad2014_Rasmussen2014
60.087	67.345	Seierstad2014_Rasmussen2014
63.691	71.679	Seierstad2014_Rasmussen2014
64.509	72.66	Seierstad2014_Rasmussen2014
65.961	74.297	Seierstad2014_Rasmussen2014
70.978	80.384	Seierstad2014_Rasmussen2014
78.304	88.99	Seierstad2014_Rasmussen2014
82.415	93.852	Seierstad2014_Rasmussen2014
84.137	95.911	Seierstad2014_Rasmussen2014
89.217	102.057	Seierstad2014_Rasmussen2014
96.896	110.961	Seierstad2014_Rasmussen2014
103.746	118.883	Seierstad2014_Rasmussen2014
114.202	131.185	Seierstad2014_Rasmussen2014
116.078	133.506	Seierstad2014_Rasmussen2014
120.927	139.361	Seierstad2014_Rasmussen2014
124.213	143.147	Seierstad2014_Rasmussen2014
145.876	168.836	Seierstad2014_Rasmussen2014
156.338	181.382	Seierstad2014_Rasmussen2014
161.464	187.276	Seierstad2014_Rasmussen2014
166.566	193.26	Seierstad2014_Rasmussen2014
175.668	203.746	Seierstad2014_Rasmussen2014
177.617	205.949	Seierstad2014_Rasmussen2014
189.114	219.532	Seierstad2014_Rasmussen2014
203.378	236.622	Seierstad2014_Rasmussen2014
204.702	238.209	Seierstad2014_Rasmussen2014
208.345	242.398	Seierstad2014_Rasmussen2014
219.677	256.127	Seierstad2014_Rasmussen2014
221.721	258.548	Seierstad2014_Rasmussen2014
226.223	263.77	Seierstad2014_Rasmussen2014
230.975	269.401	Seierstad2014_Rasmussen2014
251.183	293.208	Seierstad2014_Rasmussen2014
253.315	295.56	Seierstad2014_Rasmussen2014
265.305	309.634	Seierstad2014_Rasmussen2014
274.888	320.826	Seierstad2014_Rasmussen2014
282.929	330.285	Seierstad2014_Rasmussen2014
284.147	331.855	Seierstad2014_Rasmussen2014
290.216	338.872	Seierstad2014_Rasmussen2014
290.902	339.821	Seierstad2014_Rasmussen2014
293.41	342.632	Seierstad2014_Rasmussen2014
302.978	353.835	Seierstad2014_Rasmussen2014
305.504	356.668	Seierstad2014_Rasmussen2014
306.072	357.317	Seierstad2014_Rasmussen2014
309.002	360.789	Seierstad2014_Rasmussen2014
311.509	363.582	Seierstad2014_Rasmussen2014
331.274	386.867	Seierstad2014_Rasmussen2014
337.655	394.24	Seierstad2014_Rasmussen2014
353.807	413.241	Seierstad2014_Rasmussen2014
367.817	429.082	Seierstad2014_Rasmussen2014
381.29	444.704	Seierstad2014_Rasmussen2014
390.201	455.319	Seierstad2014_Rasmussen2014
397.121	463.335	Seierstad2014_Rasmussen2014
406.797	474.25	Seierstad2014_Rasmussen2014
413.918	482.431	Seierstad2014_Rasmussen2014
418.717	488.019	Seierstad2014_Rasmussen2014
423.115	493.026	Seierstad2014_Rasmussen2014
424.815	495.148	Seierstad2014_Rasmussen2014
426.081	496.54	Seierstad2014_Rasmussen2014
441.204	513.319	Seierstad2014_Rasmussen2014
447.134	520.143	Seierstad2014_Rasmussen2014
448.185	521.216	Seierstad2014_Rasmussen2014
453.041	526.677	Seierstad2014_Rasmussen2014
459.462	534.105	Seierstad2014_Rasmussen2014
462.01	537.032	Seierstad2014_Rasmussen2014
462.944	538.043	Seierstad2014_Rasmussen2014
463.655	538.881	Seierstad2014_Rasmussen2014
466.599	542.039	Seierstad2014_Rasmussen2014
476.531	553.42	Seierstad2014_Rasmussen2014
480.39	557.915	Seierstad2014_Rasmussen2014
481.429	559.171	Seierstad2014_Rasmussen2014
482.014	559.781	Seierstad2014_Rasmussen2014
488.598	566.991	Seierstad2014_Rasmussen2014
489.104	567.608	Seierstad2014_Rasmussen2014
490.679	569.365	Seierstad2014_Rasmussen2014
