#Includes GICC21 tie points
depth1	depth2	reference
13.735	14.1	GICC21
17.199	17.61	GICC21
24.448	25.15	GICC21
28.175	28.46	GICC21
32.727	32.95	GICC21
34.267	34.529	GICC21
35.177	35.48	GICC21
47.607	47.853	GICC21
48.771	49.04	GICC21
51.068	51.3	GICC21
52.438	52.66	GICC21
54.507	54.66	GICC21
55.216	55.33	GICC21
56.252	56.272	GICC21
57.821	58.02	GICC21
57.985	58.219	GICC21
58.69	58.7	GICC21
60.108	60.31	GICC21
62.633	62.81	GICC21
64.55	64.73	GICC21
65.997	66.22	GICC21
70.933	71.254	GICC21
73.631	73.942	GICC21
77.053	77.392	GICC21
80.925	81.04	GICC21
84.172	84.31	GICC21
88.267	88.43	GICC21
89.244	89.46	GICC21
90.044	90.18	GICC21
90.28	90.294	GICC21
92.7	92.86	GICC21
93.519	93.595	GICC21
95.354	95.526	GICC21
96.922	97.06	GICC21
98.487	98.722	GICC21
100.345	100.48	GICC21
103.753	103.91	GICC21
108.778	108.908	GICC21
109.479	109.606	GICC21
114.293	114.35	GICC21
116.735	116.91	GICC21
120.932	121.07	GICC21
124.116	124.28	GICC21
125.45	125.61	GICC21
125.618	125.8	GICC21
129.43	129.56	GICC21
133.234	133.37	GICC21
136.559	136.72	GICC21
138.775	138.94	GICC21
141.427	141.57	GICC21
142.719	142.9	GICC21
144.88	145.04	GICC21
145.3	145.3	GICC21
145.909	146.1	GICC21
146.42	146.58	GICC21
146.643	146.86	GICC21
148.323	148.51	GICC21
152.597	152.74	GICC21
156.087	156.27	GICC21
156.369	156.55	GICC21
156.821	157.0	GICC21
157.563	157.79	GICC21
158.316	158.55	GICC21
161.514	161.73	GICC21
163.309	163.45	GICC21
164.972	165.11	GICC21
166.579	166.78	GICC21
170.184	170.4	GICC21
170.392	170.61	GICC21
175.591	175.79	GICC21
177.579	177.74	GICC21
180.272	180.47	GICC21
185.14	185.31	GICC21
185.519	185.71	GICC21
185.71	185.86	GICC21
189.11	189.12	GICC21
189.83	189.994	GICC21
193.49	193.644	GICC21
195.146	195.25	GICC21
201.4	201.5	GICC21
203.15	203.3	GICC21
203.451	203.62	GICC21
204.699	204.83	GICC21
204.871	205.01	GICC21
206.816	206.93	GICC21
209.022	209.13	GICC21
210.075	210.2	GICC21
211.039	211.23	GICC21
212.514	212.57	GICC21
212.7	212.74	GICC21
212.889	213.02	GICC21
215.947	216.07	GICC21
216.742	216.82	GICC21
217.245	217.35	GICC21
218.496	218.591	GICC21
219.724	219.82	GICC21
