#Includes NG2-GRIP from GICC21 tiepoints
##Includes NG2-GRIP from gicc05modeltext 2014
depth1	depth2	age_unc	comment
1347.301	1460.029	10.0	
1347.572	1460.314	10.0	
1347.982	1460.771	10.0	
1348.622	1461.446	10.0	
1348.91	1461.741	10.0	
1352.313	1465.38	10.0	
1354.108	1467.339	10.0	
1354.471	1467.713	10.0	
1355.647	1469.113	10.0	
1356.152	1469.637	10.0	
1356.942	1470.514	10.0	
1360.44	1474.384	10.0	
1360.809	1474.803	10.0	
1361.85	1476.004	10.0	
1362.292	1476.512	10.0	
1363.283	1477.551	10.0	
1365.587	1480.062	10.0	
1366.183	1480.723	10.0	
1368.942	1483.665	10.0	
1369.947	1484.822	10.0	
1371.582	1486.612	10.0	
1373.277	1488.498	10.0	
1374.067	1489.309	10.0	
1374.411	1489.677	10.0	
1375.911	1491.386	10.0	
1377.255	1492.823	10.0	
1378.674	1494.453	10.0	
1380.094	1496.02	10.0	
1380.564	1496.46	10.0	
1381.106	1497.089	10.0	
1381.892	1497.875	10.0	
1382.516	1498.562	10.0	
1383.761	1499.965	10.0	
1384.466	1500.755	10.0	
1386.425	1502.978	10.0	
1386.683	1503.227	10.0	
1386.748	1503.322	10.0	
1388.287	1505.063	10.0	
1388.887	1505.682	10.0	
1389.313	1506.19	10.0	
1389.81	1506.759	10.0	
1390.366	1507.353	10.0	
1391.359	1508.402	10.0	
1392.143	1509.238	10.0	
1393.092	1510.343	10.0	
1393.478	1510.77	10.0	
1394.674	1512.179	10.0	
1397.144	1514.736	10.0	
1397.728	1515.417	10.0	
1398.341	1516.076	10.0	
1398.991	1516.792	10.0	
1399.381	1517.287	10.0	
1401.406	1519.377	10.0	
1401.735	1519.717	10.0	
1402.992	1521.072	10.0	
1403.983	1522.093	10.0	
1406.929	1525.311	10.0	
1409.82	1528.585	10.0	
1410.627	1529.472	10.0	
1412.266	1531.273	10.0	
1413.64	1532.805	10.0	
1414.993	1534.333	10.0	
1416.066	1535.577	10.0	
1416.837	1536.464	10.0	
1418.076	1537.873	10.0	
1419.082	1539.055	10.0	
1421.185	1541.405	10.0	
1423.593	1544.169	10.0	
1424.195	1544.888	10.0	
1425.268	1546.086	10.0	
1426.16	1547.066	10.0	
1427.027	1548.124	10.0	
1427.862	1549.089	10.0	
1428.496	1549.828	10.0	
1431.246	1553.043	10.0	
1434.5	1556.84	10.0	
1441.926	1565.482	10.0	
1444.479	1568.322	10.0	
1445.091	1569.01	10.0	
1446.405	1570.574	10.0	
1447.28	1571.599	10.0	
1448.17	1572.716	10.0	
1450.593	1575.657	10.0	
1450.749	1575.845	10.0	
1455.97	1581.884	10.0	
1456.768	1582.771	10.0	
1457.7	1583.863	10.0	
1458.709	1585.109	10.0	
1461.967	1588.857	10.0	
1464.205	1591.454	10.0	
1465.562	1592.965	10.0	
1465.768	1593.195	10.0	
1466.13	1593.606	10.0	
1468.415	1596.267	10.0	
1469.15	1597.178	10.0	
1470.627	1598.9	10.0	
1471.126	1599.467	10.0	
1472.231	1600.751	10.0	
1472.639	1601.213	10.0	
1474.171	1603.025	10.0	
1475.59	1604.748	10.0	
1476.458	1605.694	10.0	
1477.841	1607.202	10.0	
1477.998	1607.38	10.0	
1479.487	1609.156	10.0	
1479.72	1609.4	10.0	
1479.873	1609.565	10.0	
1480.91	1610.739	10.0	
1481.502	1611.405	10.0	
1481.764	1611.736	10.0	
1482.282	1612.372	10.0	
1483.132	1613.454	10.0	
1483.722	1614.064	10.0	
1484.243	1614.686	10.0	
1485.087	1615.618	10.0	
1485.262	1615.825	10.0	
1485.496	1616.125	10.0	
1485.813	1616.486	10.0	
1486.093	1616.821	10.0	
1486.196	1616.973	10.0	
1486.374	1617.201	10.0	
1486.619	1617.481	10.0	
1487.396	1618.466	10.0	
1487.852	1618.985	10.0	
1488.447	1619.709	10.0	
1488.766	1620.031	10.0	
1489.03	1620.366	10.0	
1489.416	1620.808	10.0	
1490.08	1621.569	10.0	
1490.432	1621.972	10.0	
1490.74	1622.299	10.0	
1491.298	1622.973	10.0	
1491.813	1623.553	10.0	
1492.61	1624.449	10.0	
1493.636	1625.651	10.0	
1493.801	1625.816	10.0	
1494.431	1626.516	10.0	
1495.381	1627.543	10.0	
1495.785	1628.029	10.0	
1496.112	1628.338	10.0	
1500.734	1633.481	10.0	
1501.85	1634.636	10.0	
1503.499	1636.505	10.0	
1504.02	1637.1	10.0	
1506.108	1639.543	10.0	
1507.008	1640.521	10.0	
1508.05	1641.7	10.0	
1511.357	1645.339	10.0	
1512.004	1646.133	10.0	
1513.462	1647.815	10.0	
1517.98	1652.898	10.0	
1522.206	1657.511	10.0	
1524.185	1659.829	10.0	
1524.77	1660.462	10.0	
1525.454	1661.219	10.0	
1525.862	1661.702	10.0	
1526.497	1662.378	10.0	
