#Includes GICC21 tie points
depth1	depth2	reference
14.1	19.839	GICC21
17.61	23.419	GICC21
25.15	31.277	GICC21
28.46	35.368	GICC21
32.95	40.108	GICC21
34.529	41.844	GICC21
35.48	42.794	GICC21
47.853	56.239	GICC21
49.04	57.362	GICC21
51.3	59.804	GICC21
52.66	61.163	GICC21
54.66	63.383	GICC21
55.33	64.346	GICC21
56.272	65.441	GICC21
58.02	67.109	GICC21
58.219	67.308	GICC21
58.7	68.058	GICC21
60.31	69.693	GICC21
62.81	72.424	GICC21
64.73	74.9	GICC21
66.22	76.4	GICC21
71.254	81.783	GICC21
73.942	84.747	GICC21
77.392	88.381	GICC21
81.04	92.583	GICC21
84.31	96.25	GICC21
88.43	100.886	GICC21
89.46	101.991	GICC21
90.18	102.966	GICC21
90.294	103.154	GICC21
92.86	105.85	GICC21
93.595	106.764	GICC21
95.526	108.831	GICC21
97.06	110.658	GICC21
98.722	112.453	GICC21
100.48	114.465	GICC21
103.91	118.297	GICC21
108.908	123.966	GICC21
109.606	124.798	GICC21
114.35	130.082	GICC21
116.91	132.966	GICC21
121.07	137.355	GICC21
124.28	140.923	GICC21
125.61	142.589	GICC21
125.8	142.781	GICC21
129.56	147.175	GICC21
133.37	151.398	GICC21
136.72	155.073	GICC21
138.94	157.503	GICC21
141.57	160.495	GICC21
142.9	161.864	GICC21
145.04	164.3	GICC21
145.3	164.703	GICC21
146.1	165.339	GICC21
146.58	166.032	GICC21
146.86	166.25	GICC21
148.51	168.019	GICC21
152.74	172.593	GICC21
156.27	176.632	GICC21
156.55	177.029	GICC21
157.0	177.556	GICC21
157.79	178.5	GICC21
158.55	179.315	GICC21
161.73	182.946	GICC21
163.45	184.907	GICC21
165.11	186.829	GICC21
166.78	188.885	GICC21
170.4	192.965	GICC21
170.61	193.166	GICC21
175.79	199.122	GICC21
177.74	201.179	GICC21
180.47	204.21	GICC21
185.31	209.652	GICC21
185.71	210.102	GICC21
185.86	210.353	GICC21
189.12	214.021	GICC21
189.994	214.88	GICC21
193.644	219.182	GICC21
195.25	220.952	GICC21
201.5	228.0	GICC21
203.3	230.127	GICC21
203.62	230.43	GICC21
204.83	231.65	GICC21
205.01	231.82	GICC21
206.93	233.898	GICC21
209.13	236.409	GICC21
210.2	237.7	GICC21
211.23	238.646	GICC21
212.57	240.3	GICC21
212.74	240.45	GICC21
213.02	240.7	GICC21
216.07	244.223	GICC21
216.82	245.004	GICC21
217.35	245.643	GICC21
218.591	247.003	GICC21
219.82	248.3	GICC21
221.82	250.512	GICC21
223.491	252.308	GICC21
226.4	255.536	GICC21
226.59	255.635	GICC21
227.09	256.405	GICC21
231.09	260.956	GICC21
233.1	263.261	GICC21
233.6	263.889	GICC21
240.8	271.553	GICC21
244.65	275.849	GICC21
247.14	278.6	GICC21
249.259	280.858	GICC21
251.27	283.099	GICC21
253.51	285.507	GICC21
254.576	286.715	GICC21
255.18	287.278	GICC21
260.45	293.0	GICC21
265.48	298.77	GICC21
268.1	301.6	GICC21
273.28	307.562	GICC21
274.1	308.488	GICC21
275.03	309.449	GICC21
283.05	318.4	GICC21
284.4	319.77	GICC21
286.08	321.6	GICC21
287.42	323.049	GICC21
287.59	323.231	GICC21
289.2	324.95	GICC21
291.0	326.784	GICC21
293.5	329.368	GICC21
303.05	339.6	GICC21
303.65	340.25	GICC21
305.72	342.514	GICC21
309.13	346.194	GICC21
310.116	347.255	GICC21
310.33	347.5	GICC21
313.0	350.413	GICC21
316.06	353.865	GICC21
318.374	356.401	GICC21
320.2	358.36	GICC21
320.7	358.931	GICC21
329.01	367.826	GICC21
332.491	371.518	GICC21
333.21	372.4	GICC21
333.9	373.286	GICC21
337.6	377.1	GICC21
337.75	377.322	GICC21
340.55	380.171	GICC21
343.6	383.4	GICC21
346.75	386.973	GICC21
349.9	390.329	GICC21
353.98	394.7	GICC21
355.5	396.245	GICC21
355.6	396.399	GICC21
360.072	401.389	GICC21
366.37	408.505	GICC21
367.92	410.2	GICC21
370.93	413.434	GICC21
375.3	418.192	GICC21
377.325	420.269	GICC21
379.12	422.167	GICC21
387.83	431.243	GICC21
388.96	432.35	GICC21
390.35	433.85	GICC21
390.75	434.271	GICC21
398.28	442.287	GICC21
402.57	446.931	GICC21
405.189	449.567	GICC21
406.92	451.296	GICC21
409.137	453.664	GICC21
411.12	455.858	GICC21
415.289	460.429	GICC21
418.6	464.037	GICC21
423.1	468.821	GICC21
424.83	470.78	GICC21
427.7	473.917	GICC21
435.47	482.21	GICC21
435.9	482.805	GICC21
437.94	485.122	GICC21
441.16	488.608	GICC21
444.85	492.466	GICC21
447.4	495.1	GICC21
448.1	495.885	GICC21
450.8	498.8	GICC21
451.47	499.527	GICC21
451.74	499.8	GICC21
452.97	501.045	GICC21
454.15	502.388	GICC21
459.35	508.093	GICC21
463.6	512.738	GICC21
464.593	513.673	GICC21
466.76	515.903	GICC21
470.8	520.2	GICC21
471.71	521.062	GICC21
472.8	522.259	GICC21
474.94	524.706	GICC21
475.1	524.924	GICC21
475.36	525.2	GICC21
476.4	526.103	GICC21
480.4	530.411	GICC21
481.3	531.351	GICC21
481.9	531.936	GICC21
484.44	534.853	GICC21
485.56	535.976	GICC21
485.7	536.1	GICC21
485.82	536.309	GICC21
486.35	536.8	GICC21
486.5	536.947	GICC21
488.25	538.647	GICC21
488.58	538.945	GICC21
490.52	541.0	GICC21
493.07	543.644	GICC21
495.9	546.652	GICC21
497.03	547.918	GICC21
505.27	556.557	GICC21
506.11	557.558	GICC21
509.64	561.157	GICC21
512.67	564.383	GICC21
513.22	564.933	GICC21
517.33	569.298	GICC21
517.64	569.639	GICC21
518.39	570.341	GICC21
526.64	578.941	GICC21
529.77	582.142	GICC21
530.24	582.629	GICC21
531.46	583.947	GICC21
533.33	585.811	GICC21
535.27	587.815	GICC21
536.96	589.554	GICC21
537.49	590.078	GICC21
543.73	596.462	GICC21
544.86	597.834	GICC21
550.86	604.195	GICC21
555.15	608.757	GICC21
556.51	610.149	GICC21
560.52	614.4	GICC21
561.61	615.529	GICC21
562.6	616.565	GICC21
563.78	617.72	GICC21
569.05	623.369	GICC21
570.68	624.99	GICC21
571.66	626.0	GICC21
572.13	626.463	GICC21
572.95	627.278	GICC21
573.37	627.717	GICC21
573.86	628.283	GICC21
577.16	631.6	GICC21
578.92	633.377	GICC21
579.16	633.65	GICC21
581.1	635.7	GICC21
581.26	635.862	GICC21
581.55	636.08	GICC21
582.53	637.1	GICC21
585.19	639.606	GICC21
588.53	642.971	GICC21
590.1	644.58	GICC21
593.7	648.202	GICC21
595.07	649.586	GICC21
595.28	649.83	GICC21
596.24	650.734	GICC21
596.7	651.2	GICC21
597.04	651.571	GICC21
600.32	654.961	GICC21
602.56	657.2	GICC21
604.64	659.335	GICC21
607.38	662.1	GICC21
609.29	664.072	GICC21
610.0	664.75	GICC21
613.42	668.302	GICC21
615.46	670.486	GICC21
616.51	671.57	GICC21
617.36	672.262	GICC21
618.33	673.509	GICC21
623.99	679.093	GICC21
626.2	681.456	GICC21
627.6	682.758	GICC21
628.18	683.388	GICC21
628.61	683.816	GICC21
630.83	686.234	GICC21
633.79	689.07	GICC21
634.54	689.829	GICC21
635.07	690.426	GICC21
640.93	696.149	GICC21
641.64	696.785	GICC21
643.97	699.419	GICC21
644.67	700.216	GICC21
645.15	700.616	GICC21
647.38	702.921	GICC21
648.83	704.412	GICC21
655.01	710.648	GICC21
655.88	711.332	GICC21
661.03	716.443	GICC21
666.38	722.02	GICC21
670.28	725.792	GICC21
