#Includes NEEM-NG2 from gicc05modeltext tephra tiepoints
##Includes NEEM-NG2 from gicc05modeltext ECM tiepoints
###Includes NEEM-NG2 from the GICC21 matchpoints
depth1	depth2	age_unc	comment
14.1	20.801	10.0	
17.61	24.331	10.0	
25.15	32.004	10.0	
28.46	36.052	10.0	
32.95	40.808	10.0	
34.529	42.499	10.0	
35.48	43.419	10.0	
47.853	56.837	10.0	
49.04	57.903	10.0	
51.3	60.34	10.0	
52.66	61.791	10.0	
54.66	63.947	10.0	
55.33	64.907	10.0	
56.272	65.93	10.0	
58.02	67.668	10.0	
58.219	67.913	10.0	
58.7	68.615	10.0	
60.31	70.208	10.0	
62.81	73.007	10.0	
64.73	75.4	10.0	
66.22	76.95	10.0	
71.254	82.333	10.0	
73.942	85.255	10.0	
77.392	88.857	10.0	
81.04	93.07	10.0	
84.31	96.7	10.0	
88.43	101.291	10.0	
89.46	102.419	10.0	
90.18	103.416	10.0	
90.294	103.628	10.0	
92.86	106.348	10.0	
93.595	107.214	10.0	
95.526	109.233	10.0	
97.06	111.063	10.0	
98.722	112.891	10.0	
100.48	114.911	10.0	
103.91	118.731	10.0	
108.908	124.398	10.0	
109.606	125.215	10.0	
114.35	130.532	10.0	
116.91	133.372	10.0	
121.07	137.766	10.0	
124.28	141.385	10.0	
125.61	143.016	10.0	
125.8	143.256	10.0	
129.56	147.611	10.0	
133.37	151.87	10.0	
136.72	155.492	10.0	
138.94	157.954	10.0	
141.57	160.957	10.0	
142.9	162.261	10.0	
145.04	164.813	10.0	
145.3	165.212	10.0	
146.1	165.792	10.0	
146.58	166.449	10.0	
146.86	166.657	10.0	
148.51	168.47	10.0	
152.74	173.047	10.0	
156.27	177.12	10.0	
156.55	177.456	10.0	
157.0	177.981	10.0	
157.79	178.974	10.0	
158.55	179.742	10.0	
161.73	183.33	10.0	
163.45	185.38	10.0	
165.11	187.247	10.0	
166.78	189.085	10.0	
170.4	193.403	10.0	
170.61	193.592	10.0	
175.79	199.563	10.0	
177.74	201.659	10.0	
180.47	204.709	10.0	
185.31	210.097	10.0	
185.71	210.616	10.0	
185.86	210.813	10.0	
189.12	214.525	10.0	
189.994	215.464	10.0	
193.644	219.553	10.0	
195.25	221.384	10.0	
201.5	228.374	10.0	
203.3	230.25	10.0	
203.62	230.547	10.0	
204.83	231.928	10.0	
205.01	232.162	10.0	
206.93	234.212	10.0	
209.13	236.714	10.0	
210.2	238.0	10.0	
211.23	239.02	10.0	
212.57	240.581	10.0	
212.74	240.841	10.0	
213.02	241.061	10.0	
216.07	244.521	10.0	
216.82	245.343	10.0	
217.35	245.966	10.0	
218.591	247.231	10.0	
219.82	248.711	10.0	
221.82	250.948	10.0	
223.491	252.682	10.0	
226.4	255.927	10.0	
226.59	256.037	10.0	
227.09	256.842	10.0	
231.09	261.377	10.0	
233.1	263.671	10.0	
233.6	264.321	10.0	
240.8	271.938	10.0	
244.65	276.221	10.0	
247.14	278.927	10.0	
249.259	281.496	10.0	
251.27	283.524	10.0	
253.51	285.922	10.0	
254.576	287.105	10.0	
255.18	287.7	10.0	
260.45	293.504	10.0	
265.48	299.184	10.0	
268.1	302.05	10.0	
273.28	307.928	10.0	
274.1	308.847	10.0	
275.03	309.782	10.0	
283.05	318.75	10.0	
284.4	320.208	10.0	
286.08	322.0	10.0	
287.42	323.444	10.0	
287.59	323.692	10.0	
289.2	325.25	10.0	
291.0	327.238	10.0	
293.5	329.804	10.0	
303.05	340.001	10.0	
303.65	340.6	10.0	
305.72	342.851	10.0	
309.13	346.556	10.0	
310.116	347.63	10.0	
310.33	347.832	10.0	
313.0	350.75	10.0	
316.06	354.216	10.0	
318.374	356.651	10.0	
320.2	358.8	10.0	
320.7	359.299	10.0	
329.01	367.891	10.0	
332.491	371.903	10.0	
333.21	372.772	10.0	
333.9	373.656	10.0	
337.6	377.451	10.0	
337.75	377.633	10.0	
340.55	380.45	10.0	
343.6	383.748	10.0	
346.75	387.289	10.0	
349.9	390.719	10.0	
353.98	395.048	10.0	
355.5	396.6	10.0	
355.6	396.7	10.0	
360.072	401.748	10.0	
366.37	408.773	10.0	
367.92	410.564	10.0	
1346.554	1319.628	10.0	
1346.721	1319.744	10.0	
1347.749	1320.476	10.0	
1347.994	1320.66	10.0	
1351.282	1323.033	10.0	
1352.299	1323.717	10.0	
1354.103	1324.965	10.0	
1354.487	1325.26	10.0	
1362.883	1331.321	10.0	
1363.565	1331.75	10.0	
1368.477	1335.126	10.0	
1368.954	1335.484	10.0	
1369.132	1335.624	10.0	
1369.412	1335.836	10.0	
1369.687	1336.029	10.0	
1369.796	1336.099	10.0	
1369.952	1336.204	10.0	
1370.217	1336.398	10.0	
1370.96	1336.894	10.0	
1371.575	1337.338	10.0	
1371.937	1337.584	10.0	
1372.116	1337.692	10.0	
1372.423	1337.904	10.0	
1373.56	1338.653	10.0	
1374.083	1339.017	10.0	
1375.505	1339.995	10.0	
1375.697	1340.137	10.0	
1375.911	1340.313	10.0	
1376.067	1340.417	10.0	
1376.596	1340.83	10.0	
1377.716	1341.635	10.0	
1378.673	1342.284	10.0	
1380.089	1343.295	10.0	
1382.169	1344.688	10.0	
1383.745	1345.798	10.0	
1384.089	1346.03	10.0	
1384.47	1346.274	10.0	
1386.381	1347.632	10.0	
1387.608	1348.454	10.0	
1388.204	1348.853	10.0	
1388.752	1349.215	10.0	
1389.117	1349.496	10.0	
1390.359	1350.371	10.0	
1391.35	1351.046	10.0	
1391.684	1351.272	10.0	
1392.142	1351.604	10.0	
1393.308	1352.425	10.0	
1398.34	1356.031	10.0	
1398.997	1356.454	10.0	
1399.381	1356.746	10.0	
1400.061	1357.207	10.0	
1401.741	1358.338	10.0	
