#Includes EDML-EDC links from Ruth et al. 2007 and Severi et al. 2007, original file with interpolated EDC96 depths to EDC99
##Includes AICC2012 EDML-EDC based off of Severi 2007 and Ruth 2007
depth1	depth2	age_unc	comment
8.17	17.19	10.0	
12.16	24.94	10.0	
23.051	46.1	10.0	
29.64	59.11	10.0	
37.94	75.38	10.0	
39.05	77.67	10.0	
41.24	82.32	10.0	
60.28	117.725	10.0	
64.045	125.243	10.0	
65.151	127.65	10.0	
67.034	130.917	10.0	
68.977	134.69	10.0	
73.39	143.59	10.0	
74.685	146.22	10.0	
75.591	148.233	10.0	
76.647	150.413	10.0	
77.813	152.857	10.0	
78.699	154.75	10.0	
79.277	155.98	10.0	
83.67	164.4	10.0	
84.059	165.22	10.0	
84.866	167.01	10.0	
95.764	190.64	10.0	
96.84	192.75	10.0	
126.33	256.47	10.0	
126.61	257.09	10.0	
130.54	265.78	10.0	
133.61	272.31	10.0	
135.38	276.3	10.0	
139.762	285.7	10.0	
140.04	286.3	10.0	
141.3	289.31	10.0	
142.826	292.44	10.0	
144.66	296.29	10.0	
156.535	322.34	10.0	
159.99	329.71	10.0	
163.976	338.1	10.0	
169.29	349.69	10.0	
175.91	363.66	10.0	
208.58	429.16	10.0	
209.73	431.26	10.0	
213.771	438.98	10.0	
215.749	442.63	10.0	
218.812	448.28	10.0	
232.57	473.98	10.0	
234.427	477.15	10.0	
243.13	493.58	10.0	
251.22	508.32	10.0	
253.766	512.77	10.0	
259.31	523.07	10.0	
264.03	531.88	10.0	
270.42	543.65	10.0	
283.0	565.03	10.0	
290.034	576.69	10.0	
291.224	578.33	10.0	
293.996	582.64	10.0	
304.28	598.31	10.0	
305.579	600.41	10.0	
310.94	608.42	10.0	
312.701	611.2	10.0	
317.34	618.14	10.0	
321.034	623.49	10.0	
321.95	624.94	10.0	
322.375	625.58	10.0	
325.17	629.89	10.0	
338.56	650.26	10.0	
339.278	651.35	10.0	
343.61	657.72	10.0	
349.921	667.05	10.0	
350.634	668.07	10.0	
352.81	671.25	10.0	
371.933	703.31	10.0	
377.042	712.255	10.0	
387.31	731.47	10.0	
388.69	733.62	10.0	
389.33	734.75	10.0	
393.0	741.25	10.0	
397.821	750.2	10.0	
400.397	754.72	10.0	
404.14	761.69	10.0	
421.895	793.2	10.0	
425.962	801.47	10.0	
427.872	805.33	10.0	
428.18	806.03	10.0	
429.229	808.23	10.0	
431.95	813.77	10.0	
438.09	825.99	10.0	
447.22	845.35	10.0	
450.49	852.35	10.0	
451.51	854.43	10.0	
453.97	859.65	10.0	
460.39	873.07	10.0	
463.49	879.86	10.0	
464.96	882.82	10.0	
471.6	896.77	10.0	
481.5	916.59	10.0	
494.7	940.82	10.0	
499.206	949.18	10.0	
500.895	952.25	10.0	
502.553	955.21	10.0	
502.723	955.6	10.0	
503.023	956.11	10.0	
504.362	958.25	10.0	
505.99	961.37	10.0	
510.047	968.87	10.0	
512.544	972.71	10.0	
514.782	976.48	10.0	
521.51	988.3	10.0	
528.28	1001.4	10.0	
532.32	1008.8	10.0	
540.36	1024.18	10.0	
541.44	1026.45	10.0	
541.95	1027.58	10.0	
546.42	1037.16	10.0	
547.34	1038.99	10.0	
552.23	1049.49	10.0	
553.11	1051.35	10.0	
553.32	1051.81	10.0	
556.72	1059.06	10.0	
557.67	1061.17	10.0	
561.36	1069.71	10.0	
564.39	1076.93	10.0	
566.111	1080.95	10.0	
567.524	1084.13	10.0	
568.21	1085.66	10.0	
569.942	1089.42	10.0	
573.255	1097.16	10.0	
576.02	1103.61	10.0	
