#Includes Seierstad 2014 and Rasmussen 2014 tie points (same file)
depth1	depth2	reference
33.047	28.165	Seierstad2014_Rasmussen2014
42.334	35.585	Seierstad2014_Rasmussen2014
46.33	38.885	Seierstad2014_Rasmussen2014
54.507	45.625	Seierstad2014_Rasmussen2014
57.16	47.855	Seierstad2014_Rasmussen2014
58.228	48.792	Seierstad2014_Rasmussen2014
62.79	52.424	Seierstad2014_Rasmussen2014
64.348	53.704	Seierstad2014_Rasmussen2014
72.111	60.087	Seierstad2014_Rasmussen2014
76.574	63.691	Seierstad2014_Rasmussen2014
77.685	64.509	Seierstad2014_Rasmussen2014
79.486	65.961	Seierstad2014_Rasmussen2014
85.924	70.978	Seierstad2014_Rasmussen2014
94.943	78.304	Seierstad2014_Rasmussen2014
100.201	82.415	Seierstad2014_Rasmussen2014
102.63	84.137	Seierstad2014_Rasmussen2014
108.832	89.217	Seierstad2014_Rasmussen2014
118.582	96.896	Seierstad2014_Rasmussen2014
127.082	103.746	Seierstad2014_Rasmussen2014
140.11	114.202	Seierstad2014_Rasmussen2014
142.558	116.078	Seierstad2014_Rasmussen2014
148.711	120.927	Seierstad2014_Rasmussen2014
152.702	124.213	Seierstad2014_Rasmussen2014
179.998	145.876	Seierstad2014_Rasmussen2014
193.245	156.338	Seierstad2014_Rasmussen2014
199.612	161.464	Seierstad2014_Rasmussen2014
206.042	166.566	Seierstad2014_Rasmussen2014
217.252	175.668	Seierstad2014_Rasmussen2014
219.577	177.617	Seierstad2014_Rasmussen2014
233.885	189.114	Seierstad2014_Rasmussen2014
251.785	203.378	Seierstad2014_Rasmussen2014
253.421	204.702	Seierstad2014_Rasmussen2014
258.023	208.345	Seierstad2014_Rasmussen2014
272.342	219.677	Seierstad2014_Rasmussen2014
274.945	221.721	Seierstad2014_Rasmussen2014
280.411	226.223	Seierstad2014_Rasmussen2014
286.346	230.975	Seierstad2014_Rasmussen2014
311.176	251.183	Seierstad2014_Rasmussen2014
313.877	253.315	Seierstad2014_Rasmussen2014
328.632	265.305	Seierstad2014_Rasmussen2014
340.496	274.888	Seierstad2014_Rasmussen2014
359.633	290.902	Seierstad2014_Rasmussen2014
362.613	293.41	Seierstad2014_Rasmussen2014
366.891	296.863	Seierstad2014_Rasmussen2014
374.423	302.978	Seierstad2014_Rasmussen2014
377.538	305.504	Seierstad2014_Rasmussen2014
378.27	306.072	Seierstad2014_Rasmussen2014
381.832	309.002	Seierstad2014_Rasmussen2014
384.922	311.509	Seierstad2014_Rasmussen2014
409.021	331.274	Seierstad2014_Rasmussen2014
416.912	337.655	Seierstad2014_Rasmussen2014
436.747	353.807	Seierstad2014_Rasmussen2014
447.966	363.208	Seierstad2014_Rasmussen2014
453.396	367.817	Seierstad2014_Rasmussen2014
480.92	390.201	Seierstad2014_Rasmussen2014
489.284	397.121	Seierstad2014_Rasmussen2014
500.776	406.797	Seierstad2014_Rasmussen2014
509.122	413.918	Seierstad2014_Rasmussen2014
514.603	418.717	Seierstad2014_Rasmussen2014
519.779	423.115	Seierstad2014_Rasmussen2014
521.91	424.815	Seierstad2014_Rasmussen2014
523.36	426.081	Seierstad2014_Rasmussen2014
541.556	441.204	Seierstad2014_Rasmussen2014
549.42	447.134	Seierstad2014_Rasmussen2014
550.62	448.185	Seierstad2014_Rasmussen2014
556.906	453.041	Seierstad2014_Rasmussen2014
563.094	459.462	Seierstad2014_Rasmussen2014
565.992	462.01	Seierstad2014_Rasmussen2014
567.182	462.944	Seierstad2014_Rasmussen2014
568.035	463.655	Seierstad2014_Rasmussen2014
571.353	466.599	Seierstad2014_Rasmussen2014
583.5	476.531	Seierstad2014_Rasmussen2014
588.116	480.39	Seierstad2014_Rasmussen2014
589.41	481.429	Seierstad2014_Rasmussen2014
590.061	482.014	Seierstad2014_Rasmussen2014
597.648	488.598	Seierstad2014_Rasmussen2014
598.253	489.104	Seierstad2014_Rasmussen2014
600.108	490.679	Seierstad2014_Rasmussen2014
606.707	496.157	Seierstad2014_Rasmussen2014
607.92	497.193	Seierstad2014_Rasmussen2014
609.763	498.756	Seierstad2014_Rasmussen2014
611.597	500.299	Seierstad2014_Rasmussen2014
675.338	555.32	Seierstad2014_Rasmussen2014
693.989	571.164	Seierstad2014_Rasmussen2014
694.702	571.774	Seierstad2014_Rasmussen2014
716.994	590.211	Seierstad2014_Rasmussen2014
738.559	609.431	Seierstad2014_Rasmussen2014
739.247	610.122	Seierstad2014_Rasmussen2014
759.111	627.667	Seierstad2014_Rasmussen2014
762.935	630.992	Seierstad2014_Rasmussen2014
766.877	634.698	Seierstad2014_Rasmussen2014
774.522	641.02	Seierstad2014_Rasmussen2014
778.824	644.858	Seierstad2014_Rasmussen2014
781.864	647.497	Seierstad2014_Rasmussen2014
807.156	670.515	Seierstad2014_Rasmussen2014
811.506	674.31	Seierstad2014_Rasmussen2014
818.757	680.452	Seierstad2014_Rasmussen2014
819.071	680.726	Seierstad2014_Rasmussen2014
828.459	688.777	Seierstad2014_Rasmussen2014
875.957	731.983	Seierstad2014_Rasmussen2014
877.297	733.155	Seierstad2014_Rasmussen2014
925.426	777.104	Seierstad2014_Rasmussen2014
925.913	777.544	Seierstad2014_Rasmussen2014
935.751	786.003	Seierstad2014_Rasmussen2014
937.995	788.046	Seierstad2014_Rasmussen2014
943.417	793.232	Seierstad2014_Rasmussen2014
977.716	824.166	Seierstad2014_Rasmussen2014
1013.66	857.206	Seierstad2014_Rasmussen2014
1058.252	898.241	Seierstad2014_Rasmussen2014
1105.374	944.459	Seierstad2014_Rasmussen2014
1108.135	947.109	Seierstad2014_Rasmussen2014
1108.665	947.599	Seierstad2014_Rasmussen2014
1118.097	956.65	Seierstad2014_Rasmussen2014
1119.683	958.136	Seierstad2014_Rasmussen2014
1122.511	960.832	Seierstad2014_Rasmussen2014
1126.021	964.082	Seierstad2014_Rasmussen2014
1129.793	967.655	Seierstad2014_Rasmussen2014
1174.004	1011.647	Seierstad2014_Rasmussen2014
1178.63	1016.17	Seierstad2014_Rasmussen2014
