#Svensson Bipolar Link Sheet - only inter-greenland tiepoints added
depth1	depth2	reference
1356.746	1517.287	Svensson_Links
1370.02	1539.05	Svensson_Links
1396.43	1585.05	Svensson_Links
1404.23	1598.9	Svensson_Links
1410.3	1609.47	Svensson_Links
1413.86	1615.62	Svensson_Links
1418.955	1624.449	Svensson_Links
1429.08	1639.53	Svensson_Links
1430.56	1641.68	Svensson_Links
1441.43	1657.52	Svensson_Links
1445.007	1663.325	Svensson_Links
1446.08	1665.4	Svensson_Links
1447.056	1666.99	Svensson_Links
1447.92	1668.483	Svensson_Links
1452.02	1676.25	Svensson_Links
1462.3690000000001	1696.15	Svensson_Links
1467.49	1706.57	Svensson_Links
1484.035	1742.28	Svensson_Links
1489.4660000000001	1753.75	Svensson_Links
1490.348	1755.46	Svensson_Links
1493.3020000000001	1761.44	Svensson_Links
1497.556	1769.48	Svensson_Links
1510.686	1793.372	Svensson_Links
1561.195	1882.23	Svensson_Links
1585.4	1926.337	Svensson_Links
1610.41	1973.03	Svensson_Links
1617.105	1985.34	Svensson_Links
1624.3	1997.82	Svensson_Links
1641.23	2025.84	Svensson_Links
1642.78	2028.25	Svensson_Links
1647.55	2035.26	Svensson_Links
1678.65	2080.41	Svensson_Links
1683.32	2087.83	Svensson_Links
1688.83	2096.91	Svensson_Links
1712.05	2131.4	Svensson_Links
1717.88	2140.49	Svensson_Links
1724.05	2150.0	Svensson_Links
1730.51	2159.12	Svensson_Links
1740.05	2172.18	Svensson_Links
1742.65	2175.9	Svensson_Links
1749.58	2186.42	Svensson_Links
1754.19	2193.328	Svensson_Links
1757.3	2197.994	Svensson_Links
1759.0	2200.507	Svensson_Links
1760.4	2202.29	Svensson_Links
1764.63	2207.53	Svensson_Links
1777.73	2223.93	Svensson_Links
1786.92	2236.819	Svensson_Links
1790.006	2241.555	Svensson_Links
1796.12	2249.72	Svensson_Links
1796.74	2250.53	Svensson_Links
1797.81	2252.045	Svensson_Links
1801.8	2257.93	Svensson_Links
1807.0	2265.98	Svensson_Links
1809.58	2269.91	Svensson_Links
1818.48	2281.58	Svensson_Links
1819.87	2283.64	Svensson_Links
1821.96	2286.78	Svensson_Links
1822.12	2287.04	Svensson_Links
1824.74	2291.05	Svensson_Links
1829.657	2298.735	Svensson_Links
1833.48	2304.88	Svensson_Links
1834.824	2306.902	Svensson_Links
1836.231	2309.126	Svensson_Links
1843.675	2320.513	Svensson_Links
1849.1	2328.03	Svensson_Links
1863.15	2347.35	Svensson_Links
1865.65	2351.03	Svensson_Links
1876.39	2366.64	Svensson_Links
1882.7	2375.84	Svensson_Links
1889.52	2386.63	Svensson_Links
1891.996	2390.604	Svensson_Links
1908.0	2415.02	Svensson_Links
1911.415	2420.13	Svensson_Links
1918.79	2429.538	Svensson_Links
1919.82	2431.0	Svensson_Links
1933.35	2449.785	Svensson_Links
1938.82	2458.0	Svensson_Links
1941.25	2461.6	Svensson_Links
1965.61	2493.81	Svensson_Links
1974.18	2504.25	Svensson_Links
2006.134	2551.894	Svensson_Links
2015.15	2564.67	Svensson_Links
2015.44	2565.18	Svensson_Links
2016.979	2567.46	Svensson_Links
2022.73	2576.28	Svensson_Links
2026.18	2581.3	Svensson_Links
2035.74	2592.72	Svensson_Links
2037.425	2594.65	Svensson_Links
2046.0	2604.73	Svensson_Links
2049.4	2608.54	Svensson_Links
2057.0	2616.73	Svensson_Links
2063.43	2623.96	Svensson_Links
2069.7	2630.662	Svensson_Links
2071.54	2632.624	Svensson_Links
2073.3	2634.719	Svensson_Links
2084.04	2646.247	Svensson_Links
2088.2	2650.814	Svensson_Links
2118.662	2672.177	Svensson_Links
2134.9	2684.72	Svensson_Links
2162.12	2710.77	Svensson_Links
2163.48	2713.05	Svensson_Links
2180.45	2738.9	Svensson_Links
2182.09	2741.75	Svensson_Links
2188.48	2753.15	Svensson_Links
2188.66	2753.24	Svensson_Links
