#Includes GICC21 tie points
depth1	depth2	reference
13.735	19.839	GICC21
17.199	23.419	GICC21
24.448	31.277	GICC21
28.175	35.368	GICC21
32.727	40.108	GICC21
34.267	41.844	GICC21
35.177	42.794	GICC21
47.607	56.239	GICC21
48.771	57.362	GICC21
51.068	59.804	GICC21
52.438	61.163	GICC21
54.507	63.383	GICC21
55.216	64.346	GICC21
56.252	65.441	GICC21
57.821	67.109	GICC21
57.985	67.308	GICC21
58.69	68.058	GICC21
60.108	69.693	GICC21
62.633	72.424	GICC21
64.55	74.9	GICC21
65.997	76.4	GICC21
70.933	81.783	GICC21
73.631	84.747	GICC21
77.053	88.381	GICC21
80.925	92.583	GICC21
84.172	96.25	GICC21
88.267	100.886	GICC21
89.244	101.991	GICC21
90.044	102.966	GICC21
90.28	103.154	GICC21
92.7	105.85	GICC21
93.519	106.764	GICC21
95.354	108.831	GICC21
96.922	110.658	GICC21
98.487	112.453	GICC21
100.345	114.465	GICC21
103.753	118.297	GICC21
108.778	123.966	GICC21
109.479	124.798	GICC21
114.293	130.082	GICC21
116.735	132.966	GICC21
120.932	137.355	GICC21
124.116	140.923	GICC21
125.45	142.589	GICC21
125.618	142.781	GICC21
129.43	147.175	GICC21
133.234	151.398	GICC21
136.559	155.073	GICC21
138.775	157.503	GICC21
141.427	160.495	GICC21
142.719	161.864	GICC21
144.88	164.3	GICC21
145.3	164.703	GICC21
145.909	165.339	GICC21
146.42	166.032	GICC21
146.643	166.25	GICC21
148.323	168.019	GICC21
152.597	172.593	GICC21
156.087	176.632	GICC21
156.369	177.029	GICC21
156.821	177.556	GICC21
157.563	178.5	GICC21
158.316	179.315	GICC21
161.514	182.946	GICC21
163.309	184.907	GICC21
164.972	186.829	GICC21
166.579	188.885	GICC21
170.184	192.965	GICC21
170.392	193.166	GICC21
175.591	199.122	GICC21
177.579	201.179	GICC21
180.272	204.21	GICC21
185.14	209.652	GICC21
185.519	210.102	GICC21
185.71	210.353	GICC21
189.11	214.021	GICC21
189.83	214.88	GICC21
193.49	219.182	GICC21
