#Includes GICC21 tie points
depth1	depth2	reference
14.1	13.003	GICC21
17.61	17.342	GICC21
25.15	26.359	GICC21
28.46	30.646	GICC21
32.95	36.097	GICC21
34.529	37.898	GICC21
35.48	38.927	GICC21
47.853	53.107	GICC21
49.04	54.399	GICC21
51.3	57.067	GICC21
52.66	58.685	GICC21
54.66	61.048	GICC21
55.33	61.855	GICC21
56.272	62.981	GICC21
58.02	64.752	GICC21
58.219	64.988	GICC21
58.7	65.804	GICC21
60.31	67.4	GICC21
62.81	70.407	GICC21
64.73	72.653	GICC21
66.22	74.3	GICC21
71.254	80.314	GICC21
73.942	83.614	GICC21
77.392	87.591	GICC21
81.04	92.141	GICC21
84.31	95.916	GICC21
88.43	100.978	GICC21
89.46	102.196	GICC21
90.18	103.144	GICC21
90.294	103.356	GICC21
92.86	106.1	GICC21
93.595	107.069	GICC21
95.526	109.132	GICC21
97.06	110.928	GICC21
98.722	112.673	GICC21
100.48	114.835	GICC21
103.91	118.886	GICC21
108.908	124.727	GICC21
109.606	125.6	GICC21
114.35	131.206	GICC21
116.91	134.31	GICC21
121.07	139.391	GICC21
124.28	143.16	GICC21
125.61	144.614	GICC21
125.8	144.776	GICC21
129.56	149.3	GICC21
133.37	153.8	GICC21
136.72	158.0	GICC21
138.94	160.7	GICC21
141.57	163.757	GICC21
142.9	165.061	GICC21
145.04	167.686	GICC21
145.3	168.151	GICC21
146.1	168.872	GICC21
146.58	169.528	GICC21
146.86	169.745	GICC21
148.51	171.665	GICC21
152.74	176.97	GICC21
156.27	181.014	GICC21
156.55	181.404	GICC21
157.0	181.863	GICC21
157.79	182.684	GICC21
158.55	183.477	GICC21
161.73	187.381	GICC21
163.45	189.386	GICC21
165.11	191.346	GICC21
166.78	193.3	GICC21
170.4	197.3	GICC21
170.61	197.6	GICC21
175.79	203.705	GICC21
177.74	205.972	GICC21
180.47	209.317	GICC21
185.31	215.003	GICC21
185.71	215.453	GICC21
185.86	215.618	GICC21
189.12	219.584	GICC21
189.994	220.428	GICC21
193.644	224.544	GICC21
195.25	226.54	GICC21
201.5	234.153	GICC21
203.3	236.2	GICC21
203.62	236.631	GICC21
204.83	238.201	GICC21
205.01	238.424	GICC21
206.93	240.607	GICC21
209.13	243.095	GICC21
210.2	244.3	GICC21
211.23	245.395	GICC21
212.57	247.2	GICC21
212.74	247.45	GICC21
213.02	247.677	GICC21
216.07	251.558	GICC21
216.82	252.47	GICC21
217.35	253.195	GICC21
218.591	254.761	GICC21
219.82	256.2	GICC21
221.82	258.55	GICC21
223.491	260.493	GICC21
226.4	263.8	GICC21
226.59	264.0	GICC21
227.09	264.691	GICC21
231.09	269.491	GICC21
233.1	271.761	GICC21
233.6	272.4	GICC21
240.8	280.838	GICC21
244.65	285.4	GICC21
247.14	288.256	GICC21
249.259	290.683	GICC21
251.27	293.118	GICC21
253.51	295.639	GICC21
254.576	296.994	GICC21
255.18	297.55	GICC21
260.45	303.8	GICC21
265.48	309.7	GICC21
268.1	312.65	GICC21
273.28	318.861	GICC21
274.1	319.878	GICC21
275.03	320.9	GICC21
283.05	330.415	GICC21
284.4	331.887	GICC21
286.08	333.916	GICC21
287.42	335.449	GICC21
287.59	335.72	GICC21
289.2	337.617	GICC21
291.0	339.8	GICC21
293.5	342.655	GICC21
303.05	353.8	GICC21
303.65	354.451	GICC21
305.72	356.867	GICC21
309.13	360.803	GICC21
310.116	362.057	GICC21
310.33	362.265	GICC21
313.0	365.493	GICC21
316.06	369.3	GICC21
318.374	371.955	GICC21
320.2	373.945	GICC21
320.7	374.469	GICC21
329.01	384.097	GICC21
332.491	388.054	GICC21
333.21	388.822	GICC21
333.9	389.65	GICC21
337.6	394.166	GICC21
337.75	394.3	GICC21
340.55	397.603	GICC21
343.6	401.101	GICC21
346.75	404.85	GICC21
349.9	408.521	GICC21
353.98	413.372	GICC21
355.5	415.0	GICC21
355.6	415.2	GICC21
360.072	420.366	GICC21
366.37	427.328	GICC21
367.92	429.12	GICC21
370.93	432.498	GICC21
375.3	437.478	GICC21
377.325	439.988	GICC21
379.12	442.165	GICC21
387.83	452.311	GICC21
388.96	453.674	GICC21
390.35	455.433	GICC21
390.75	455.838	GICC21
398.28	464.496	GICC21
402.57	469.393	GICC21
405.189	472.229	GICC21
406.92	474.3	GICC21
409.137	476.993	GICC21
411.12	479.365	GICC21
415.289	484.195	GICC21
418.6	488.013	GICC21
423.1	493.063	GICC21
424.83	495.187	GICC21
427.7	498.43	GICC21
435.47	507.068	GICC21
435.9	507.65	GICC21
437.94	509.797	GICC21
441.16	513.471	GICC21
444.85	517.78	GICC21
447.4	520.8	GICC21
448.1	521.4	GICC21
450.8	524.4	GICC21
451.47	525.155	GICC21
451.74	525.446	GICC21
452.97	526.8	GICC21
454.15	528.3	GICC21
459.35	534.143	GICC21
463.6	538.909	GICC21
464.593	540.017	GICC21
466.76	542.415	GICC21
470.8	547.05	GICC21
471.71	548.136	GICC21
472.8	549.339	GICC21
474.94	551.87	GICC21
475.1	551.98	GICC21
475.36	552.336	GICC21
476.4	553.461	GICC21
480.4	558.065	GICC21
481.3	559.163	GICC21
481.9	559.8	GICC21
484.44	562.659	GICC21
485.56	563.687	GICC21
485.7	563.857	GICC21
485.82	564.024	GICC21
486.35	564.631	GICC21
486.5	564.8	GICC21
488.25	566.801	GICC21
488.58	567.165	GICC21
490.52	569.37	GICC21
493.07	572.3	GICC21
495.9	575.514	GICC21
497.03	576.897	GICC21
505.27	586.204	GICC21
506.11	587.095	GICC21
509.64	590.956	GICC21
512.67	594.4	GICC21
513.22	595.1	GICC21
517.33	599.644	GICC21
517.64	600.005	GICC21
518.39	600.902	GICC21
526.64	610.017	GICC21
529.77	613.552	GICC21
530.24	614.106	GICC21
531.46	615.562	GICC21
533.33	617.527	GICC21
535.27	619.715	GICC21
536.96	621.388	GICC21
537.49	621.954	GICC21
543.73	628.838	GICC21
544.86	630.215	GICC21
550.86	637.003	GICC21
555.15	641.713	GICC21
556.51	643.27	GICC21
560.52	647.748	GICC21
561.61	649.093	GICC21
562.6	650.224	GICC21
563.78	651.475	GICC21
569.05	657.364	GICC21
570.68	659.364	GICC21
571.66	660.357	GICC21
572.13	660.999	GICC21
572.95	661.847	GICC21
573.37	662.354	GICC21
573.86	662.93	GICC21
577.16	666.545	GICC21
578.92	668.586	GICC21
579.16	668.865	GICC21
581.1	670.876	GICC21
581.26	671.05	GICC21
581.55	671.341	GICC21
582.53	672.559	GICC21
585.19	675.427	GICC21
588.53	679.06	GICC21
590.1	680.862	GICC21
593.7	684.75	GICC21
595.07	686.322	GICC21
595.28	686.55	GICC21
596.24	687.6	GICC21
596.7	688.1	GICC21
597.04	688.372	GICC21
600.32	691.964	GICC21
602.56	694.466	GICC21
604.64	696.666	GICC21
607.38	699.655	GICC21
609.29	701.889	GICC21
610.0	702.629	GICC21
613.42	706.328	GICC21
615.46	708.556	GICC21
616.51	709.681	GICC21
617.36	710.602	GICC21
618.33	711.737	GICC21
623.99	717.804	GICC21
626.2	720.354	GICC21
627.6	721.847	GICC21
628.18	722.472	GICC21
628.61	722.932	GICC21
630.83	725.604	GICC21
633.79	728.689	GICC21
634.54	729.523	GICC21
635.07	730.054	GICC21
640.93	736.527	GICC21
641.64	737.28	GICC21
643.97	739.728	GICC21
644.67	740.531	GICC21
645.15	741.016	GICC21
647.38	743.424	GICC21
648.83	745.06	GICC21
655.01	751.995	GICC21
655.88	752.836	GICC21
661.03	758.26	GICC21
666.38	764.078	GICC21
670.28	768.423	GICC21
