#Svensson Bipolar Link Sheet - only inter-greenland tiepoints added
depth1	depth2	reference
1399.381	1517.287	Svensson_Links
1419.08	1539.05	Svensson_Links
1458.68	1585.05	Svensson_Links
1470.64	1598.9	Svensson_Links
1479.711	1609.47	Svensson_Links
1485.084	1615.62	Svensson_Links
1492.65	1624.449	Svensson_Links
1506.13	1639.53	Svensson_Links
1508.049	1641.68	Svensson_Links
1522.22	1657.52	Svensson_Links
1527.32	1663.325	Svensson_Links
1529.03	1665.4	Svensson_Links
1530.4940000000001	1666.99	Svensson_Links
1531.81	1668.483	Svensson_Links
1538.352	1676.25	Svensson_Links
1555.516	1696.15	Svensson_Links
1564.5	1706.57	Svensson_Links
1595.04	1742.28	Svensson_Links
1605.0040000000001	1753.75	Svensson_Links
1606.517	1755.46	Svensson_Links
1611.97	1761.44	Svensson_Links
1619.54	1769.48	Svensson_Links
1625.57	1775.82	Svensson_Links
1627.96	1778.339	Svensson_Links
1628.21	1778.62	Svensson_Links
1642.661	1793.372	Svensson_Links
1645.86	1796.72	Svensson_Links
1721.322	1874.755	Svensson_Links
1728.59	1882.23	Svensson_Links
1770.805	1926.337	Svensson_Links
1814.919	1973.03	Svensson_Links
1827.205	1985.34	Svensson_Links
1840.25	1997.82	Svensson_Links
1843.683	2001.127	Svensson_Links
1862.58	2018.919	Svensson_Links
1869.52	2025.84	Svensson_Links
1872.22	2028.25	Svensson_Links
1880.0	2035.26	Svensson_Links
1902.87	2055.99	Svensson_Links
1931.08	2080.41	Svensson_Links
1939.54	2087.83	Svensson_Links
1949.6	2096.91	Svensson_Links
1989.9	2131.4	Svensson_Links
2000.22	2140.49	Svensson_Links
2010.98	2150.0	Svensson_Links
2022.25	2159.12	Svensson_Links
2038.06	2172.18	Svensson_Links
2042.284	2175.9	Svensson_Links
2054.15	2186.42	Svensson_Links
2061.99	2193.328	Svensson_Links
2067.37	2197.994	Svensson_Links
2070.24	2200.507	Svensson_Links
2072.476	2202.29	Svensson_Links
2079.0	2207.53	Svensson_Links
2100.03	2223.93	Svensson_Links
2116.181	2236.819	Svensson_Links
2121.857	2241.555	Svensson_Links
2132.213	2249.72	Svensson_Links
2133.26	2250.53	Svensson_Links
2135.12	2252.045	Svensson_Links
2142.37	2257.93	Svensson_Links
2151.8	2265.98	Svensson_Links
2156.53	2269.91	Svensson_Links
2171.42	2281.58	Svensson_Links
2173.9	2283.64	Svensson_Links
2177.7	2286.78	Svensson_Links
2177.99	2287.04	Svensson_Links
2182.77	2291.05	Svensson_Links
2191.98	2298.735	Svensson_Links
2199.2	2304.88	Svensson_Links
2201.554	2306.902	Svensson_Links
2204.139	2309.126	Svensson_Links
2217.638	2320.513	Svensson_Links
2227.22	2328.03	Svensson_Links
2252.88	2347.35	Svensson_Links
2257.55	2351.03	Svensson_Links
2271.13	2361.54	Svensson_Links
2277.65	2366.64	Svensson_Links
2289.42	2375.84	Svensson_Links
2302.75	2386.63	Svensson_Links
2307.609	2390.604	Svensson_Links
2337.93	2415.02	Svensson_Links
2344.6	2420.13	Svensson_Links
2344.98	2420.448	Svensson_Links
2357.412	2429.538	Svensson_Links
2359.45	2431.0	Svensson_Links
2382.65	2447.875	Svensson_Links
2385.24	2449.785	Svensson_Links
2389.487	2453.106	Svensson_Links
2395.84	2458.0	Svensson_Links
2400.69	2461.6	Svensson_Links
2445.9	2493.81	Svensson_Links
2461.16	2504.25	Svensson_Links
2469.74	2510.03	Svensson_Links
2494.16	2527.27	Svensson_Links
2525.16	2549.772	Svensson_Links
2528.014	2551.894	Svensson_Links
2547.221	2564.67	Svensson_Links
2548.01	2565.18	Svensson_Links
2550.058	2566.58	Svensson_Links
2551.446	2567.46	Svensson_Links
2564.7	2576.28	Svensson_Links
2572.63	2581.3	Svensson_Links
2592.5	2592.72	Svensson_Links
2595.62	2594.65	Svensson_Links
2612.55	2604.73	Svensson_Links
2619.18	2608.54	Svensson_Links
2626.65	2612.846	Svensson_Links
2633.45	2616.73	Svensson_Links
2645.8	2623.96	Svensson_Links
2656.952	2630.662	Svensson_Links
2660.251	2632.624	Svensson_Links
2663.843	2634.719	Svensson_Links
2683.214	2646.247	Svensson_Links
2691.24	2650.814	Svensson_Links
2733.48	2672.177	Svensson_Links
2756.92	2684.72	Svensson_Links
2775.1	2694.724	Svensson_Links
2793.06	2703.62	Svensson_Links
2806.74	2710.77	Svensson_Links
2811.08	2713.05	Svensson_Links
2852.02	2732.72	Svensson_Links
2864.73	2738.9	Svensson_Links
2870.35	2741.75	Svensson_Links
2897.2	2753.15	Svensson_Links
2898.54	2753.24	Svensson_Links
2905.02	2753.96	Svensson_Links
