#Svensson Bipolar Link Sheet - only inter-greenland tiepoints added
depth1	depth2	reference
1399.381	1356.746	Svensson_Links
1419.08	1370.02	Svensson_Links
1458.68	1396.43	Svensson_Links
1470.64	1404.23	Svensson_Links
1479.711	1410.3	Svensson_Links
1485.084	1413.86	Svensson_Links
1492.65	1418.955	Svensson_Links
1506.13	1429.08	Svensson_Links
1508.049	1430.56	Svensson_Links
1522.22	1441.43	Svensson_Links
1527.32	1445.007	Svensson_Links
1529.03	1446.08	Svensson_Links
1530.4940000000001	1447.056	Svensson_Links
1531.81	1447.92	Svensson_Links
1538.352	1452.02	Svensson_Links
1555.516	1462.3690000000001	Svensson_Links
1564.5	1467.49	Svensson_Links
1595.04	1484.035	Svensson_Links
1605.0040000000001	1489.4660000000001	Svensson_Links
1606.517	1490.348	Svensson_Links
1611.97	1493.3020000000001	Svensson_Links
1619.54	1497.556	Svensson_Links
1642.661	1510.686	Svensson_Links
1667.92	1525.84	Svensson_Links
1673.21	1528.84	Svensson_Links
1679.65	1532.52	Svensson_Links
1684.3	1535.29	Svensson_Links
1692.28	1539.73	Svensson_Links
1706.1	1548.03	Svensson_Links
1710.06	1550.3	Svensson_Links
1728.59	1561.195	Svensson_Links
1770.805	1585.4	Svensson_Links
1774.15	1587.2	Svensson_Links
1814.63	1610.2	Svensson_Links
1814.919	1610.41	Svensson_Links
1827.205	1617.105	Svensson_Links
1831.59	1619.62	Svensson_Links
1837.38	1622.85	Svensson_Links
1840.25	1624.3	Svensson_Links
1869.52	1641.23	Svensson_Links
1872.22	1642.78	Svensson_Links
1880.0	1647.55	Svensson_Links
1903.45	1661.59	Svensson_Links
1910.98	1665.98	Svensson_Links
1931.08	1678.65	Svensson_Links
1939.54	1683.32	Svensson_Links
1949.6	1688.83	Svensson_Links
1962.25	1696.18	Svensson_Links
1989.9	1712.05	Svensson_Links
2000.22	1717.88	Svensson_Links
2002.8899999999999	1719.26	Svensson_Links
2010.98	1724.05	Svensson_Links
2018.48	1728.47	Svensson_Links
2022.25	1730.51	Svensson_Links
2038.06	1740.05	Svensson_Links
2042.284	1742.65	Svensson_Links
2054.15	1749.58	Svensson_Links
2061.99	1754.19	Svensson_Links
2067.37	1757.3	Svensson_Links
2070.24	1759.0	Svensson_Links
2072.476	1760.4	Svensson_Links
2079.0	1764.63	Svensson_Links
2082.16	1766.64	Svensson_Links
2089.08	1771.08	Svensson_Links
2094.1330000000003	1774.32	Svensson_Links
2094.881	1774.76	Svensson_Links
2100.03	1777.73	Svensson_Links
2116.181	1786.92	Svensson_Links
2121.857	1790.006	Svensson_Links
2132.213	1796.12	Svensson_Links
2133.26	1796.74	Svensson_Links
2135.12	1797.81	Svensson_Links
2142.37	1801.8	Svensson_Links
2151.8	1807.0	Svensson_Links
2156.53	1809.58	Svensson_Links
2161.98	1812.9	Svensson_Links
2171.42	1818.48	Svensson_Links
2173.9	1819.87	Svensson_Links
2175.16	1820.59	Svensson_Links
2177.7	1821.96	Svensson_Links
2177.99	1822.12	Svensson_Links
2182.77	1824.74	Svensson_Links
2191.98	1829.657	Svensson_Links
2199.2	1833.48	Svensson_Links
2201.554	1834.824	Svensson_Links
2204.139	1836.231	Svensson_Links
2217.638	1843.675	Svensson_Links
2224.0	1847.19	Svensson_Links
2227.22	1849.1	Svensson_Links
2230.18	1850.83	Svensson_Links
2237.22	1854.62	Svensson_Links
2241.74	1857.01	Svensson_Links
2252.88	1863.15	Svensson_Links
2257.55	1865.65	Svensson_Links
2277.65	1876.39	Svensson_Links
2289.42	1882.7	Svensson_Links
2302.75	1889.52	Svensson_Links
2307.609	1891.996	Svensson_Links
2337.93	1908.0	Svensson_Links
2344.6	1911.415	Svensson_Links
2357.412	1918.79	Svensson_Links
2359.45	1919.82	Svensson_Links
2362.28	1921.21	Svensson_Links
2373.41	1927.3	Svensson_Links
2378.13	1929.8	Svensson_Links
2385.24	1933.35	Svensson_Links
2395.84	1938.82	Svensson_Links
2400.69	1941.25	Svensson_Links
2415.95	1948.9	Svensson_Links
2421.724	1952.0	Svensson_Links
2422.824	1952.65	Svensson_Links
2430.41	1956.91	Svensson_Links
2445.9	1965.61	Svensson_Links
2451.86	1969.0	Svensson_Links
2458.75	1972.8	Svensson_Links
2461.16	1974.18	Svensson_Links
2475.109	1981.01	Svensson_Links
2481.763	1984.52	Svensson_Links
2485.19	1986.25	Svensson_Links
2487.42	1987.28	Svensson_Links
2495.15	1990.89	Svensson_Links
2498.29	1992.32	Svensson_Links
2505.21	1995.66	Svensson_Links
2511.05	1998.45	Svensson_Links
2528.014	2006.134	Svensson_Links
2536.117	2009.768	Svensson_Links
2540.94	2011.98	Svensson_Links
2541.71	2012.38	Svensson_Links
2547.221	2015.15	Svensson_Links
2548.01	2015.44	Svensson_Links
2551.446	2016.979	Svensson_Links
2564.7	2022.73	Svensson_Links
2572.63	2026.18	Svensson_Links
2578.98	2029.18	Svensson_Links
2587.6	2033.15	Svensson_Links
2592.5	2035.74	Svensson_Links
2595.62	2037.425	Svensson_Links
2612.55	2046.0	Svensson_Links
2619.18	2049.4	Svensson_Links
2633.45	2057.0	Svensson_Links
2645.8	2063.43	Svensson_Links
2656.952	2069.7	Svensson_Links
2660.251	2071.54	Svensson_Links
2663.843	2073.3	Svensson_Links
2683.214	2084.04	Svensson_Links
2691.24	2088.2	Svensson_Links
2694.78	2089.95	Svensson_Links
2712.52	2103.14	Svensson_Links
2721.21	2109.7	Svensson_Links
2733.48	2118.662	Svensson_Links
2744.16	2126.88	Svensson_Links
2746.62	2128.87	Svensson_Links
2756.92	2134.9	Svensson_Links
2803.91	2161.03	Svensson_Links
2806.74	2162.12	Svensson_Links
2811.08	2163.48	Svensson_Links
2834.66	2171.4	Svensson_Links
2863.2	2179.96	Svensson_Links
2864.73	2180.45	Svensson_Links
2870.35	2182.09	Svensson_Links
2887.53	2186.295	Svensson_Links
2897.2	2188.48	Svensson_Links
2898.54	2188.66	Svensson_Links
2899.95	2188.82	Svensson_Links
2905.6	2190.3	Svensson_Links
2929.68	2199.46	Svensson_Links
2946.48	2205.575	Svensson_Links
2949.88	2206.03	Svensson_Links
