depth,sulfate
6.926,74.11
6.99,91.01
7.054,105.4
7.118,83.54
7.194,82.74
7.258,97.82
7.321,79.28
7.385,93.04
7.459,103.34
7.523,86.27
7.587,74.22
7.727,49.6
7.793,95.27
7.859,100.41
7.938,128.51
8.004,139.97
8.07,91.29
8.147,75.93
8.213,89.65
8.279,158.4
8.346,289.41
8.412,121.64
8.478,108.09
8.556,123.91
8.623,115.46
8.697,89.13
8.763,80.68
8.868,78.55
8.94,85.22
9.005,80.19
9.07,71.74
9.145,78.09
9.21,74.99
9.275,91.01
9.34,82.22
9.405,68.81
9.47,83.58
9.54,138.85
9.605,134.1
9.675,98.73
9.74,83.33
9.805,74.22
9.87,75.41
9.926,74.88
9.989,63.99
10.053,61.65
10.116,64.83
10.179,63.78
10.243,73.07
10.306,71.43
10.369,77.85
10.432,69.16
10.496,64.37
10.559,80.22
10.622,102.96
10.686,81.52
10.749,96.25
10.817,110.04
10.881,109.41
10.944,86.72
11.027,74.46
11.092,75.48
11.158,73.56
11.229,174.32
11.295,110.18
11.36,93.28
11.426,119.75
11.491,130.61
11.557,118.35
11.632,83.44
11.698,88.99
11.763,96.25
11.829,77.68
11.894,91.19
11.96,143.11
12.025,93.95
12.127,96.29
12.195,148.1
12.273,550.4
12.341,605.7
12.408,235.29
12.476,138.12
12.544,118.49
12.612,128.44
12.679,270.5
12.747,160.29
12.815,102.92
12.883,92.93
12.95,91.5
13.018,69.78
13.086,80.85
13.154,77.33
13.277,70.94
13.344,80.75
13.411,92.41
13.478,82.04
13.545,87.73
13.612,92.76
13.679,70.8
13.746,80.33
13.813,76.17
13.885,95.8
13.951,85.81
14.018,82.11
14.085,81.38
14.152,80.33
14.219,73.7
14.326,53.83
14.39,65.84
14.454,78.3
14.527,88.43
14.592,78.58
14.656,88.36
14.72,77.12
14.784,93.07
14.848,89.02
14.912,81.83
14.976,121.78
15.04,80.57
15.104,65.98
15.169,76.24
15.233,78.44
15.297,138.26
15.361,173.56
15.417,75.27
15.481,76.56
15.545,85.85
15.61,81.06
15.674,91.57
15.738,65.8
15.802,52.75
15.866,68.67
15.93,66.08
15.995,70.62
16.059,85.04
16.123,71.57
16.187,47.33
16.251,63.22
16.316,72.16
16.38,73.56
16.444,62.24
16.559,93.98
16.617,82.35
16.679,80.5
16.736,81.66
16.793,79.25
16.85,75.86
16.907,116.64
16.964,74.5
17.021,76.17
17.078,78.72
17.135,64.72
17.199,56.76
17.256,52.96
17.313,54.98
17.37,86.72
17.427,80.47
17.484,130.12
17.541,103.23
17.668,82.56
17.727,79.77
17.786,70.62
17.851,118.21
17.91,106.38
17.969,97.86
18.028,81.69
18.087,74.99
18.146,76.49
18.205,53.3
18.263,87.66
18.322,90.0
18.381,79.21
18.44,95.38
18.499,96.18
18.558,153.97
18.617,184.62
18.676,147.93
18.742,55.82
18.802,59.62
18.862,66.68
18.921,50.83
18.981,66.92
19.041,63.36
19.101,69.26
19.16,78.55
19.22,77.82
19.28,64.83
19.342,61.72
19.402,62.31
19.462,59.41
19.521,67.69
19.581,96.32
19.641,117.83
19.701,141.82
19.76,109.87
19.869,64.48
19.934,74.57
19.992,70.66
20.05,94.05
20.108,103.65
20.166,94.72
20.229,98.8
20.287,98.21
20.345,91.47
20.403,92.93
20.461,99.88
20.519,107.08
20.577,91.4
20.635,86.96
20.7,62.17
20.757,65.7
20.815,78.41
20.873,55.61
20.932,57.95
20.996,56.41
21.061,64.72
21.125,67.24
21.19,103.93
21.254,138.88
21.325,87.77
21.389,88.74
21.454,68.53
21.518,79.53
21.583,61.72
21.647,63.19
21.712,67.83
21.776,66.01
21.841,86.72
21.905,78.51
21.97,87.73
22.066,105.89
22.13,140.14
22.199,174.64
22.263,120.69
22.327,94.54
22.391,78.93
22.455,93.11
22.523,74.15
22.587,78.13
22.65,80.29
22.714,83.89
22.778,82.6
22.842,83.05
22.906,60.11
22.97,100.69
23.034,99.67
23.128,102.26
23.196,193.63
23.264,186.34
23.331,169.51
23.399,172.51
23.467,113.01
23.535,88.88
23.608,122.02
23.676,72.23
23.744,128.97
23.811,94.26
23.887,87.66
23.955,93.46
24.022,80.75
24.09,80.61
24.158,96.74
24.277,123.72
24.345,102.96
24.413,89.04
24.481,88.01
24.548,80.15
24.616,107.72
24.684,109.46
24.756,102.31
24.823,105.0
24.891,99.49
24.959,93.21
25.027,79.61
25.102,66.27
25.17,89.41
25.238,102.84
25.328,128.62
25.396,89.66
25.465,76.3
25.533,76.93
25.602,92.14
25.67,95.8
25.739,88.46
25.807,75.76
25.879,113.46
25.947,86.47
26.016,104.3
26.084,81.98
26.153,94.65
26.221,69.57
26.29,68.47
26.362,65.42
26.481,76.09
26.552,61.13
26.622,80.11
26.692,112.89
26.763,69.78
26.833,76.34
26.904,67.12
26.979,61.13
27.049,59.59
27.12,90.53
27.19,90.45
27.26,76.05
27.331,86.81
27.401,72.6
27.472,118.36
27.528,70.62
27.596,97.93
27.704,95.8
27.772,75.88
27.84,97.4
27.908,80.48
27.976,54.41
28.044,68.51
28.116,101.04
28.184,99.61
28.252,105.44
28.32,92.8
28.388,107.51
28.456,94.9
28.524,82.69
28.635,76.64
28.701,128.66
28.768,143.28
28.834,150.6
28.9,182.4
28.984,100.18
29.05,96.29
29.117,98.75
29.228,83.61
29.296,91.07
29.364,88.09
29.431,92.88
29.499,108.57
29.567,96.25
29.635,134.44
29.702,335.12
29.77,398.58
29.838,234.47
29.906,108.45
29.973,156.95
30.041,140.42
30.109,91.36
30.177,83.44
30.284,101.57
30.349,105.81
30.414,103.16
30.479,107.39
30.544,68.68
30.609,84.69
30.674,95.06
30.739,90.45
30.803,102.71
30.878,87.39
30.943,93.95
31.009,105.93
31.075,111.64
31.14,77.22
31.206,105.56
31.271,114.75
31.337,105.85
31.409,101.74
31.475,76.43
31.541,79.69
31.606,86.76
31.672,82.03
31.737,78.1
31.803,79.48
31.868,72.98
31.98,62.62
32.05,64.02
32.119,54.45
32.189,73.32
32.258,60.62
32.328,89.7
32.397,98.79
32.467,84.94
32.536,85.64
32.621,121.65
32.69,118.89
32.759,83.53
32.829,102.51
32.898,90.03
32.968,96.13
33.076,102.55
33.141,93.66
33.207,97.03
33.273,68.22
33.338,81.4
33.404,93.87
33.47,89.12
33.535,94.44
33.601,112.65
33.667,103.2
33.732,111.0
33.804,106.05
33.869,75.55
33.935,63.81
34.001,101.98
34.07,88.96
34.143,104.06
34.211,84.69
34.279,85.19
34.347,65.8
34.415,66.61
34.483,135.42
34.551,211.36
34.619,175.19
34.687,114.67
34.755,113.98
34.823,118.2
34.891,114.02
34.969,83.82
35.037,105.16
35.105,80.94
35.173,93.95
35.276,128.34
35.34,78.73
35.404,90.36
35.468,62.74
35.532,72.39
35.596,54.58
35.66,91.52
35.724,115.35
35.788,88.34
35.852,106.3
35.927,89.0
35.991,75.5
36.055,88.17
36.119,111.56
36.183,105.48
36.247,91.07
36.345,114.43
36.413,88.3
36.481,79.31
36.549,80.02
36.617,94.73
36.685,117.04
36.753,144.18
36.821,152.7
36.889,211.76
36.957,257.48
37.025,133.77
37.093,120.29
37.161,132.03
37.234,160.49
37.302,133.65
37.37,102.92
37.435,78.31
37.503,90.49
37.571,213.59
37.64,304.2
37.708,205.81
37.777,103.45
37.845,85.56
37.913,68.6
37.982,204.41
38.05,327.88
38.118,637.11
38.187,516.43
38.255,154.05
38.326,110.35
38.394,94.07
38.462,91.23
38.525,118.08
38.588,114.83
38.652,104.67
38.715,77.81
38.778,76.09
38.842,103.49
38.905,116.36
38.969,111.36
39.032,66.48
39.095,106.95
39.159,153.97
39.222,336.89
39.286,319.33
39.366,132.94
39.43,104.18
39.493,67.29
39.556,66.61
39.626,87.34
39.69,81.86
39.753,82.86
39.817,96.74
39.881,109.18
39.945,101.04
40.009,94.77
40.072,94.12
40.136,100.43
40.2,93.25
40.264,81.23
40.327,71.59
40.391,72.44
40.455,95.96
40.522,95.72
40.585,95.55
40.649,88.67
40.732,157.1
40.792,226.84
40.852,176.82
40.912,169.15
40.976,120.45
41.037,110.31
41.097,71.85
41.157,109.94
41.217,127.98
41.277,94.61
41.337,80.44
41.397,100.72
41.457,136.53
41.521,310.78
41.582,250.65
41.642,149.09
41.702,93.37
41.762,62.62
41.825,64.53
41.886,77.14
41.947,69.65
42.008,105.12
42.069,96.91
42.13,127.55
42.191,125.36
42.252,106.7
42.313,105.44
42.374,118.48
