depth,sulfate
0.018,72.3
0.058,27.85
0.108,51.19
0.153,43.06
0.198,43.35
0.223,54.76
0.273,56.65
0.323,40.85
0.368,40.78
0.413,44.13
0.458,53.81
0.498,49.45
0.548,62.54
0.588,67.38
0.633,74.7
0.663,47.81
0.718,56.99
0.758,36.87
0.818,43.98
0.853,66.81
0.903,76.97
0.943,68.69
0.993,71.21
1.038,83.23
1.073,171.02
1.113,145.48
1.148,207.56
1.188,127.37
1.233,173.7
1.283,213.52
1.318,99.74
1.368,165.6
1.423,187.0
1.473,41.75
1.523,54.96
1.563,49.86
1.613,43.08
1.653,78.0
1.693,44.29
1.733,38.87
1.793,55.71
1.833,101.14
1.878,78.51
1.923,62.64
1.968,141.43
2.018,87.79
2.068,50.03
2.108,58.22
2.148,43.55
2.188,16.8
2.238,42.16
2.268,40.69
2.323,49.95
2.363,129.34
2.408,79.55
2.448,46.63
2.493,52.17
2.538,40.79
2.585,98.49
2.606,122.87
2.626,88.35
2.647,78.48
2.668,67.21
2.689,91.06
2.709,77.92
2.73,101.84
2.751,113.04
2.772,109.77
2.792,65.65
2.813,51.06
2.834,8.6
2.855,65.06
2.875,80.54
2.896,118.14
2.917,73.87
2.937,45.88
2.958,42.01
2.979,77.73
3.0,63.48
3.02,75.97
3.041,76.18
3.062,52.98
3.083,34.98
3.103,45.51
3.124,87.49
3.15,47.27
3.171,41.86
3.191,50.01
3.212,46.8
3.233,40.47
3.254,44.44
3.274,58.72
3.295,61.76
3.316,107.76
3.337,76.37
3.357,32.04
3.378,41.76
3.399,59.46
3.42,74.32
3.44,56.32
3.461,58.91
3.482,44.92
3.502,43.11
3.523,42.89
3.544,44.19
3.565,50.83
3.575,62.19
3.596,85.17
3.618,83.6
3.639,88.02
3.661,101.34
3.682,100.99
3.703,102.02
3.725,110.46
3.746,117.31
3.767,120.24
3.789,124.22
3.81,127.8
3.832,33.02
3.853,32.03
3.874,23.72
3.896,24.08
3.917,24.71
3.939,24.42
3.96,39.44
3.981,32.1
4.003,24.0
4.024,16.42
4.045,21.21
4.067,51.38
4.088,43.71
4.11,90.59
4.131,48.1
4.152,32.1
4.174,23.56
4.195,19.17
4.216,19.18
4.238,46.73
4.254,83.55
4.27,90.8
4.291,70.66
4.313,89.59
4.334,37.37
4.355,46.76
4.377,52.97
4.398,63.85
4.42,59.97
4.441,39.25
4.462,65.67
4.484,58.82
4.505,53.45
4.527,53.03
4.548,56.42
4.564,33.37
4.58,42.45
4.6,41.1
4.621,52.04
4.641,53.99
4.662,102.11
4.682,93.43
4.702,44.44
4.723,35.06
4.743,47.41
4.764,59.2
4.784,59.07
