depth,ecm
5.05,1.087
5.06,1.045
5.07,1.29
5.08,1.07
5.09,0.491
5.1,0.615
5.11,0.395
5.12,0.581
5.13,0.711
5.14,0.667
5.15,0.815
5.16,0.775
5.17,0.637
5.18,0.539
5.19,0.613
5.2,0.479
5.21,0.714
5.22,0.916
5.23,1.268
5.24,1.157
5.25,1.191
5.26,1.229
5.27,1.641
5.28,1.426
5.29,0.951
5.3,1.641
5.31,1.508
5.32,2.68
5.33,2.648
5.34,4.165
5.35,4.131
5.36,2.795
5.37,2.672
5.38,1.392
5.39,1.37
5.4,1.32
5.41,1.727
5.42,1.533
5.43,2.143
5.44,2.249
5.45,1.686
5.46,1.528
5.47,1.216
5.48,1.246
5.49,0.825
5.5,0.667
5.51,0.7
5.52,0.669
5.53,0.47
5.54,0.592
5.55,0.51
5.56,0.469
5.57,0.43
5.58,0.38
5.59,0.665
5.6,0.61
5.61,0.627
5.62,0.381
5.63,0.6
5.64,1.202
5.65,0.907
5.66,1.217
5.67,1.191
5.68,1.172
5.69,1.522
5.7,1.793
5.71,1.917
5.72,1.264
5.73,2.127
5.74,2.43
5.75,1.427
5.76,1.178
5.77,0.743
5.78,0.342
5.79,0.21
5.8,0.303
5.81,0.251
5.82,0.205
5.83,0.44
5.84,0.627
5.85,0.874
5.86,1.046
5.87,1.125
5.88,0.717
5.89,1.032
5.9,0.838
5.91,1.063
5.92,1.057
5.93,0.97
5.94,0.605
5.95,0.82
5.96,0.65
5.97,1.103
5.98,1.163
5.99,0.654
6.0,0.683
6.01,0.571
6.02,0.483
6.03,0.359
6.04,0.34
6.05,0.427
6.06,0.544
6.07,0.5
6.08,0.561
6.09,1.29
6.1,1.399
6.11,0.628
6.12,0.809
6.13,0.777
6.14,0.637
6.15,0.916
6.16,1.496
6.17,1.368
6.18,1.184
6.19,1.12
6.2,0.892
6.21,0.867
6.22,1.05
6.23,1.025
6.24,1.173
6.25,0.8
6.26,0.655
6.27,0.614
6.28,0.818
6.29,0.668
6.3,1.249
6.31,0.605
6.32,0.41
6.33,0.458
6.34,0.533
6.35,0.753
6.36,0.442
6.37,0.477
6.38,0.804
6.39,0.433
6.4,0.383
6.41,0.456
6.42,0.375
6.43,1.165
6.44,1.619
6.45,1.626
6.46,1.768
6.47,1.162
6.48,1.034
6.49,1.246
6.5,0.822
6.51,0.844
6.52,0.865
6.53,0.907
6.54,1.017
6.55,1.363
6.56,2.633
6.57,2.975
6.58,2.534
6.59,2.194
6.6,1.839
6.61,2.064
6.62,2.272
6.63,1.462
6.64,2.261
6.65,2.388
6.66,1.703
6.67,1.511
6.68,1.242
6.69,1.012
6.7,0.865
6.71,1.001
6.72,0.567
6.73,0.748
