depth,ecm
4.11,11.244
4.61,14.89
5.14,9.178
5.7,10.199
6.24,17.752
6.78,15.005
7.31,13.901
7.83,14.421
8.35,13.164
8.89,13.113
9.42,12.141
9.96,17.25
10.5,16.056
11.03,16.605
11.55,15.85
12.08,17.244
12.6,15.578
13.12,16.534
13.65,16.79
14.18,14.809
14.71,17.788
15.23,16.951
15.75,17.238
16.28,17.537
16.81,18.684
17.34,18.06
17.86,17.964
18.39,18.961
18.92,17.418
19.45,12.986
19.98,19.794
20.52,17.879
21.07,17.475
21.61,19.546
22.13,21.843
22.66,18.275
23.18,20.154
23.71,18.419
24.23,20.288
24.75,22.039
25.26,17.949
25.77,18.95
26.31,18.864
26.87,20.674
27.42,21.969
27.96,27.102
28.49,23.28
29.03,25.014
29.58,22.885
30.13,19.279
30.67,20.607
31.23,24.39
31.8,22.754
32.34,24.148
32.87,30.588
33.42,21.715
33.97,17.989
34.5,21.761
35.02,21.921
35.55,22.175
36.09,20.413
36.65,20.769
37.2,18.914
37.74,21.062
38.26,20.178
38.79,16.144
39.32,21.144
39.85,20.912
40.39,16.24
40.96,19.275
41.53,18.371
42.06,26.537
42.61,22.795
43.17,19.302
43.72,19.052
44.25,16.28
44.79,15.964
45.32,16.829
45.86,19.075
46.41,17.495
46.96,14.68
47.51,13.346
48.05,17.861
48.58,15.28
49.15,17.264
49.72,16.994
50.26,18.67
50.81,22.06
51.39,19.165
51.96,17.432
52.52,17.1
53.06,15.442
53.62,16.584
54.17,18.188
54.74,16.692
55.31,16.132
55.87,17.78
56.44,16.425
57.01,23.709
57.57,19.492
58.13,21.905
58.66,18.114
59.21,20.703
59.77,20.784
60.32,21.703
60.88,28.29
61.46,26.412
62.05,24.816
62.63,30.269
63.2,27.265
63.78,30.037
64.35,29.693
64.93,18.292
65.51,25.789
66.07,29.992
66.63,26.793
67.2,25.906
67.77,27.328
68.33,28.993
68.88,24.395
69.46,20.042
70.03,24.878
70.58,28.935
71.17,23.161
71.76,45.599
72.31,28.995
72.85,29.402
73.37,32.737
73.9,28.271
74.43,26.006
74.97,27.004
75.56,31.29
76.17,34.527
76.79,30.078
77.43,35.613
78.05,25.952
78.64,23.597
79.26,32.211
79.91,25.082
80.52,29.529
81.17,27.975
81.78,28.017
82.34,30.147
82.95,26.157
83.58,25.002
84.18,32.171
84.76,30.665
85.35,31.187
85.95,40.171
86.54,39.936
87.15,34.574
87.77,34.204
88.36,33.207
88.94,35.075
89.53,33.662
90.15,35.392
90.8,29.83
91.45,33.899
92.11,27.901
92.77,18.188
93.37,27.289
93.98,27.997
94.55,35.59
95.12,42.411
95.72,35.517
96.31,34.237
96.92,28.271
97.59,31.794
98.25,30.964
98.87,31.24
99.47,24.342
100.24,37.907
101.25,14.0752
102.21,17.9514
102.75,14.2412
103.3,15.5106
103.89,17.4024
104.44,16.7
104.98,13.2782
105.53,15.9384
106.1,14.694
106.65,14.2864
107.2,13.1844
107.8,14.0034
108.35,16.7708
108.9,20.4744
109.47,14.1326
110.02,12.1354
110.6,12.4274
111.16,11.2408
111.71,12.1656
112.25,13.4634
112.8,15.2246
113.35,14.3672
113.9,13.755
114.5,14.926
115.09,16.6358
115.64,14.859
116.19,15.2486
116.76,15.9492
117.47,16.8238
118.25,20.9246
118.89,15.4436
119.46,19.8294
120.02,17.7896
120.59,14.3244
121.14,18.784
121.7,15.8988
122.25,18.172
122.8,16.0224
123.36,15.116
123.91,23.202
124.46,27.8364
125.01,27.2874
125.58,21.1812
126.14,12.9056
126.71,20.0728
127.3,16.5902
127.86,19.6702
128.41,16.2052
129.0,13.7764
129.8,18.5354
130.59,17.3
131.16,15.105
131.75,12.2252
132.33,11.6394
132.88,10.9604
133.43,12.2584
134.0,14.8704
134.57,9.4006
135.13,9.9296
135.71,11.8178
136.26,16.7232
136.81,21.3622
137.38,12.843
137.93,11.5282
138.48,13.2662
139.04,11.635
139.61,12.2492
140.17,9.6438
140.72,12.426
141.27,13.2366
141.82,12.4324
142.37,13.7142
142.92,14.2238
143.5,17.8794
144.1,19.8648
144.66,19.7994
145.21,22.8534
145.78,23.1714
146.33,25.4586
146.88,19.1552
147.46,19.4358
148.03,20.2466
148.58,23.267
149.15,17.8396
149.75,13.7842
150.33,16.7428
150.89,13.0274
151.44,11.1258
152.0,21.5796
152.56,22.7936
153.11,18.0188
153.67,19.6978
154.22,20.9016
154.8,12.3498
155.35,10.3708
155.9,17.3076
156.46,18.3234
157.01,19.6306
157.59,20.622
158.14,20.465
158.7,19.577
159.26,25.4128
159.81,17.6432
160.36,19.2298
160.91,19.2436
161.46,22.4348
162.01,15.9098
162.56,18.403
163.11,20.9914
163.68,20.3236
164.23,21.3032
164.78,19.433
165.35,18.6646
165.92,14.784
166.47,11.7498
167.02,11.4666
167.64,12.5224
168.29,11.685
168.89,14.9892
169.48,18.4376
170.07,21.0558
170.63,24.4202
171.18,19.974
171.73,24.3714
172.28,26.76
172.83,30.213
173.38,30.1696
173.93,20.8262
174.49,21.0098
175.06,22.259
175.62,24.0684
176.17,24.0102
176.72,16.9462
177.27,18.082
177.82,19.0368
178.39,16.818
178.94,21.02
179.49,26.334
180.05,24.5704
180.61,24.378
181.19,23.2056
181.77,23.6656
182.33,16.3312
182.89,22.3078
183.44,21.4218
184.0,21.628
184.57,17.8324
185.12,14.83
185.67,19.0376
186.22,19.378
186.78,18.9734
187.34,18.166
187.96,14.9746
188.56,16.9166
189.13,20.8702
189.75,23.073
190.33,21.6332
190.89,24.6068
191.44,21.1708
192.0,24.861
192.56,24.6306
193.11,28.221
193.66,24.4412
194.23,18.4876
194.82,22.8898
195.39,24.763
195.99,23.6174
196.55,28.2612
197.1,27.3872
197.65,26.6096
198.2,26.2012
198.75,24.2302
199.3,28.8192
199.89,33.4082
200.45,23.5894
201.01,23.675
201.56,21.3646
202.11,22.174
202.66,26.8724
203.22,23.41
203.81,23.9192
204.36,24.6236
204.91,25.8056
205.46,23.9766
206.01,28.869
206.59,23.0462
207.14,20.3668
207.7,25.1752
208.27,23.272
208.85,21.0164
209.44,23.3682
210.01,13.005
210.56,9.9026
211.11,15.5186
211.68,27.2312
212.24,29.5634
212.81,35.3464
213.39,27.823
213.94,27.6312
214.49,21.3268
215.05,19.466
215.61,24.8704
216.16,26.0906
216.71,30.4316
217.26,28.905
217.81,22.6294
218.36,20.93
218.91,25.7718
219.48,29.4632
220.09,23.4982
220.72,20.7018
221.31,24.3934
221.86,23.896
222.41,23.7844
223.0,22.3216
223.55,23.277
224.13,26.4068
224.73,24.599
225.28,25.1234
225.83,25.1904
226.39,27.4482
226.98,26.2394
227.55,22.677
228.11,25.9414
228.67,21.1678
229.22,26.2332
229.8,25.5206
230.35,22.1814
230.89,22.4468
231.44,21.7708
232.0,28.6754
232.55,27.8164
233.1,27.2796
233.65,40.2752
234.2,25.376
234.77,25.2772
235.33,27.185
235.91,28.3696
236.46,24.0566
237.01,17.0734
238.8,21.1374
240.58,23.7518
241.15,20.4704
241.72,24.4032
242.27,26.9874
242.82,21.5708
243.37,26.4304
243.92,27.0038
244.6,23.0348
245.29,24.4518
245.88,26.526
246.53,27.5236
247.19,22.999
247.78,24.2102
248.34,20.3998
248.91,22.3534
249.48,23.0336
250.08,24.391
250.66,25.5424
251.21,27.5694
251.78,28.1212
252.34,20.119
252.93,23.1098
253.52,24.3238
254.09,25.906
254.69,25.4726
255.25,28.3566
255.8,26.4296
256.35,26.3434
256.89,25.3832
257.44,26.3202
258.0,26.0872
258.56,22.989
259.11,15.92
259.73,23.84
260.35,19.5048
261.03,19.188
261.71,25.0174
262.3,28.329
262.85,25.8582
263.4,29.062
263.95,26.1262
264.5,22.6448
265.1,25.1536
265.7,24.585
266.26,24.192
266.83,26.132
267.43,26.3908
268.09,24.723
268.78,21.964
269.4,22.9896
269.95,26.3866
270.5,24.2378
271.05,24.6118
271.6,27.2604
272.17,40.1952
272.72,25.304
273.27,21.1316
273.82,24.0418
274.38,26.1436
274.97,25.1156
275.55,27.5116
276.11,24.483
276.68,23.0844
277.23,23.9116
277.8,25.179
278.38,24.0658
278.94,26.8876
279.57,28.3592
280.21,26.9408
280.8,24.8916
281.36,25.8836
281.91,32.0668
282.46,26.272
283.03,27.4276
283.62,28.583
284.19,24.968
284.75,26.4284
285.31,31.1758
285.91,24.3918
286.51,20.5112
287.06,20.7448
287.61,22.0746
288.16,23.987
288.71,21.154
289.27,20.6548
289.82,29.2128
290.38,27.7904
290.94,33.6592
291.51,28.089
292.07,23.8326
292.62,26.613
293.2,23.2742
293.75,26.4622
294.3,27.3474
294.85,28.3598
295.4,25.166
295.95,23.081
296.5,27.178
297.06,23.861
297.63,29.8564
298.22,29.0036
298.84,34.4128
299.53,34.0042
300.19,23.843
300.79,28.3408
301.64,31.91
302.46,27.4334
303.01,25.1636
303.56,26.8836
304.13,25.6342
304.73,26.596
305.31,26.2034
305.87,26.8886
306.46,27.0428
307.15,20.3522
307.81,19.9416
308.35,23.913
308.9,23.213
309.45,20.8306
310.0,25.8634
310.56,26.0446
311.11,26.6062
311.67,25.6298
312.22,28.477
312.8,23.5102
313.36,25.9088
313.91,27.9242
314.46,26.0332
315.01,25.0794
315.58,22.3414
316.13,22.573
316.68,24.572
317.23,22.3944
317.78,25.0814
318.33,26.2674
318.89,21.8874
319.49,21.8124
320.15,24.2596
320.76,24.2336
