depth,dep
137.98,16.31
138.0,16.85
138.02,16.56
138.04,18.98
138.06,18.6
138.08,18.94
138.1,15.14
138.12,16.0
138.14,15.98
138.16,16.63
138.18,15.98
138.2,17.52
138.22,18.28
138.24,19.44
138.26,20.3
138.28,20.22
138.3,18.46
138.32,18.66
138.34,18.79
138.36,19.08
138.38,20.11
138.4,22.6
138.42,23.04
138.44,22.92
138.46,20.83
138.48,20.71
138.5,19.71
138.52,18.78
138.54,18.89
138.56,18.29
138.58,18.75
138.6,20.27
138.62,23.05
138.64,23.53
138.66,22.85
138.68,19.49
138.7,17.85
138.72,17.15
138.74,18.64
138.76,19.77
138.78,20.29
138.8,19.89
138.82,19.44
138.84,21.67
138.86,21.5
138.88,21.99
138.9,22.19
138.92,21.46
138.94,19.25
138.96,19.68
138.98,18.65
139.0,18.89
139.02,19.0
139.04,20.5
139.06,22.48
139.08,22.86
139.1,22.42
139.12,17.73
139.14,20.57
139.16,21.1
139.18,21.29
139.2,22.2
139.22,21.07
139.24,20.39
139.26,19.8
139.28,20.81
139.3,21.82
139.32,26.09
139.34,28.78
139.36,32.89
139.38,34.07
139.4,29.02
139.42,25.27
139.44,23.66
139.46,21.99
139.48,20.98
139.5,19.11
139.52,22.28
139.54,23.27
139.56,20.68
139.58,18.42
139.6,16.63
139.62,15.13
139.645,13.74
139.665,17.82
139.685,19.28
139.705,18.14
139.725,19.21
139.745,20.23
139.765,18.36
139.785,19.1
139.805,19.56
139.825,19.55
139.845,20.29
139.865,21.37
139.885,20.27
139.905,20.64
139.925,23.37
139.945,23.45
139.965,24.25
139.985,23.77
140.005,23.24
140.025,22.98
140.045,19.46
140.065,19.45
140.085,18.81
140.105,19.7
140.125,19.55
140.145,19.99
140.165,20.97
140.185,21.34
140.205,20.8
140.225,20.23
140.245,18.72
140.265,19.01
140.285,18.58
140.305,18.48
140.325,20.34
140.345,21.97
140.365,21.05
140.385,20.11
140.405,21.73
140.425,21.69
140.445,20.24
140.465,19.62
140.485,20.15
140.505,20.35
140.525,20.83
140.545,20.67
140.565,22.15
140.585,22.01
140.605,20.5
140.625,20.28
140.645,19.21
140.665,20.09
140.685,19.65
140.705,20.43
140.725,20.53
140.745,22.38
140.765,21.73
140.785,19.01
140.805,18.59
140.825,17.64
140.845,19.3
140.865,19.53
140.885,20.42
140.905,21.79
140.925,21.58
140.945,22.74
140.965,22.36
140.985,22.14
141.005,21.04
141.025,19.18
141.045,18.84
141.065,18.76
141.085,18.93
141.105,19.77
141.125,20.34
141.145,20.96
141.165,22.0
141.185,22.69
141.205,21.76
141.225,21.96
141.245,20.35
141.265,20.52
141.285,20.13
