depth,ecm
9.84,0.567314
9.85,0.702836
9.86,0.588455
9.87,0.688504
9.88,0.569082
9.89,0.795736
9.9,0.883647
9.91,1.03967
9.92,1.05346
9.93,1.13521
9.94,1.10497
9.95,1.02552
9.96,0.672454
9.97,0.497909
9.98,0.524936
9.99,0.383149
10.0,0.391697
10.01,0.463982
10.02,0.495506
10.03,0.440431
10.04,0.678696
10.05,0.586562
10.06,0.480683
10.07,0.518525
10.08,0.567538
10.09,0.558079
10.1,0.776578
10.11,0.899528
10.12,1.07121
10.13,0.573457
10.14,0.819919
10.15,1.19841
10.16,1.70892
10.17,1.71963
10.18,1.89663
10.19,1.45082
10.2,1.70279
10.21,1.45267
10.22,1.49622
10.23,1.16904
10.24,1.24281
10.25,1.08352
10.26,1.11082
10.27,0.862245
10.28,1.02594
10.29,0.806265
10.3,0.818568
10.31,0.956511
10.32,1.04347
10.33,0.836235
10.34,0.721524
10.35,0.928078
10.36,1.11556
10.37,1.34068
10.38,1.39963
10.39,1.69336
10.4,1.54666
10.41,1.44811
10.42,1.86369
10.43,2.19854
10.44,1.76256
10.45,1.70136
10.46,1.4601
10.47,1.67242
10.48,1.54349
10.49,1.55298
10.5,1.26046
10.51,1.39442
10.52,1.44323
10.53,1.7511
10.54,1.26627
10.55,1.11196
10.56,0.959311
10.57,1.42282
10.58,1.29976
10.59,1.32767
10.6,1.01921
10.61,1.07805
10.62,1.16956
10.63,1.37146
10.64,1.12329
10.65,1.1895
10.66,1.16258
10.67,1.37434
10.68,1.41041
10.69,1.33471
10.7,0.803195
10.71,0.763825
10.72,0.71015
10.73,0.824485
10.74,0.685001
10.75,0.92834
10.76,0.690147
10.77,0.742336
10.78,1.11031
10.79,1.07318
10.8,0.957501
10.81,0.990397
10.82,1.20442
10.83,1.58104
10.84,1.5294
10.85,1.0671
10.86,1.29719
10.87,1.20248
10.88,0.96464
10.89,0.908647
10.9,1.14518
10.91,0.983243
10.92,0.994355
10.93,0.909966
10.94,0.601875
10.95,0.95848
10.96,0.630807
10.97,0.646052
10.98,0.696697
10.99,0.804519
11.0,0.673057
11.01,0.8328
11.02,0.914954
11.03,1.00682
11.04,1.13908
11.05,1.22627
11.06,1.65848
11.07,1.50971
11.08,1.29677
11.09,1.22132
11.1,1.55332
11.11,1.2955
11.12,1.39625
11.13,1.2629
11.14,1.58935
11.15,1.45428
11.16,1.68105
11.17,1.42599
11.18,1.34111
11.19,1.06738
11.2,0.799619
11.21,0.933695
11.22,1.03952
11.23,0.989601
11.24,1.23906
11.25,1.19265
11.26,1.10817
11.27,1.2798
11.28,1.13094
11.29,1.2795
11.3,1.43393
11.31,1.07697
11.32,1.0689
11.33,1.16217
11.34,1.06613
11.35,1.11796
11.36,1.01499
11.37,0.857871
11.38,0.908342
11.39,0.740461
11.4,0.876512
11.41,0.832229
11.42,1.1211
11.43,0.733734
11.44,0.755813
11.45,1.30286
11.46,1.36399
11.47,1.10729
11.48,0.857975
11.49,0.655352
11.5,1.15956
11.51,1.15494
11.52,1.23109
11.53,0.562051
11.54,0.681293
11.55,0.877977
11.56,1.05895
11.57,0.897324
11.58,0.875977
11.59,1.0716
11.6,0.75735
11.61,0.896057
11.62,0.962828
11.63,1.0743
11.64,1.04088
11.65,0.872704
11.66,0.910903
11.67,0.809727
11.68,0.825388
11.69,0.865656
11.7,0.756569
11.71,0.863106
11.72,0.80382
11.73,0.67728
11.74,0.878578
11.75,0.910578
11.76,0.741413
11.77,1.0034
11.78,0.891523
11.79,0.940167
11.8,1.41971
11.81,1.09606
11.82,0.972909
11.83,1.07225
11.84,1.3568
11.85,1.28348
11.86,1.53093
11.87,1.71095
11.88,1.59622
11.89,1.60205
11.9,1.86346
11.91,1.53768
11.92,1.54265
11.93,1.69
11.94,1.18446
11.95,1.44894
11.96,1.89332
11.97,1.81547
11.98,1.27232
11.99,1.2922
12.0,1.25576
12.01,0.994425
12.02,1.19433
12.03,0.920274
12.04,0.826234
12.05,0.934855
12.06,0.734706
12.07,0.553928
12.08,0.568483
12.09,0.438661
12.1,0.635431
12.11,0.589038
12.12,0.677897
12.13,0.695719
12.14,0.813829
12.15,0.756462
12.16,0.747799
12.17,0.76764
12.18,1.0167
12.19,0.740665
12.2,0.774501
12.21,0.757793
12.22,0.683862
12.23,0.953826
12.24,1.10342
12.25,1.02056
12.26,0.894965
12.27,1.03964
12.28,0.771261
12.29,0.845103
12.3,0.636824
12.31,0.56733
12.32,0.918514
12.33,1.02892
12.34,0.607247
12.35,0.605801
12.36,0.677963
12.37,0.717534
12.38,0.711202
12.39,0.594062
12.4,0.702804
12.41,0.823278
12.42,0.906207
12.43,1.01416
12.44,0.950553
12.45,1.04789
12.46,1.10151
12.47,0.866034
12.48,1.30695
12.49,1.45317
12.5,1.33029
12.51,0.999713
12.52,1.02721
12.53,1.10725
12.54,1.03188
12.55,0.846508
12.56,0.875136
12.57,0.808617
12.58,0.842756
12.59,0.853582
12.6,0.774359
12.61,0.718913
12.62,0.58013
12.63,0.512069
12.64,0.467148
12.65,0.457386
12.66,0.440729
12.67,0.59781
12.68,0.779505
12.69,0.683796
12.7,0.669076
12.71,0.533538
12.72,0.716086
