#From GICC05 GRIP and GISP2 timescale from Seierstad and Rasmussen
#depth	age
6.054	-30
10.505	-20
14.957	-10
19.125	0
23.293	10
26.833	20
30.373	30
33.816	40
37.35	50
40.66	60
43.97	70
47.08	80
50.19	90
53.145	100
56.1	110
58.975	120
61.85	130
64.66	140
67.47	150
70.245	160
73.02	170
75.665	180
78.31	190
81.095	200
83.88	210
86.535	220
89.19	230
91.625	240
94.06	250
96.66	260
99.26	270
101.875	280
104.49	290
106.93	300
109.37	310
111.795	320
114.22	330
116.69	340
119.16	350
121.655	360
124.15	370
126.49	380
128.83	390
131.25	400
133.67	410
136.04	420
138.41	430
140.875	440
143.34	450
145.745	460
148.15	470
150.415	480
152.68	490
155.075	500
157.47	510
159.95	520
162.43	530
164.925	540
167.42	550
169.8	560
172.18	570
174.385	580
176.59	590
178.935	600
181.28	610
183.605	620
185.93	630
188.2	640
190.47	650
192.64	660
194.81	670
197.115	680
199.42	690
201.65	700
203.88	710
206.025	720
208.17	730
210.43	740
212.69	750
214.935	760
217.18	770
219.46	780
221.74	790
224.02	800
226.3	810
228.485	820
230.67	830
232.985	840
235.3	850
237.535	860
239.77	870
241.81	880
243.85	890
246.12	900
248.39	910
250.635	920
252.88	930
255.0	940
257.12	950
259.44	960
261.76	970
264.105	980
266.45	990
268.745	1000
271.04	1010
273.28	1020
275.52	1030
277.71	1040
279.9	1050
282.135	1060
284.37	1070
286.575	1080
288.78	1090
290.865	1100
292.95	1110
295.225	1120
297.5	1130
299.605	1140
301.71	1150
303.82	1160
305.93	1170
308.12	1180
310.31	1190
312.705	1200
315.1	1210
317.315	1220
319.53	1230
321.625	1240
323.72	1250
325.66	1260
327.6	1270
329.74	1280
331.88	1290
334.055	1300
336.23	1310
338.465	1320
340.7	1330
342.825	1340
344.95	1350
347.03	1360
349.11	1370
351.15	1380
353.19	1390
355.36	1400
357.53	1410
359.605	1420
361.68	1430
364.0	1440
366.32	1450
368.525	1460
370.73	1470
372.765	1480
374.8	1490
377.005	1500
379.21	1510
381.275	1520
383.34	1530
385.46	1540
387.58	1550
389.69	1560
391.8	1570
393.895	1580
395.99	1590
397.97	1600
399.95	1610
402.06	1620
404.17	1630
406.32	1640
408.47	1650
410.42	1660
412.37	1670
414.515	1680
416.66	1690
418.75	1700
420.84	1710
422.77	1720
424.7	1730
426.83	1740
428.96	1750
430.98	1760
433.0	1770
435.01	1780
437.02	1790
439.175	1800
441.33	1810
443.34	1820
445.35	1830
447.245	1840
449.14	1850
451.24	1860
453.34	1870
455.5	1880
457.66	1890
459.67	1900
461.68	1910
463.84	1920
466.0	1930
468.045	1940
470.09	1950
472.205	1960
474.32	1970
476.455	1980
478.59	1990
480.675	2000
482.76	2010
484.725	2020
486.69	2030
488.75	2040
490.81	2050
492.755	2060
494.7	2070
496.755	2080
498.81	2090
500.855	2100
502.9	2110
504.795	2120
506.69	2130
508.43	2140
510.17	2150
512.025	2160
513.88	2170
515.755	2180
517.63	2190
519.57	2200
521.51	2210
523.525	2220
525.54	2230
527.545	2240
529.55	2250
531.505	2260
533.46	2270
535.48	2280
537.5	2290
539.435	2300
541.37	2310
543.515	2320
545.66	2330
547.84	2340
550.02	2350
552.125	2360
554.23	2370
556.075	2380
557.92	2390
559.415	2400
560.91	2410
562.52	2420
564.13	2430
565.965	2440
567.8	2450
569.76	2460
571.72	2470
573.57	2480
575.42	2490
577.45	2500
579.48	2510
581.31	2520
583.14	2530
584.98	2540
586.82	2550
588.73	2560
590.64	2570
592.465	2580
594.29	2590
596.245	2600
598.2	2610
600.06	2620
601.92	2630
603.955	2640
605.99	2650
607.86	2660
609.73	2670
611.53	2680
613.33	2690
615.28	2700
617.23	2710
619.055	2720
620.88	2730
622.795	2740
624.71	2750
626.61	2760
628.51	2770
630.23	2780
631.95	2790
633.88	2800
635.81	2810
637.63	2820
639.45	2830
641.31	2840
643.17	2850
645.045	2860
646.92	2870
648.845	2880
650.77	2890
652.645	2900
654.52	2910
656.385	2920
658.25	2930
660.06	2940
661.87	2950
663.6	2960
665.33	2970
667.19	2980
669.05	2990
670.795	3000
672.54	3010
674.385	3020
676.23	3030
678.06	3040
679.89	3050
681.58	3060
683.27	3070
684.92	3080
686.57	3090
688.25	3100
689.93	3110
691.64	3120
693.35	3130
695.315	3140
697.28	3150
699.145	3160
701.01	3170
702.915	3180
704.82	3190
706.69	3200
708.56	3210
710.285	3220
712.01	3230
713.89	3240
715.77	3250
717.485	3260
719.2	3270
720.98	3280
722.76	3290
724.47	3300
726.18	3310
727.935	3320
729.69	3330
731.43	3340
733.17	3350
734.93	3360
736.69	3370
738.425	3380
740.16	3390
741.845	3400
743.53	3410
745.195	3420
746.86	3430
748.625	3440
750.39	3450
752.135	3460
753.88	3470
755.58	3480
757.28	3490
758.97	3500
760.66	3510
762.315	3520
763.97	3530
765.58	3540
767.19	3550
768.995	3560
770.8	3570
772.675	3580
