#From GICC05 GRIP and GISP2 timescale from Seierstad and Rasmussen
#depth	age
63.08	150
65.655	160
68.23	170
70.73	180
73.23	190
75.84	200
78.45	210
80.975	220
83.5	230
85.825	240
88.15	250
90.565	260
92.98	270
95.365	280
97.75	290
100.15	300
102.55	310
104.765	320
106.98	330
109.24	340
111.5	350
113.825	360
116.15	370
118.34	380
120.53	390
122.815	400
125.1	410
127.34	420
129.58	430
131.915	440
134.25	450
136.54	460
138.83	470
140.98	480
143.13	490
145.38	500
147.63	510
149.965	520
152.3	530
154.65	540
157.0	550
159.24	560
161.48	570
163.555	580
165.63	590
167.84	600
170.05	610
172.25	620
174.45	630
176.6	640
178.75	650
180.79	660
182.83	670
184.965	680
187.1	690
189.175	700
191.25	710
193.25	720
195.25	730
197.365	740
199.48	750
201.58	760
203.68	770
205.84	780
208.0	790
210.165	800
212.33	810
214.405	820
216.48	830
218.68	840
220.88	850
223.015	860
225.15	870
227.1	880
229.05	890
231.215	900
233.38	910
235.53	920
237.68	930
239.63	940
241.58	950
243.78	960
245.98	970
248.23	980
250.48	990
252.68	1000
254.88	1010
256.99	1020
259.1	1030
261.399	1041
263.28	1050
265.405	1060
267.53	1070
269.63	1080
271.73	1090
273.73	1100
275.73	1110
277.915	1120
280.1	1130
282.3165	1141
284.13	1150
286.155	1160
288.18	1170
290.28	1180
292.38	1190
294.555	1200
296.73	1210
298.84	1220
300.95	1230
302.95	1240
304.95	1250
306.8	1260
308.65	1270
310.675	1280
312.7	1290
314.75	1300
316.8	1310
318.915	1320
321.03	1330
323.14	1340
325.25	1350
327.315	1360
329.38	1370
331.405	1380
333.43	1390
335.58	1400
337.73	1410
339.74	1420
341.75	1430
343.95	1440
346.15	1450
348.24	1460
350.33	1470
352.255	1480
354.18	1490
356.205	1500
358.23	1510
360.19	1520
362.15	1530
364.15	1540
366.15	1550
368.19	1560
370.23	1570
372.255	1580
374.28	1590
376.19	1600
378.1	1610
380.14	1620
382.18	1630
384.255	1640
386.33	1650
388.165	1660
390.0	1670
392.0	1680
394.0	1690
396.0	1700
398.0	1710
399.85	1720
401.7	1730
403.74	1740
405.78	1750
