##NEEM GICC05modeltext chron | doi:10.5194/cp-9-2713-2013
#depth	age
20.35	-10
20.9	-8
21.45	-6
22.0	-5
22.55	-3
23.1	-2
23.65	0
24.2	2
24.75	4
25.3	5
25.85	7
26.4	9
26.95	11
27.5	12
28.05	14
28.6	16
29.15	17
29.7	19
30.25	21
30.8	22
31.35	24
31.9	26
32.45	28
33.0	30
33.55	32
34.1	33
34.65	35
35.2	37
35.75	39
36.3	41
36.85	43
37.4	45
37.95	47
38.5	49
39.05	51
39.6	53
40.15	55
40.7	56
41.25	58
41.8	60
42.35	62
42.9	64
43.45	66
44.0	68
44.55	70
45.1	71
45.65	73
46.2	75
46.75	77
47.3	78
47.85	80
48.4	82
48.95	85
49.5	87
50.05	89
50.6	91
51.15	93
51.7	95
52.25	97
52.8	99
53.35	101
53.9	103
54.45	106
55.0	108
55.55	110
56.1	112
56.65	114
57.2	117
57.75	119
58.3	121
58.85	123
59.4	125
59.95	128
60.5	130
61.05	132
61.6	135
62.15	137
62.7	139
63.25	142
63.8	144
64.35	146
64.9	148
65.45	150
66.0	152
66.55	154
67.1	156
67.65	159
68.2	161
68.75	163
69.3	165
69.85	167
70.4	170
70.95	172
71.5	174
72.05	177
72.6	179
73.15	181
73.7	184
74.25	186
74.8	188
75.35	191
75.9	193
76.45	196
77.0	197
77.55	200
78.1	203
78.65	205
79.2	207
79.75	210
80.3	212
80.85	214
81.4	217
81.95	219
82.5	221
83.05	224
83.6	226
84.15	229
84.7	231
85.25	234
85.8	236
86.35	239
86.9	241
87.45	244
88.0	246
88.55	248
89.1	251
89.65	253
90.2	256
90.75	258
91.3	260
91.85	263
92.4	265
92.95	268
93.5	270
94.05	272
94.6	275
95.15	277
95.7	280
96.25	282
96.8	285
97.35	287
97.9	290
98.45	293
99.0	295
99.55	298
100.1	300
100.65	302
101.2	305
101.75	307
102.3	310
102.85	312
103.4	315
103.95	318
104.5	320
105.05	322
105.6	325
106.15	328
106.7	330
107.25	333
107.8	335
108.35	337
108.9	340
109.45	342
110.0	345
110.55	347
111.1	349
111.65	352
112.2	355
112.75	357
113.3	359
113.85	362
114.4	364
114.95	366
115.5	369
116.05	372
116.6	374
117.15	377
117.7	379
118.25	382
118.8	385
119.35	387
119.9	390
120.45	392
121.0	395
121.55	397
122.1	400
122.65	402
123.2	405
123.75	408
124.3	410
124.85	413
125.4	415
125.95	418
126.5	420
127.05	423
127.6	425
128.15	428
128.7	431
129.25	433
129.8	436
130.35	438
130.9	441
131.45	444
132.0	446
132.55	449
133.1	451
133.65	454
134.2	457
134.75	460
135.3	462
135.85	465
136.4	468
136.95	471
137.5	473
138.05	476
138.6	479
139.15	481
139.7	484
140.25	487
140.8	489
141.35	491
141.9	494
142.45	496
143.0	498
143.55	501
144.1	503
144.65	506
145.2	508
145.75	510
146.3	513
146.85	516
147.4	519
147.95	521
148.5	524
149.05	526
149.6	529
150.15	531
150.7	533
151.25	536
151.8	539
152.35	542
152.9	544
153.45	547
154.0	549
154.55	552
155.1	555
155.65	557
156.2	559
156.75	562
157.3	565
157.85	568
158.4	571
158.95	574
159.5	576
160.05	579
160.6	581
161.15	584
161.7	586
162.25	589
162.8	592
163.35	595
163.9	597
164.45	600
165.0	602
165.55	605
166.1	607
166.65	610
167.2	613
167.75	615
168.3	618
168.85	620
169.4	623
169.95	625
170.5	628
171.05	631
171.6	634
172.15	637
172.7	639
173.25	642
173.8	645
174.35	648
174.9	650
175.45	653
176.0	656
176.55	659
177.1	662
177.65	664
178.2	668
178.75	670
179.3	673
179.85	676
180.4	679
180.95	681
181.5	684
182.05	687
182.6	689
183.15	692
183.7	694
184.25	697
184.8	699
185.35	702
185.9	705
186.45	707
187.0	710
187.55	712
188.1	715
188.65	718
189.2	721
189.75	723
190.3	726
190.85	729
191.4	731
191.95	734
192.5	736
193.05	739
193.6	743
194.15	745
194.7	749
195.25	751
195.8	754
196.35	757
196.9	759
197.45	762
198.0	765
198.55	767
199.1	770
199.65	773
200.2	776
200.75	779
201.3	782
201.85	785
202.4	787
202.95	790
203.5	792
204.05	795
204.6	798
205.15	801
205.7	804
206.25	806
206.8	809
207.35	812
207.9	814
208.45	817
209.0	819
209.55	822
210.1	824
210.65	827
211.2	830
211.75	833
212.3	835
212.85	838
213.4	841
213.95	844
214.5	846
215.05	848
215.6	851
216.15	853
216.7	856
217.25	859
217.8	861
218.35	864
218.9	866
219.45	869
220.0	872
220.55	875
221.1	878
221.65	880
222.2	883
222.75	886
223.3	889
223.85	892
224.4	895
224.95	898
225.5	900
226.05	903
226.6	906
227.15	909
227.7	912
228.25	914
228.8	917
229.35	920
229.9	923
230.45	926
231.0	929
231.55	932
232.1	935
232.65	938
233.2	941
233.75	944
234.3	947
234.85	949
235.4	952
235.95	955
236.5	957
237.05	960
237.6	963
238.15	965
238.7	968
239.25	971
239.8	974
240.35	977
240.9	980
241.45	982
242.0	985
242.55	988
243.1	990
243.65	993
244.2	996
244.75	999
245.3	1001
245.85	1004
246.4	1007
246.95	1009
247.5	1012
248.05	1015
248.6	1018
249.15	1020
249.7	1023
250.25	1026
250.8	1029
251.35	1031
251.9	1034
252.45	1037
253.0	1039
253.55	1042
254.1	1045
254.65	1048
255.2	1051
255.75	1053
256.3	1056
256.85	1059
257.4	1061
257.95	1064
258.5	1067
259.05	1070
259.6	1072
260.15	1075
260.7	1078
261.25	1081
261.8	1083
262.35	1086
262.9	1089
263.45	1092
264.0	1095
264.55	1098
265.1	1101
265.65	1104
266.2	1107
266.75	1110
267.3	1113
267.85	1115
268.4	1118
268.95	1121
269.5	1124
270.05	1127
270.6	1129
271.15	1132
271.7	1134
272.25	1137
272.8	1141
273.35	1144
273.9	1147
274.45	1150
275.0	1153
275.55	1155
276.1	1158
276.65	1161
277.2	1164
277.75	1166
278.3	1169
278.85	1172
279.4	1174
279.95	1177
280.5	1179
281.05	1182
281.6	1185
282.15	1188
282.7	1191
283.25	1194
283.8	1197
284.35	1199
284.9	1202
285.45	1205
286.0	1208
286.55	1211
287.1	1214
287.65	1217
288.2	1220
288.75	1222
289.3	1225
289.85	1228
290.4	1231
290.95	1234
291.5	1237
292.05	1240
292.6	1243
293.15	1246
293.7	1249
294.25	1252
294.8	1254
295.35	1258
295.9	1261
296.45	1264
297.0	1267
297.55	1269
298.1	1272
298.65	1275
299.2	1277
299.75	1280
300.3	1283
300.85	1285
301.4	1288
301.95	1291
302.5	1294
303.05	1297
303.6	1299
304.15	1302
304.7	1305
305.25	1308
305.8	1311
306.35	1314
306.9	1316
307.45	1319
308.0	1322
308.55	1325
309.1	1328
309.65	1331
310.2	1334
310.75	1336
311.3	1339
311.85	1342
312.4	1344
312.95	1347
313.5	1350
314.05	1353
314.6	1355
315.15	1358
315.7	1361
316.25	1364
316.8	1366
317.35	1369
317.9	1372
318.45	1375
319.0	1378
319.55	1381
320.1	1384
320.65	1387
321.2	1390
321.75	1393
322.3	1396
322.85	1398
323.4	1401
323.95	1404
324.5	1407
325.05	1410
325.6	1413
326.15	1416
326.7	1420
327.25	1423
327.8	1426
328.35	1429
328.9	1432
329.45	1435
330.0	1438
330.55	1441
331.1	1444
331.65	1447
332.2	1450
332.75	1453
333.3	1456
333.85	1459
334.4	1461
334.95	1464
335.5	1467
336.05	1470
336.6	1473
337.15	1476
337.7	1479
338.25	1482
338.8	1485
339.35	1487
339.9	1490
340.45	1493
341.0	1496
341.55	1499
342.1	1501
342.65	1504
343.2	1508
343.75	1511
344.3	1514
344.85	1517
345.4	1520
345.95	1522
346.5	1526
347.05	1528
347.6	1531
348.15	1534
348.7	1537
349.25	1540
349.8	1543
350.35	1546
350.9	1549
351.45	1552
