# DOI: 10.5194/cp-7-1-2011
# Depth	Age	CH4	CH4_err
73.475	15	1388.3	59.7
82.575	76	1194.0	10.0
91.015	171	796.3	10.0
91.045	171	811.0	10.0
94.570	216	743.3	16.2
101.015	302	703.0	10.0
105.570	363	694.7	13.1
111.015	437	687.0	10.0
114.575	484	685.1	10.0
120.015	559	682.7	10.0
120.045	559	712.0	10.0
125.575	634	665.4	10.0
132.015	722	681.0	10.0
132.045	722	685.0	10.0
136.575	782	669.7	13.6
143.015	869	674.0	14.2
148.575	946	674.1	10.0
156.015	1050	675.0	10.0
156.045	1050	682.7	10.0
156.075	1050	677.0	10.0
156.535	1054	661.7	10.0
160.575	1112	637.7	26.1
169.015	1230	650.0	10.0
169.045	1231	654.0	10.0
169.535	1239	660.5	10.0
173.575	1289	628.7	17.0
180.015	1382	637.0	10.0
183.575	1433	637.2	10.0
192.015	1548	630.3	10.0
196.575	1616	619.5	10.0
204.015	1719	630.3	10.0
208.575	1790	641.4	10.0
216.015	1886	636.0	10.0
220.575	1955	621.5	17.4
227.535	2056	617.7	10.0
232.570	2129	620.0	10.0
240.025	2243	601.0	10.0
244.575	2304	611.0	10.0
253.015	2433	608.7	13.3
256.575	2481	598.7	10.0
264.015	2590	597.7	10.0
264.045	2590	606.3	10.0
264.075	2590	598.0	10.0
264.535	2597	605.3	10.0
268.575	2655	589.0	10.0
275.015	2751	594.7	10.0
279.570	2821	583.3	10.0
288.015	2952	586.7	10.0
288.045	2952	585.0	10.0
288.075	2953	609.0	10.0
292.575	3021	574.4	10.0
300.020	3140	578.7	10.0
304.575	3213	586.9	10.4
312.015	3321	592.0	10.0
312.045	3322	590.0	10.0
316.575	3402	579.8	10.0
319.575	3444	587.7	10.0
324.015	3519	579.7	10.0
336.015	3716	579.7	10.0
341.575	3809	570.0	10.0
348.015	3918	599.7	10.0
348.045	3918	602.0	10.0
348.505	3924	608.7	10.0
353.575	4007	581.3	10.0
361.015	4134	572.3	10.0
361.045	4135	573.0	10.0
361.075	4136	576.0	10.0
361.515	4144	575.3	10.0
365.575	4216	562.8	10.0
373.015	4340	577.3	10.0
373.045	4340	592.7	10.0
373.075	4341	577.0	10.0
373.105	4341	595.0	10.0
373.535	4348	589.3	10.0
375.575	4389	575.1	10.0
385.015	4551	573.0	10.0
388.575	4618	574.9	10.0
397.015	4767	567.3	10.0
400.575	4830	573.0	10.0
409.015	4992	557.3	10.0
413.575	5069	557.0	10.0
421.015	5226	548.3	10.0
424.575	5296	558.0	10.0
433.015	5475	567.0	10.0
436.575	5549	567.2	10.0
444.045	5705	576.7	10.0
448.575	5798	578.1	10.0
456.015	5960	559.0	10.0
456.045	5961	587.7	10.0
456.075	5962	568.0	10.0
468.015	6210	606.0	10.0
472.575	6311	578.3	10.0
478.015	6430	617.7	10.0
478.045	6431	605.0	10.0
482.575	6531	579.9	10.0
490.050	6693	618.3	10.0
490.080	6694	603.0	10.0
490.110	6695	598.0	10.0
490.140	6696	605.0	10.0
490.170	6697	603.7	10.0
494.575	6800	607.4	10.0
503.015	7003	621.0	10.0
503.045	7003	631.0	10.0
503.075	7004	637.0	10.0
508.575	7136	613.6	15.4
515.015	7291	625.3	10.0
515.045	7292	624.0	10.0
520.575	7421	612.2	18.0
527.015	7576	629.7	10.0
527.045	7576	631.0	10.0
527.075	7577	630.0	10.0
527.105	7578	632.3	10.0
530.525	7661	627.2	10.0
540.015	7902	625.7	10.0
540.055	7903	625.0	10.0
543.525	7989	617.0	10.5
552.575	8228	573.7	10.0
555.015	8288	624.3	10.0
555.045	8288	631.7	10.0
555.075	8289	616.0	10.0
558.575	8374	619.1	13.5
567.015	8576	661.3	10.0
567.045	8577	659.0	10.0
573.570	8732	645.8	12.1
580.200	8890	671.7	10.0
580.230	8890	669.0	10.0
582.525	8943	657.4	10.0
591.015	9137	685.0	10.0
591.045	9138	685.3	10.0
591.075	9138	671.0	10.0
596.525	9263	657.0	10.0
604.015	9426	692.7	10.0
604.045	9427	689.3	10.0
604.075	9428	685.0	10.0
604.105	9428	680.3	10.0
606.575	9488	684.1	13.8
615.015	9681	701.7	10.0
615.045	9681	696.0	10.0
617.525	9739	690.9	10.0
627.025	9961	693.0	10.0
627.055	9961	699.0	10.0
631.475	10064	700.5	10.0
639.015	10246	707.7	10.0
639.045	10247	705.0	10.0
642.575	10325	681.9	10.0
649.015	10478	708.0	10.0
649.045	10479	721.0	10.0
649.075	10480	705.0	10.0
655.575	10637	685.3	10.0
662.995	10818	681.0	10.0
663.025	10818	680.0	10.0
666.975	10914	672.3	10.0
668.975	10959	659.2	10.0
670.985	11011	705.0	10.0
673.985	11084	700.0	10.0
675.975	11129	684.1	10.0
677.975	11178	692.4	10.0
678.985	11209	712.0	10.0
681.985	11276	678.0	10.0
683.975	11323	643.5	10.0
685.975	11374	648.2	10.0
687.985	11430	702.0	10.0
689.985	11487	716.0	10.0
691.965	11534	713.4	10.0
693.425	11573	673.1	10.0
695.415	11627	553.0	10.0
695.445	11627	522.0	10.0
697.925	11684	516.0	10.0
697.970	11686	507.3	11.3
699.975	11730	472.3	10.0
702.975	11801	481.7	16.2
703.985	11829	491.0	10.0
705.955	11872	480.0	10.0
705.985	11873	483.0	10.0
706.975	11897	471.8	10.0
709.375	11955	453.0	10.0
711.955	12023	489.0	10.0
711.985	12024	497.0	10.0
713.985	12078	474.0	10.0
715.975	12130	476.1	10.0
716.375	12140	456.5	18.1
720.985	12275	466.0	10.0
722.985	12333	479.0	10.0
723.975	12357	471.6	10.0
726.975	12454	463.5	10.0
727.935	12490	473.0	10.0
727.975	12492	463.8	10.0
729.935	12553	462.0	10.0
729.975	12554	469.4	10.8
731.975	12623	497.5	10.0
733.375	12673	488.5	10.0
734.425	12710	516.7	10.0
734.935	12730	513.0	10.0
734.975	12732	506.6	10.0
736.625	12785	518.9	10.0
736.935	12795	592.0	10.0
739.625	12897	630.0	10.0
739.975	12909	644.7	14.5
741.975	12981	648.9	10.0
743.985	13061	640.0	10.0
745.985	13140	625.0	10.0
747.975	13220	624.5	10.0
749.375	13279	631.6	17.3
751.965	13381	670.0	10.0
753.965	13467	678.0	10.0
755.975	13556	646.7	10.0
757.875	13639	635.3	10.0
759.985	13723	671.0	10.0
760.350	13739	658.0	10.0
760.380	13741	653.0	10.0
764.975	13938	624.9	17.5
765.975	13981	629.7	10.0
766.985	14024	626.0	10.0
769.985	14150	613.0	10.0
771.975	14221	629.0	10.0
772.975	14264	609.3	10.0
775.985	14382	631.0	10.0
777.985	14455	622.0	10.0
779.975	14530	613.6	10.0
781.375	14578	607.1	10.0
784.435	14688	526.5	10.0
784.475	14689	567.0	10.0
785.625	14733	529.8	10.0
785.925	14744	522.0	10.0
787.625	14818	479.7	10.0
787.975	14832	475.4	10.0
788.975	14878	471.3	10.0
792.985	15056	471.0	10.0
793.985	15101	484.0	10.0
794.875	15144	459.1	10.0
797.975	15283	434.6	10.0
798.985	15326	477.0	10.0
802.985	15507	471.0	10.0
804.575	15583	473.2	10.0
804.905	15599	487.0	10.0
