#Includes Ikumi DF-EDC99 tiepoints from Fujita et al. 2015
depth1	depth2	reference
11.26	12.11	Fujita2015
11.68	12.55	Fujita2015
18.9	19.55	Fujita2015
20.38	21.09	Fujita2015
21.41	22.03	Fujita2015
22.38	22.89	Fujita2015
28.92	29.59	Fujita2015
36.68	36.87	Fujita2015
37.08	37.19	Fujita2015
37.4	37.41	Fujita2015
37.83	37.91	Fujita2015
38.96	39.05	Fujita2015
60.39	60.21	Fujita2015
63.72	63.53	Fujita2015
65.45	65.15	Fujita2015
69.21	68.95	Fujita2015
73.78	73.43	Fujita2015
75.13	74.65	Fujita2015
76.12	75.65	Fujita2015
77.21	76.71	Fujita2015
78.35	77.87	Fujita2015
88.11	87.39	Fujita2015
97.65	96.85	Fujita2015
100.48	99.73	Fujita2015
120.82	119.49	Fujita2015
123.36	121.99	Fujita2015
126.37	125.01	Fujita2015
131.76	130.53	Fujita2015
134.86	133.56	Fujita2015
141.33	140.02	Fujita2015
142.59	141.28	Fujita2015
152.69	151.32	Fujita2015
157.93	156.56	Fujita2015
161.33	159.96	Fujita2015
171.08	169.26	Fujita2015
176.53	174.5	Fujita2015
188.23	185.82	Fujita2015
191.89	189.66	Fujita2015
192.41	190.08	Fujita2015
201.1	198.54	Fujita2015
211.26	208.54	Fujita2015
212.41	209.74	Fujita2015
215.7	212.94	Fujita2015
216.5	213.82	Fujita2015
218.53	215.78	Fujita2015
221.54	218.8	Fujita2015
235.57	232.56	Fujita2015
237.29	234.26	Fujita2015
246.26	243.12	Fujita2015
252.32	249.1	Fujita2015
254.38	251.24	Fujita2015
262.59	259.32	Fujita2015
263.88	260.54	Fujita2015
266.37	263.02	Fujita2015
267.44	264.0	Fujita2015
274.03	270.38	Fujita2015
280.43	276.98	Fujita2015
286.39	283.04	Fujita2015
286.91	283.52	Fujita2015
293.17	289.98	Fujita2015
304.72	302.36	Fujita2015
305.7	303.52	Fujita2015
306.42	304.28	Fujita2015
307.74	305.52	Fujita2015
308.71	306.36	Fujita2015
310.71	308.48	Fujita2015
312.81	310.94	Fujita2015
314.57	312.7	Fujita2015
315.48	313.64	Fujita2015
319.0	317.3	Fujita2015
320.19	318.58	Fujita2015
322.43	320.92	Fujita2015
323.26	321.94	Fujita2015
323.65	322.39	Fujita2015
326.35	325.14	Fujita2015
339.14	338.52	Fujita2015
339.87	339.26	Fujita2015
342.6	342.36	Fujita2015
342.91	342.66	Fujita2015
343.8	343.58	Fujita2015
344.79	344.76	Fujita2015
348.49	348.54	Fujita2015
349.66	349.92	Fujita2015
350.37	350.62	Fujita2015
352.45	352.82	Fujita2015
371.46	371.92	Fujita2015
371.64	372.1	Fujita2015
379.46	379.32	Fujita2015
384.93	384.12	Fujita2015
385.99	385.16	Fujita2015
386.77	385.9	Fujita2015
388.27	387.26	Fujita2015
388.99	388.0	Fujita2015
390.31	389.36	Fujita2015
391.15	390.24	Fujita2015
392.35	391.28	Fujita2015
394.31	392.96	Fujita2015
399.69	397.78	Fujita2015
400.14	398.24	Fujita2015
402.31	400.26	Fujita2015
404.59	401.96	Fujita2015
405.1	402.48	Fujita2015
406.4	404.1	Fujita2015
407.65	405.36	Fujita2015
409.95	407.6	Fujita2015
417.89	415.38	Fujita2015
418.86	416.34	Fujita2015
419.63	416.98	Fujita2015
426.79	424.1	Fujita2015
427.5	424.86	Fujita2015
427.79	425.1	Fujita2015
428.7	425.9	Fujita2015
429.21	426.38	Fujita2015
429.97	427.12	Fujita2015
434.31	431.12	Fujita2015
435.16	431.94	Fujita2015
441.82	438.08	Fujita2015
442.91	438.9	Fujita2015
443.38	439.2	Fujita2015
443.91	439.58	Fujita2015
455.92	450.54	Fujita2015
457.02	451.5	Fujita2015
459.74	453.98	Fujita2015
488.79	478.96	Fujita2015
491.69	481.48	Fujita2015
496.84	486.08	Fujita2015
506.3	494.64	Fujita2015
511.4	499.18	Fujita2015
528.65	514.66	Fujita2015
532.1	517.6	Fujita2015
536.14	521.18	Fujita2015
550.34	533.86	Fujita2015
552.33	535.54	Fujita2015
557.82	540.14	Fujita2015
559.01	541.38	Fujita2015
560.18	542.14	Fujita2015
562.96	544.76	Fujita2015
564.83	546.38	Fujita2015
565.86	547.28	Fujita2015
577.85	557.64	Fujita2015
580.27	559.7	Fujita2015
580.68	560.03	Fujita2015
582.17	561.32	Fujita2015
585.87	564.38	Fujita2015
586.83	565.16	Fujita2015
589.58	567.46	Fujita2015
590.0	567.86	Fujita2015
592.29	569.88	Fujita2015
600.65	576.08	Fujita2015
603.78	578.92	Fujita2015
604.21	579.34	Fujita2015
605.68	580.58	Fujita2015
609.48	583.96	Fujita2015
635.89	607.01	Fujita2015
643.53	613.16	Fujita2015
646.66	615.78	Fujita2015
646.95	616.08	Fujita2015
659.48	626.52	Fujita2015
671.04	636.4	Fujita2015
672.2	637.44	Fujita2015
681.41	645.2	Fujita2015
682.43	645.92	Fujita2015
698.7	660.06	Fujita2015
699.8	660.78	Fujita2015
701.19	661.84	Fujita2015
706.27	666.32	Fujita2015
708.95	668.68	Fujita2015
711.59	671.06	Fujita2015
712.32	671.56	Fujita2015
712.9	671.86	Fujita2015
714.22	673.22	Fujita2015
714.85	673.7	Fujita2015
716.05	674.77	Fujita2015
716.44	675.12	Fujita2015
716.77	675.4	Fujita2015
718.25	676.62	Fujita2015
718.91	677.18	Fujita2015
719.58	677.88	Fujita2015
721.68	679.58	Fujita2015
725.68	682.96	Fujita2015
727.11	684.16	Fujita2015
728.99	685.6	Fujita2015
733.04	689.08	Fujita2015
733.31	689.34	Fujita2015
735.07	690.88	Fujita2015
735.39	691.12	Fujita2015
735.56	691.3	Fujita2015
737.26	692.8	Fujita2015
738.29	693.74	Fujita2015
739.62	694.74	Fujita2015
743.76	698.66	Fujita2015
744.19	699.02	Fujita2015
745.81	700.62	Fujita2015
746.09	700.82	Fujita2015
746.51	701.22	Fujita2015
750.0	704.14	Fujita2015
751.55	705.46	Fujita2015
751.73	705.7	Fujita2015
753.4	706.9	Fujita2015
755.27	708.36	Fujita2015
755.71	708.68	Fujita2015
760.7	713.0	Fujita2015
767.61	718.64	Fujita2015
769.51	720.4899999999999	Fujita2015
783.82	733.02	Fujita2015
788.98	737.48	Fujita2015
790.74	739.12	Fujita2015
817.35	762.22	Fujita2015
818.25	763.26	Fujita2015
818.81	763.64	Fujita2015
820.12	764.94	Fujita2015
828.84	772.8	Fujita2015
831.48	775.02	Fujita2015
834.28	777.62	Fujita2015
837.4	780.56	Fujita2015
841.77	784.74	Fujita2015
843.07	785.96	Fujita2015
844.5	787.14	Fujita2015
844.98	787.56	Fujita2015
847.01	789.44	Fujita2015
849.55	791.86	Fujita2015
851.02	793.28	Fujita2015
853.39	795.7	Fujita2015
854.49	796.58	Fujita2015
856.33	798.46	Fujita2015
859.1	801.18	Fujita2015
861.08	802.86	Fujita2015
861.52	803.44	Fujita2015
862.17	803.84	Fujita2015
862.8	804.4	Fujita2015
863.7	805.16	Fujita2015
864.15	805.58	Fujita2015
864.74	806.1	Fujita2015
865.18	806.5	Fujita2015
866.66	807.74	Fujita2015
867.69	808.66	Fujita2015
868.61	809.52	Fujita2015
869.06	809.78	Fujita2015
875.07	814.94	Fujita2015
875.42	815.26	Fujita2015
875.68	815.4	Fujita2015
876.83	816.44	Fujita2015
887.43	825.96	Fujita2015
889.52	827.94	Fujita2015
890.19	828.54	Fujita2015
890.8120000000001	829.32	Fujita2015
897.173	834.86	Fujita2015
900.03	837.54	Fujita2015
904.64	841.58	Fujita2015
911.29	847.54	Fujita2015
911.63	847.9	Fujita2015
912.03	848.28	Fujita2015
912.54	848.72	Fujita2015
913.12	849.22	Fujita2015
921.001	856.74	Fujita2015
922.26	857.86	Fujita2015
923.92	859.46	Fujita2015
924.1	859.66	Fujita2015
924.73	860.34	Fujita2015
927.04	862.48	Fujita2015
927.32	862.72	Fujita2015
927.72	863.14	Fujita2015
928.61	864.06	Fujita2015
929.11	864.4	Fujita2015
929.46	864.76	Fujita2015
929.84	865.06	Fujita2015
930.79	866.14	Fujita2015
931.44	866.66	Fujita2015
932.26	867.4	Fujita2015
933.1	868.18	Fujita2015
933.81	868.92	Fujita2015
934.53	869.56	Fujita2015
934.851	869.74	Fujita2015
936.04	870.84	Fujita2015
936.57	871.4	Fujita2015
939.5	874.2	Fujita2015
940.87	875.56	Fujita2015
942.07	876.64	Fujita2015
942.86	877.38	Fujita2015
945.22	879.72	Fujita2015
946.02	880.54	Fujita2015
947.92	882.28	Fujita2015
948.62	883.0	Fujita2015
949.94	884.12	Fujita2015
950.42	884.54	Fujita2015
952.72	886.62	Fujita2015
956.87	890.36	Fujita2015
957.54	890.78	Fujita2015
958.09	891.32	Fujita2015
958.44	891.6	Fujita2015
958.96	892.06	Fujita2015
960.65	893.58	Fujita2015
961.448	894.3	Fujita2015
962.83	895.56	Fujita2015
966.59	898.94	Fujita2015
968.54	900.88	Fujita2015
968.78	901.16	Fujita2015
969.98	902.34	Fujita2015
973.15	904.98	Fujita2015
974.1	905.9	Fujita2015
974.92	906.8	Fujita2015
976.02	907.8	Fujita2015
978.99	910.2	Fujita2015
982.1	913.04	Fujita2015
982.28	913.24	Fujita2015
983.03	913.92	Fujita2015
983.21	914.16	Fujita2015
983.54	914.42	Fujita2015
984.23	915.12	Fujita2015
984.95	915.72	Fujita2015
985.97	916.7	Fujita2015
987.4	918.0	Fujita2015
988.36	918.96	Fujita2015
988.59	919.14	Fujita2015
989.99	920.34	Fujita2015
990.58	920.96	Fujita2015
992.31	922.54	Fujita2015
993.63	923.72	Fujita2015
995.13	925.14	Fujita2015
995.79	925.7	Fujita2015
997.31	927.1	Fujita2015
998.21	927.98	Fujita2015
998.76	928.4	Fujita2015
999.27	929.0	Fujita2015
999.56	929.2	Fujita2015
1002.18	931.66	Fujita2015
1003.66	933.14	Fujita2015
1004.33	933.76	Fujita2015
1007.53	936.86	Fujita2015
1010.42	939.52	Fujita2015
1011.04	940.14	Fujita2015
1011.69	940.74	Fujita2015
1012.31	941.28	Fujita2015
1015.14	943.86	Fujita2015
1016.07	944.58	Fujita2015
1016.95	945.36	Fujita2015
1017.73	946.08	Fujita2015
1018.48	946.78	Fujita2015
1018.85	947.08	Fujita2015
1020.44	948.68	Fujita2015
1021.18	949.1	Fujita2015
1021.78	949.62	Fujita2015
1021.96	949.86	Fujita2015
1023.58	951.3	Fujita2015
1024.46	951.98	Fujita2015
1025.13	952.6	Fujita2015
1025.61	953.02	Fujita2015
1026.76	954.14	Fujita2015
1027.64	954.8	Fujita2015
1027.87	954.92	Fujita2015
1028.28	955.24	Fujita2015
1029.47	956.36	Fujita2015
1030.15	956.92	Fujita2015
1030.99	957.5	Fujita2015
1031.24	957.66	Fujita2015
1032.14	958.66	Fujita2015
1033.63	959.9	Fujita2015
1034.53	960.68	Fujita2015
1034.76	960.96	Fujita2015
1035.16	961.2	Fujita2015
1036.03	961.96	Fujita2015
1036.61	962.54	Fujita2015
1036.81	962.7	Fujita2015
1038.14	963.98	Fujita2015
1038.72	964.3	Fujita2015
1038.89	964.42	Fujita2015
1039.78	965.18	Fujita2015
1040.12	965.58	Fujita2015
1040.47	965.86	Fujita2015
1040.7	966.08	Fujita2015
1040.93	966.26	Fujita2015
1041.46	966.74	Fujita2015
1042.22	967.26	Fujita2015
1043.31	968.08	Fujita2015
1044.08	968.8	Fujita2015
1044.54	969.18	Fujita2015
1046.11	970.62	Fujita2015
1047.07	971.44	Fujita2015
1050.1	974.06	Fujita2015
1050.67	974.44	Fujita2015
1052.1	975.68	Fujita2015
1052.43	975.96	Fujita2015
1052.77	976.18	Fujita2015
1053.26	976.52	Fujita2015
1053.65	976.94	Fujita2015
1080.68	1000.64	Fujita2015
1085.43	1004.86	Fujita2015
1086.72	1005.96	Fujita2015
1087.63	1006.66	Fujita2015
1095.7	1013.7	Fujita2015
1102.12	1019.4	Fujita2015
1105.13	1022.12	Fujita2015
1110.34	1026.76	Fujita2015
1113.19	1029.28	Fujita2015
1114.17	1030.08	Fujita2015
1115.71	1031.52	Fujita2015
1117.67	1033.14	Fujita2015
1127.14	1041.38	Fujita2015
1127.59	1041.9	Fujita2015
1154.41	1068.28	Fujita2015
1154.73	1068.56	Fujita2015
1154.88	1068.78	Fujita2015
1156.6	1070.2	Fujita2015
1156.77	1070.38	Fujita2015
1157.49	1070.88	Fujita2015
1157.73	1071.18	Fujita2015
1159.12	1072.26	Fujita2015
1159.33	1072.46	Fujita2015
1160.21	1073.38	Fujita2015
1161.12	1074.16	Fujita2015
1161.52	1074.54	Fujita2015
1165.96	1078.64	Fujita2015
1166.23	1078.94	Fujita2015
