#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
314.57	312.765	Svensson_Links
322.43	320.949	Svensson_Links
339.14	338.556	Svensson_Links
344.97	344.807	Svensson_Links
349.66	349.927	Svensson_Links
352.45	352.845	Svensson_Links
369.5049909	370.087	Svensson_Links
371.46	371.943	Svensson_Links
384.93	384.13100000000003	Svensson_Links
388.27	387.279	Svensson_Links
388.99	388.03000000000003	Svensson_Links
389.63	388.708	Svensson_Links
390.31	389.357	Svensson_Links
394.31	393.008	Svensson_Links
402.25	400.284	Svensson_Links
406.4	404.13920631263164	Svensson_Links
419.62	417.1	Svensson_Links
424.34	421.883	Svensson_Links
425.66	423.062	Svensson_Links
429.97	427.105	Svensson_Links
441.82	438.08	Svensson_Links
457.02	451.532	Svensson_Links
459.74	454.0	Svensson_Links
466.98	460.42	Svensson_Links
470.87	463.53	Svensson_Links
482.85	473.69709690197794	Svensson_Links
488.79	478.86775318871827	Svensson_Links
496.84	486.1	Svensson_Links
503.93	492.5	Svensson_Links
511.4	499.209065483871	Svensson_Links
515.14	502.75	Svensson_Links
528.65	514.7724498692241	Svensson_Links
542.01	526.45	Svensson_Links
557.82	540.32	Svensson_Links
559.708053097345	541.95651	Svensson_Links
562.96	544.8	Svensson_Links
565.86	547.36	Svensson_Links
572.46	553.1	Svensson_Links
572.75	553.32	Svensson_Links
582.17	561.376	Svensson_Links
583.68	562.58	Svensson_Links
585.87	564.41	Svensson_Links
590.34	568.22	Svensson_Links
592.29	569.95	Svensson_Links
593.97	571.2	Svensson_Links
594.9	571.93	Svensson_Links
602.98	579.0	Svensson_Links
611.23	586.28	Svensson_Links
619.782267428027	593.45	Svensson_Links
626.30515108256	598.86	Svensson_Links
635.89	606.98	Svensson_Links
643.53	613.2	Svensson_Links
646.95	616.0	Svensson_Links
659.48	626.54	Svensson_Links
666.29	632.28	Svensson_Links
671.04	636.42	Svensson_Links
681.01	644.76	Svensson_Links
682.43	645.9	Svensson_Links
701.01	661.85	Svensson_Links
706.27	666.38	Svensson_Links
711.59	670.99	Svensson_Links
714.22	673.1726553966189	Svensson_Links
718.91	677.14	Svensson_Links
721.68	679.52	Svensson_Links
729.35	686.23	Svensson_Links
733.04	689.12	Svensson_Links
735.39	691.11	Svensson_Links
744.19	699.02	Svensson_Links
746.51	701.27	Svensson_Links
750.0	704.155	Svensson_Links
767.61	718.95	Svensson_Links
772.69	723.22	Svensson_Links
776.242308626974	726.31	Svensson_Links
788.98	737.48	Svensson_Links
801.0	748.08	Svensson_Links
802.14	748.96	Svensson_Links
803.87	750.33	Svensson_Links
808.42	754.28	Svensson_Links
814.12	759.56	Svensson_Links
818.28	763.25	Svensson_Links
831.48	775.02	Svensson_Links
834.28	777.65	Svensson_Links
837.4	780.58	Svensson_Links
843.07	785.82	Svensson_Links
847.01	789.4	Svensson_Links
847.98	790.56	Svensson_Links
849.55	791.88	Svensson_Links
856.33	798.503	Svensson_Links
861.08	802.85	Svensson_Links
875.39	815.27	Svensson_Links
887.43	826.0	Svensson_Links
890.19	828.55	Svensson_Links
900.03	837.56	Svensson_Links
904.64	841.62	Svensson_Links
912.5	848.95	Svensson_Links
921.001	856.76	Svensson_Links
923.92	859.49	Svensson_Links
936.57	871.43	Svensson_Links
942.07	876.66	Svensson_Links
946.02	880.53	Svensson_Links
947.92	882.27	Svensson_Links
955.68	889.3	Svensson_Links
958.14	891.34	Svensson_Links
960.65	893.62	Svensson_Links
