#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
314.57	606.6197	Svensson_Links
322.43	619.24265	Svensson_Links
339.14	645.2138	Svensson_Links
344.97	654.69	Svensson_Links
349.66	662.1985	Svensson_Links
352.45	666.74	Svensson_Links
369.5049909	692.8	Svensson_Links
371.46	695.5111	Svensson_Links
384.93	713.1655	Svensson_Links
388.27	717.1847499999999	Svensson_Links
390.31	720.4048	Svensson_Links
394.31	725.67785	Svensson_Links
402.25	736.1168	Svensson_Links
406.4	741.4846	Svensson_Links
419.62	759.61426	Svensson_Links
424.34	766.0942	Svensson_Links
425.66	767.7046	Svensson_Links
429.97	773.2282	Svensson_Links
441.82	786.55675	Svensson_Links
459.74	804.47635	Svensson_Links
491.69	832.6777	Svensson_Links
496.84	837.17	Svensson_Links
503.93	843.268575	Svensson_Links
505.79	844.775075	Svensson_Links
511.4	849.47285	Svensson_Links
515.14	852.7045250000001	Svensson_Links
528.65	863.6472	Svensson_Links
557.82	886.95318	Svensson_Links
562.96	890.9	Svensson_Links
565.86	893.0500999999999	Svensson_Links
572.46	898.4	Svensson_Links
572.75	898.58315	Svensson_Links
582.17	905.9506	Svensson_Links
585.87	908.84087	Svensson_Links
590.34	912.39	Svensson_Links
592.29	913.9723	Svensson_Links
594.9	915.82	Svensson_Links
602.98	922.2397000000001	Svensson_Links
611.23	928.73855	Svensson_Links
618.05	933.9	Svensson_Links
619.782267428027	935.311065	Svensson_Links
626.30515108256	940.346235	Svensson_Links
635.89	948.24145	Svensson_Links
636.3952726	948.71497	Svensson_Links
643.53	954.64557	Svensson_Links
646.95	956.7564	Svensson_Links
659.48	966.743475	Svensson_Links
666.29	972.18308	Svensson_Links
671.04	976.25918	Svensson_Links
681.01	984.68575	Svensson_Links
682.43	985.85	Svensson_Links
694.54	996.6311000000001	Svensson_Links
701.01	1002.32965	Svensson_Links
706.27	1007.25638	Svensson_Links
711.59	1012.2939	Svensson_Links
714.22	1014.6379	Svensson_Links
716.768	1016.94	Svensson_Links
718.91	1018.7479000000001	Svensson_Links
721.68	1021.32	Svensson_Links
729.35	1028.38	Svensson_Links
733.04	1032.0540999999998	Svensson_Links
735.39	1034.2954	Svensson_Links
744.19	1042.9017	Svensson_Links
746.51	1045.2232	Svensson_Links
750.0	1048.5496	Svensson_Links
767.61	1064.79	Svensson_Links
772.69	1069.4747	Svensson_Links
776.242308626974	1072.9110500000002	Svensson_Links
788.98	1085.6603	Svensson_Links
792.08	1088.6617	Svensson_Links
801.0	1097.7233	Svensson_Links
802.14	1098.6907	Svensson_Links
803.87	1100.30355	Svensson_Links
808.42	1104.8169	Svensson_Links
814.12	1110.65845	Svensson_Links
817.37	1113.91	Svensson_Links
818.28	1114.84	Svensson_Links
831.48	1128.11925	Svensson_Links
834.28	1131.2186000000002	Svensson_Links
837.4	1134.5295	Svensson_Links
843.07	1140.5064	Svensson_Links
847.01	1144.52	Svensson_Links
847.98	1145.7373	Svensson_Links
849.55	1147.2226500000002	Svensson_Links
856.33	1154.3309	Svensson_Links
861.08	1159.079	Svensson_Links
887.43	1181.26585	Svensson_Links
890.19	1183.4676	Svensson_Links
900.03	1190.93	Svensson_Links
912.5	1199.7054	Svensson_Links
921.001	1205.459	Svensson_Links
923.92	1207.4301500000001	Svensson_Links
936.57	1215.6733	Svensson_Links
942.07	1219.21	Svensson_Links
946.02	1221.7092	Svensson_Links
955.68	1227.3228	Svensson_Links
958.14	1228.8572	Svensson_Links
960.65	1230.15	Svensson_Links
968.54	1234.5045	Svensson_Links
983.03	1242.2386	Svensson_Links
983.54	1242.39245	Svensson_Links
984.95	1243.21	Svensson_Links
988.59	1245.26	Svensson_Links
995.79	1248.92	Svensson_Links
997.31	1249.7577	Svensson_Links
999.56	1250.5653	Svensson_Links
1002.18	1252.19	Svensson_Links
1010.42	1256.5894	Svensson_Links
1012.31	1257.3143	Svensson_Links
1016.07	1259.133	Svensson_Links
1017.73	1259.9182	Svensson_Links
