#Includes DF-WDC tiepoints from the DF2021 Chronology
depth1	depth2	reference
7.390713639	40.69219676	DF21_Chron
10.14919691	53.55935381	DF21_Chron
11.25895432	58.88052737	DF21_Chron
11.68790731	60.58246535	DF21_Chron
17.78055773	87.82362271	DF21_Chron
20.38193066	100.4844097	DF21_Chron
22.38022599	110.26	DF21_Chron
28.91761369	142.97	DF21_Chron
36.67989863	182.52	DF21_Chron
37.08074912	184.5938075	DF21_Chron
37.38018093	186.175	DF21_Chron
37.83120782	188.6950569	DF21_Chron
38.9610689	195.36	DF21_Chron
60.38960678	325.925	DF21_Chron
64.24828186	351.435	DF21_Chron
65.45	359.785	DF21_Chron
69.21	384.675	DF21_Chron
77.21	437.59	DF21_Chron
78.35	445.62	DF21_Chron
85.45200652	495.09	DF21_Chron
87.19816926	507.59	DF21_Chron
90.82572701	532.935	DF21_Chron
97.65	583.897	DF21_Chron
100.48	605.43	DF21_Chron
102.3107893	619.4	DF21_Chron
120.82	747.72	DF21_Chron
126.37	788.54	DF21_Chron
131.77	828.549	DF21_Chron
134.86	850.82	DF21_Chron
141.0275566	895.6062188	DF21_Chron
141.35	897.926	DF21_Chron
142.62	907.58	DF21_Chron
145.99	931.36	DF21_Chron
152.69	978.43	DF21_Chron
155.1192377	994.8502363	DF21_Chron
157.93	1014.55	DF21_Chron
161.33	1036.62	DF21_Chron
171.08	1099.05	DF21_Chron
177.89	1143.895409	DF21_Chron
181.921	1169.2941	DF21_Chron
188.23	1210.0	DF21_Chron
190.74	1225.64	DF21_Chron
191.89	1233.01	DF21_Chron
192.41	1236.01	DF21_Chron
193.81	1244.158	DF21_Chron
211.26	1342.29	DF21_Chron
212.41	1348.84	DF21_Chron
215.7	1367.77	DF21_Chron
216.5	1372.66	DF21_Chron
218.3091909	1382.549677	DF21_Chron
218.53	1383.93	DF21_Chron
221.3185327	1399.365041	DF21_Chron
221.54	1400.75	DF21_Chron
235.57	1475.15	DF21_Chron
237.29	1483.5	DF21_Chron
246.26	1526.02	DF21_Chron
252.32	1554.04	DF21_Chron
254.0909135	1562.161414	DF21_Chron
254.38	1563.63	DF21_Chron
262.59	1601.69	DF21_Chron
263.8830635	1607.93487	DF21_Chron
264.5226855	1610.690152	DF21_Chron
264.9578921	1612.793494	DF21_Chron
266.37	1619.23	DF21_Chron
267.44	1624.08	DF21_Chron
269.50778	1633.241198	DF21_Chron
274.03	1653.0	DF21_Chron
282.9405802	1689.944358	DF21_Chron
286.39	1703.0	DF21_Chron
293.17	1728.92	DF21_Chron
296.95	1742.815	DF21_Chron
304.72	1772.35	DF21_Chron
306.4220472	1779.392911	DF21_Chron
307.74	1784.065	DF21_Chron
312.81	1802.635	DF21_Chron
314.57	1808.95	DF21_Chron
315.48	1812.35	DF21_Chron
320.19	1828.61	DF21_Chron
322.43	1836.445	DF21_Chron
323.26	1839.47	DF21_Chron
323.65	1840.91	DF21_Chron
325.5834645	1847.607175	DF21_Chron
330.71	1865.8	DF21_Chron
332.8584129	1873.205825	DF21_Chron
339.14	1896.63	DF21_Chron
339.87	1899.27	DF21_Chron
342.6161107	1910.16958	DF21_Chron
342.91	1911.29	DF21_Chron
343.8	1914.68	DF21_Chron
344.775614	1918.258651	DF21_Chron
345.3651048	1920.713991	DF21_Chron
348.49	1932.82	DF21_Chron
349.66	1937.72	DF21_Chron
349.924	1938.51	DF21_Chron
350.37	1940.24	DF21_Chron
351.62	1945.565	DF21_Chron
352.45	1948.56	DF21_Chron
352.6212127	1949.249708	DF21_Chron
369.5049909	2012.564296	DF21_Chron
371.479398	2019.053752	DF21_Chron
371.6575445	2019.731896	DF21_Chron
376.9227025	2037.379954	DF21_Chron
379.4671689	2047.21487	DF21_Chron
384.9186989	2068.29915	DF21_Chron
388.27	2082.97	DF21_Chron
388.99	2086.55	DF21_Chron
390.31	2092.72	DF21_Chron
392.35	2102.46	DF21_Chron
394.31	2111.28	DF21_Chron
399.69	2133.67	DF21_Chron
402.2489943	2145.356932	DF21_Chron
406.4	2164.15	DF21_Chron
407.65	2170.04	DF21_Chron
408.3090195	2172.645262	DF21_Chron
409.95	2179.77	DF21_Chron
417.8926015	2213.056971	DF21_Chron
419.6236172	2219.855187	DF21_Chron
424.3443311	2240.155	DF21_Chron
427.5	2253.51	DF21_Chron
427.79	2254.91	DF21_Chron
428.7	2258.36	DF21_Chron
429.97	2263.21	DF21_Chron
434.31	2279.5	DF21_Chron
435.16	2282.82	DF21_Chron
441.82	2308.74	DF21_Chron
452.097	2345.11	DF21_Chron
455.92	2357.45	DF21_Chron
457.02	2361.13	DF21_Chron
459.74	2370.02	DF21_Chron
466.9904017	2392.361684	DF21_Chron
488.8150598	2444.691155	DF21_Chron
491.69	2451.04	DF21_Chron
504.0745082	2478.412499	DF21_Chron
505.7882347	2482.739579	DF21_Chron
506.3	2484.15	DF21_Chron
511.4	2497.13	DF21_Chron
515.141705	2506.393982	DF21_Chron
525.0073633	2530.145	DF21_Chron
528.65	2538.38	DF21_Chron
532.1	2545.775	DF21_Chron
536.14	2554.48	DF21_Chron
548.7573179	2581.926468	DF21_Chron
557.8189415	2600.433449	DF21_Chron
559.01	2602.92	DF21_Chron
560.1707618	2605.225	DF21_Chron
562.96	2610.99	DF21_Chron
564.83	2615.1	DF21_Chron
565.86	2617.34	DF21_Chron
572.746047	2634.373767	DF21_Chron
