#Includes DF-WDC tiepoints from Ikumi email on Nov 8, 2025. Includes interpolation of DF2 to DF1 links
depth1	depth2	reference
7.39	40.69	IkumiEmail_Nov8
8.54811764705882	46.50390464	IkumiEmail_Nov8
10.15	53.56	IkumiEmail_Nov8
11.26	58.88	IkumiEmail_Nov8
11.69	60.58246535	IkumiEmail_Nov8
17.78	87.82	IkumiEmail_Nov8
18.80549800796813	92.79	IkumiEmail_Nov8
20.38	100.48	IkumiEmail_Nov8
21.44341463414634	105.3	IkumiEmail_Nov8
22.38	110.26	IkumiEmail_Nov8
28.92	142.97	IkumiEmail_Nov8
34.073281653746776	168.9791412	IkumiEmail_Nov8
36.68	182.52	IkumiEmail_Nov8
37.08	184.59	IkumiEmail_Nov8
37.38	186.18	IkumiEmail_Nov8
37.83	188.7	IkumiEmail_Nov8
38.96	195.36	IkumiEmail_Nov8
41.41366574330563	208.925	IkumiEmail_Nov8
46.94430747922438	240.1504929	IkumiEmail_Nov8
48.4778485687904	251.171	IkumiEmail_Nov8
52.09898430286242	272.67	IkumiEmail_Nov8
56.818333333333335	303.457	IkumiEmail_Nov8
60.39	325.93	IkumiEmail_Nov8
64.25	351.44	IkumiEmail_Nov8
65.45	359.79	IkumiEmail_Nov8
67.08977777777773	371.0373831	IkumiEmail_Nov8
69.2099999999999	384.68	IkumiEmail_Nov8
73.83072538860101	415.3874518	IkumiEmail_Nov8
75.09	423.7869116	IkumiEmail_Nov8
77.2099999999999	437.585	IkumiEmail_Nov8
78.3499999999999	445.62	IkumiEmail_Nov8
79.2374999999998	451.9076886	IkumiEmail_Nov8
82.75791666666663	477.7084273	IkumiEmail_Nov8
84.43430555555554	489.0302056	IkumiEmail_Nov8
85.45	495.09	IkumiEmail_Nov8
87.2	507.59	IkumiEmail_Nov8
90.83	532.94	IkumiEmail_Nov8
92.0	541.51	IkumiEmail_Nov8
97.65	583.9	IkumiEmail_Nov8
98.94589225589226	594.1	IkumiEmail_Nov8
100.48	605.43	IkumiEmail_Nov8
102.31	619.4	IkumiEmail_Nov8
106.87195467422097	651.89	IkumiEmail_Nov8
115.18834560906515	711.282	IkumiEmail_Nov8
120.82	747.72	IkumiEmail_Nov8
123.31	765.1625198	IkumiEmail_Nov8
126.37	788.54	IkumiEmail_Nov8
127.72	797.895	IkumiEmail_Nov8
131.77	828.549	IkumiEmail_Nov8
132.31333333333336	832.476	IkumiEmail_Nov8
134.88	850.82	IkumiEmail_Nov8
136.74666666666667	864.35	IkumiEmail_Nov8
141.03	895.62	IkumiEmail_Nov8
141.35	897.926	IkumiEmail_Nov8
142.62	907.54	IkumiEmail_Nov8
144.15	918.42	IkumiEmail_Nov8
145.99	931.33	IkumiEmail_Nov8
152.69	978.43	IkumiEmail_Nov8
155.1192377	994.8502363	IkumiEmail_Nov8
156.4	1003.988	IkumiEmail_Nov8
156.96368421052634	1007.675	IkumiEmail_Nov8
157.93	1014.55	IkumiEmail_Nov8
159.09	1022.216	IkumiEmail_Nov8
161.33	1036.535	IkumiEmail_Nov8
164.5487804878049	1057.418	IkumiEmail_Nov8
165.48	1063.51649	IkumiEmail_Nov8
171.08	1099.05	IkumiEmail_Nov8
174.12333333333333	1118.427	IkumiEmail_Nov8
177.0132111692845	1137.675	IkumiEmail_Nov8
177.93	1143.895409	IkumiEmail_Nov8
181.921	1169.2941	IkumiEmail_Nov8
184.26	1184.026	IkumiEmail_Nov8
185.31205	1191.327	IkumiEmail_Nov8
188.23	1210.0	IkumiEmail_Nov8
190.74	1225.64	IkumiEmail_Nov8
191.89	1233.01	IkumiEmail_Nov8
192.41	1236.01	IkumiEmail_Nov8
193.81	1244.158	IkumiEmail_Nov8
200.15	1280.691	IkumiEmail_Nov8
201.15	1285.872	IkumiEmail_Nov8
