#Svensson Bipolar Link Sheet - only inter-Antarctic tiepoints added
depth1	depth2	reference
611.253	1808.9	Svensson_Links
623.5	1836.4	Svensson_Links
650.25	1896.608	Svensson_Links
659.52	1919.17	Svensson_Links
667.038	1937.7540000000001	Svensson_Links
671.266	1948.55	Svensson_Links
677.11	1964.635	Svensson_Links
677.51	1965.488	Svensson_Links
679.48	1970.13	Svensson_Links
692.19	1997.103	Svensson_Links
700.181	2012.5	Svensson_Links
703.395	2019.0710000000001	Svensson_Links
725.831	2068.34	Svensson_Links
731.464	2082.951	Svensson_Links
732.625	2086.525	Svensson_Links
733.65	2089.552	Svensson_Links
734.77	2092.7200000000003	Svensson_Links
741.235	2111.2490000000003	Svensson_Links
754.712	2145.37	Svensson_Links
761.6928700000001	2164.1528	Svensson_Links
784.903	2219.809	Svensson_Links
793.21	2240.15	Svensson_Links
795.517	2245.205	Svensson_Links
803.859	2263.204	Svensson_Links
816.3	2288.38	Svensson_Links
825.99	2308.71	Svensson_Links
829.82	2316.33	Svensson_Links
830.26	2317.14	Svensson_Links
854.42	2361.136	Svensson_Links
859.64	2370.02	Svensson_Links
873.07	2392.36	Svensson_Links
880.07	2401.72	Svensson_Links
891.98	2417.87	Svensson_Links
896.769	2424.095	Svensson_Links
899.8	2428.095	Svensson_Links
901.373	2430.265	Svensson_Links
904.0	2434.0	Svensson_Links
905.1	2435.6	Svensson_Links
906.65	2437.65	Svensson_Links
909.48	2441.83	Svensson_Links
911.72	2444.685	Svensson_Links
916.58	2451.02	Svensson_Links
921.735	2457.645	Svensson_Links
925.15	2462.05	Svensson_Links
925.95	2463.15	Svensson_Links
936.7	2478.16	Svensson_Links
939.69	2482.73	Svensson_Links
949.176425	2497.12	Svensson_Links
955.21	2506.39	Svensson_Links
955.6	2506.97	Svensson_Links
956.11	2507.75	Svensson_Links
961.375	2515.93	Svensson_Links
972.7121	2532.9	Svensson_Links
976.47578	2538.375	Svensson_Links
984.65857	2549.6587	Svensson_Links
997.8	2567.25	Svensson_Links
1001.4	2572.0293	Svensson_Links
1012.55	2586.48	Svensson_Links
1023.05	2599.04	Svensson_Links
1024.19	2600.42	Svensson_Links
1024.75	2601.05	Svensson_Links
1027.5835	2604.2	Svensson_Links
1033.57	2611.0	Svensson_Links
1039.0	2617.32	Svensson_Links
1051.37	2633.7	Svensson_Links
1051.81	2634.3540000000003	Svensson_Links
1064.77	2653.0	Svensson_Links
1069.723	2660.23	Svensson_Links
1072.53	2664.18	Svensson_Links
1076.9370000000001	2670.087	Svensson_Links
1079.25	2673.04	Svensson_Links
1085.66	2681.92	Svensson_Links
1089.4315000000001	2687.3808	Svensson_Links
1090.69	2689.1	Svensson_Links
1092.49	2691.55	Svensson_Links
1094.12	2694.11	Svensson_Links
1103.4	2707.85	Svensson_Links
1109.62	2717.85	Svensson_Links
1118.46	2732.95	Svensson_Links
1123.98	2742.86	Svensson_Links
1127.7	2749.08	Svensson_Links
1135.22	2762.9	Svensson_Links
1138.0	2768.1	Svensson_Links
1146.8	2784.36	Svensson_Links
1160.14	2806.62	Svensson_Links
1160.95	2807.69	Svensson_Links
1170.19	2822.2	Svensson_Links
1174.5	2829.06	Svensson_Links
1190.58	2851.69	Svensson_Links
1194.68	2856.77	Svensson_Links
1199.6	2863.15	Svensson_Links
1206.06	2872.32	Svensson_Links
1211.398	2879.69	Svensson_Links
1220.12	2890.77	Svensson_Links
1222.02	2893.14	Svensson_Links
1233.75	2907.97	Svensson_Links
1239.18	2915.12	Svensson_Links
1247.97	2928.33	Svensson_Links
1249.78	2931.28	Svensson_Links
1254.95325	2939.56	Svensson_Links
1257.131	2943.085	Svensson_Links
1262.29	2951.03	Svensson_Links
1263.7	2953.05	Svensson_Links
1265.776	2955.915	Svensson_Links
1268.423	2959.425	Svensson_Links
1269.4	2960.7	Svensson_Links
1272.27	2964.32	Svensson_Links
1276.3	2969.13	Svensson_Links
1286.83	2981.39	Svensson_Links
1291.82	2987.25	Svensson_Links
1295.108	2991.1330000000003	Svensson_Links
1307.595	3006.318	Svensson_Links
1311.084	3010.469	Svensson_Links
1313.08	3012.89	Svensson_Links
1316.039	3016.45	Svensson_Links
1326.04	3027.63	Svensson_Links
1331.3	3033.15	Svensson_Links
1342.33	3044.28	Svensson_Links
1349.534	3052.1	Svensson_Links
1350.59	3053.262	Svensson_Links
1354.57	3057.95	Svensson_Links
1372.717	3079.07	Svensson_Links
1376.915	3083.92	Svensson_Links
1390.02	3098.606	Svensson_Links
1391.454	3100.16	Svensson_Links
1393.78	3102.68	Svensson_Links
1400.141	3109.92	Svensson_Links
1408.04	3118.82	Svensson_Links
1412.4	3123.9	Svensson_Links
1413.7	3125.35	Svensson_Links
1415.64	3127.5	Svensson_Links
1418.12	3130.11	Svensson_Links
1429.11	3142.5	Svensson_Links
1431.27	3144.96	Svensson_Links
1432.5	3146.5	Svensson_Links
1435.08	3149.45	Svensson_Links
1439.07	3154.24	Svensson_Links
1446.28	3162.931	Svensson_Links
1451.14	3169.04	Svensson_Links
1452.63	3170.992	Svensson_Links
1454.356	3173.17	Svensson_Links
1462.987	3184.42	Svensson_Links
1468.91	3192.0	Svensson_Links
1487.91	3212.62	Svensson_Links
1497.9	3222.77	Svensson_Links
1503.6	3228.32	Svensson_Links
1507.33	3231.9	Svensson_Links
1520.42	3244.07	Svensson_Links
1526.13	3249.64	Svensson_Links
1536.6	3260.32	Svensson_Links
1547.79	3271.39	Svensson_Links
1551.53	3274.77	Svensson_Links
1568.3	3289.86	Svensson_Links
1575.51	3297.95	Svensson_Links
1580.8	3303.76	Svensson_Links
1581.04	3304.13	Svensson_Links
1583.32	3306.6	Svensson_Links
1587.05	3309.83	Svensson_Links
1593.61	3315.48	Svensson_Links
1596.69	3317.96	Svensson_Links
1599.96	3320.22	Svensson_Links
1602.8	3322.22	Svensson_Links
1609.93	3326.84	Svensson_Links
1619.39	3332.95	Svensson_Links
1628.15	3338.45	Svensson_Links
1628.87	3338.85	Svensson_Links
1630.61	3340.35	Svensson_Links
1635.13	3343.02	Svensson_Links
1640.66	3346.06	Svensson_Links
1644.02	3347.82	Svensson_Links
1645.949	3348.86	Svensson_Links
1647.9	3349.8	Svensson_Links
1648.907	3350.32	Svensson_Links
1652.25	3352.04	Svensson_Links
1662.732	3357.86	Svensson_Links
1665.239	3359.36	Svensson_Links
1670.14	3361.9	Svensson_Links
1672.313	3362.95	Svensson_Links
1687.65	3369.575	Svensson_Links
1696.16	3372.26	Svensson_Links
1716.11	3378.275	Svensson_Links
1725.12	3380.67	Svensson_Links
1735.28	3384.21	Svensson_Links
1738.45	3385.29	Svensson_Links
1745.66	3388.25	Svensson_Links
1747.7250000000001	3389.15	Svensson_Links
1748.47	3389.45	Svensson_Links
1756.75	3392.42	Svensson_Links
1762.07	3394.59	Svensson_Links
1766.861	3397.1	Svensson_Links
1771.93	3399.99	Svensson_Links
1775.207	3401.54	Svensson_Links
