#Includes Seierstad 2014 and Rasmussen 2014 tie points (same file)
depth1	depth2	reference
33.047	30.62	Seierstad2014_Rasmussen2014
46.33	43.153	Seierstad2014_Rasmussen2014
54.507	50.887	Seierstad2014_Rasmussen2014
57.16	53.407	Seierstad2014_Rasmussen2014
58.228	54.51	Seierstad2014_Rasmussen2014
62.79	58.696	Seierstad2014_Rasmussen2014
64.348	60.217	Seierstad2014_Rasmussen2014
72.111	67.345	Seierstad2014_Rasmussen2014
76.574	71.679	Seierstad2014_Rasmussen2014
77.685	72.66	Seierstad2014_Rasmussen2014
79.486	74.297	Seierstad2014_Rasmussen2014
85.924	80.384	Seierstad2014_Rasmussen2014
94.943	88.99	Seierstad2014_Rasmussen2014
100.201	93.852	Seierstad2014_Rasmussen2014
102.63	95.911	Seierstad2014_Rasmussen2014
108.832	102.057	Seierstad2014_Rasmussen2014
118.582	110.961	Seierstad2014_Rasmussen2014
127.082	118.883	Seierstad2014_Rasmussen2014
140.11	131.185	Seierstad2014_Rasmussen2014
141.107	132.165	Seierstad2014_Rasmussen2014
142.558	133.506	Seierstad2014_Rasmussen2014
148.711	139.361	Seierstad2014_Rasmussen2014
152.702	143.147	Seierstad2014_Rasmussen2014
179.998	168.836	Seierstad2014_Rasmussen2014
193.245	181.382	Seierstad2014_Rasmussen2014
199.612	187.276	Seierstad2014_Rasmussen2014
206.042	193.26	Seierstad2014_Rasmussen2014
217.252	203.746	Seierstad2014_Rasmussen2014
219.577	205.949	Seierstad2014_Rasmussen2014
233.885	219.532	Seierstad2014_Rasmussen2014
251.785	236.622	Seierstad2014_Rasmussen2014
253.421	238.209	Seierstad2014_Rasmussen2014
258.023	242.398	Seierstad2014_Rasmussen2014
272.342	256.127	Seierstad2014_Rasmussen2014
274.945	258.548	Seierstad2014_Rasmussen2014
280.411	263.77	Seierstad2014_Rasmussen2014
286.346	269.401	Seierstad2014_Rasmussen2014
311.176	293.208	Seierstad2014_Rasmussen2014
313.877	295.56	Seierstad2014_Rasmussen2014
328.632	309.634	Seierstad2014_Rasmussen2014
340.496	320.826	Seierstad2014_Rasmussen2014
359.633	339.821	Seierstad2014_Rasmussen2014
362.613	342.632	Seierstad2014_Rasmussen2014
374.423	353.835	Seierstad2014_Rasmussen2014
377.538	356.668	Seierstad2014_Rasmussen2014
378.27	357.317	Seierstad2014_Rasmussen2014
381.832	360.789	Seierstad2014_Rasmussen2014
384.922	363.582	Seierstad2014_Rasmussen2014
409.021	386.867	Seierstad2014_Rasmussen2014
416.912	394.24	Seierstad2014_Rasmussen2014
436.747	413.241	Seierstad2014_Rasmussen2014
453.396	429.082	Seierstad2014_Rasmussen2014
480.92	455.319	Seierstad2014_Rasmussen2014
489.284	463.335	Seierstad2014_Rasmussen2014
500.776	474.25	Seierstad2014_Rasmussen2014
509.122	482.431	Seierstad2014_Rasmussen2014
514.603	488.019	Seierstad2014_Rasmussen2014
519.779	493.026	Seierstad2014_Rasmussen2014
521.91	495.148	Seierstad2014_Rasmussen2014
523.36	496.54	Seierstad2014_Rasmussen2014
541.556	513.319	Seierstad2014_Rasmussen2014
549.42	520.143	Seierstad2014_Rasmussen2014
550.62	521.216	Seierstad2014_Rasmussen2014
556.906	526.677	Seierstad2014_Rasmussen2014
563.094	534.105	Seierstad2014_Rasmussen2014
565.992	537.032	Seierstad2014_Rasmussen2014
567.182	538.043	Seierstad2014_Rasmussen2014
568.035	538.881	Seierstad2014_Rasmussen2014
571.353	542.039	Seierstad2014_Rasmussen2014
583.5	553.42	Seierstad2014_Rasmussen2014
588.116	557.915	Seierstad2014_Rasmussen2014
589.41	559.171	Seierstad2014_Rasmussen2014
590.061	559.781	Seierstad2014_Rasmussen2014
597.648	566.991	Seierstad2014_Rasmussen2014
598.253	567.608	Seierstad2014_Rasmussen2014
600.108	569.365	Seierstad2014_Rasmussen2014
606.707	575.685	Seierstad2014_Rasmussen2014
607.92	576.878	Seierstad2014_Rasmussen2014
609.763	578.665	Seierstad2014_Rasmussen2014
611.597	580.538	Seierstad2014_Rasmussen2014
675.338	641.734	Seierstad2014_Rasmussen2014
693.989	659.752	Seierstad2014_Rasmussen2014
694.702	660.359	Seierstad2014_Rasmussen2014
716.994	680.827	Seierstad2014_Rasmussen2014
738.559	701.851	Seierstad2014_Rasmussen2014
739.247	702.625	Seierstad2014_Rasmussen2014
759.111	721.738	Seierstad2014_Rasmussen2014
762.935	725.468	Seierstad2014_Rasmussen2014
766.877	729.514	Seierstad2014_Rasmussen2014
774.522	736.469	Seierstad2014_Rasmussen2014
778.824	740.562	Seierstad2014_Rasmussen2014
781.864	743.423	Seierstad2014_Rasmussen2014
807.156	768.638	Seierstad2014_Rasmussen2014
811.506	772.741	Seierstad2014_Rasmussen2014
818.757	779.447	Seierstad2014_Rasmussen2014
819.071	779.778	Seierstad2014_Rasmussen2014
828.459	788.494	Seierstad2014_Rasmussen2014
875.957	835.012	Seierstad2014_Rasmussen2014
877.297	836.316	Seierstad2014_Rasmussen2014
925.426	882.653	Seierstad2014_Rasmussen2014
925.913	883.104	Seierstad2014_Rasmussen2014
935.751	891.88	Seierstad2014_Rasmussen2014
937.995	894.091	Seierstad2014_Rasmussen2014
943.417	899.532	Seierstad2014_Rasmussen2014
977.716	931.785	Seierstad2014_Rasmussen2014
1013.66	966.075	Seierstad2014_Rasmussen2014
1058.252	1007.837	Seierstad2014_Rasmussen2014
1105.374	1054.615	Seierstad2014_Rasmussen2014
1108.135	1057.3	Seierstad2014_Rasmussen2014
1108.665	1057.813	Seierstad2014_Rasmussen2014
1118.097	1066.996	Seierstad2014_Rasmussen2014
1119.683	1068.542	Seierstad2014_Rasmussen2014
1122.511	1071.26	Seierstad2014_Rasmussen2014
1126.021	1074.603	Seierstad2014_Rasmussen2014
1129.793	1078.332	Seierstad2014_Rasmussen2014
1174.004	1122.099	Seierstad2014_Rasmussen2014
1178.63	1126.512	Seierstad2014_Rasmussen2014
1193.516	1141.405	Seierstad2014_Rasmussen2014
1197.419	1145.09	Seierstad2014_Rasmussen2014
1201.505	1148.964	Seierstad2014_Rasmussen2014
1206.516	1153.779	Seierstad2014_Rasmussen2014
1218.898	1165.756	Seierstad2014_Rasmussen2014
1239.98	1186.592	Seierstad2014_Rasmussen2014
1253.976	1200.504	Seierstad2014_Rasmussen2014
1269.645	1215.664	Seierstad2014_Rasmussen2014
1279.604	1225.086	Seierstad2014_Rasmussen2014
1287.552	1232.34	Seierstad2014_Rasmussen2014
1288.264	1233.044	Seierstad2014_Rasmussen2014
1300.059	1244.305	Seierstad2014_Rasmussen2014
1301.268	1245.477	Seierstad2014_Rasmussen2014
1304.509	1248.674	Seierstad2014_Rasmussen2014
1308.007	1252.09	Seierstad2014_Rasmussen2014
1313.799	1257.677	Seierstad2014_Rasmussen2014
1325.919	1269.433	Seierstad2014_Rasmussen2014
1327.328	1270.842	Seierstad2014_Rasmussen2014
1332.288	1275.675	Seierstad2014_Rasmussen2014
1333.075	1276.43	Seierstad2014_Rasmussen2014
1333.986	1277.359	Seierstad2014_Rasmussen2014
1334.455	1277.805	Seierstad2014_Rasmussen2014
1337.822	1281.033	Seierstad2014_Rasmussen2014
1346.383	1289.342	Seierstad2014_Rasmussen2014
1347.063	1289.999	Seierstad2014_Rasmussen2014
1348.414	1291.291	Seierstad2014_Rasmussen2014
1349.054	1291.906	Seierstad2014_Rasmussen2014
1349.985	1292.837	Seierstad2014_Rasmussen2014
1353.039	1295.798	Seierstad2014_Rasmussen2014
1354.018	1296.807	Seierstad2014_Rasmussen2014
1355.173	1297.89	Seierstad2014_Rasmussen2014
1357.814	1300.498	Seierstad2014_Rasmussen2014
1359.089	1301.705	Seierstad2014_Rasmussen2014
1362.615	1305.126	Seierstad2014_Rasmussen2014
1363.823	1306.285	Seierstad2014_Rasmussen2014
1364.673	1307.126	Seierstad2014_Rasmussen2014
1371.746	1313.695	Seierstad2014_Rasmussen2014
1373.681	1315.464	Seierstad2014_Rasmussen2014
1374.327	1316.103	Seierstad2014_Rasmussen2014
1381.001	1322.74	Seierstad2014_Rasmussen2014
1383.44	1325.024	Seierstad2014_Rasmussen2014
1383.834	1325.412	Seierstad2014_Rasmussen2014
1384.688	1326.232	Seierstad2014_Rasmussen2014
1386.07	1327.615	Seierstad2014_Rasmussen2014
1386.957	1328.447	Seierstad2014_Rasmussen2014
1389.858	1331.248	Seierstad2014_Rasmussen2014
1390.201	1331.612	Seierstad2014_Rasmussen2014
1390.387	1331.806	Seierstad2014_Rasmussen2014
1391.15	1332.575	Seierstad2014_Rasmussen2014
1392.612	1334.012	Seierstad2014_Rasmussen2014
1394.385	1335.716	Seierstad2014_Rasmussen2014
1399.186	1340.395	Seierstad2014_Rasmussen2014
1401.443	1342.654	Seierstad2014_Rasmussen2014
1402.579	1343.771	Seierstad2014_Rasmussen2014
1403.436	1344.622	Seierstad2014_Rasmussen2014
1404.456	1345.634	Seierstad2014_Rasmussen2014
1405.649	1346.787	Seierstad2014_Rasmussen2014
1406.334	1347.463	Seierstad2014_Rasmussen2014
1406.932	1348.063	Seierstad2014_Rasmussen2014
1407.136	1348.254	Seierstad2014_Rasmussen2014
1409.04	1350.138	Seierstad2014_Rasmussen2014
1410.037	1351.09	Seierstad2014_Rasmussen2014
1413.178	1354.21	Seierstad2014_Rasmussen2014
1413.664	1354.683	Seierstad2014_Rasmussen2014
1421.933	1362.841	Seierstad2014_Rasmussen2014
1422.372	1363.329	Seierstad2014_Rasmussen2014
1422.567	1363.492	Seierstad2014_Rasmussen2014
1423.236	1364.152	Seierstad2014_Rasmussen2014
1425.117	1366.036	Seierstad2014_Rasmussen2014
1426.9	1367.811	Seierstad2014_Rasmussen2014
1427.297	1368.187	Seierstad2014_Rasmussen2014
1428.082	1368.96	Seierstad2014_Rasmussen2014
1428.872	1369.766	Seierstad2014_Rasmussen2014
1429.732	1370.591	Seierstad2014_Rasmussen2014
1432.114	1372.949	Seierstad2014_Rasmussen2014
1433.155	1373.966	Seierstad2014_Rasmussen2014
1434.087	1374.861	Seierstad2014_Rasmussen2014
1434.436	1375.25	Seierstad2014_Rasmussen2014
1435.504	1376.324	Seierstad2014_Rasmussen2014
1437.028	1377.85	Seierstad2014_Rasmussen2014
1438.105	1378.896	Seierstad2014_Rasmussen2014
1438.504	1379.253	Seierstad2014_Rasmussen2014
1439.689	1380.488	Seierstad2014_Rasmussen2014
1440.503	1381.3	Seierstad2014_Rasmussen2014
1441.016	1381.794	Seierstad2014_Rasmussen2014
1441.585	1382.418	Seierstad2014_Rasmussen2014
1443.503	1384.144	Seierstad2014_Rasmussen2014
1444.271	1384.938	Seierstad2014_Rasmussen2014
1444.668	1385.333	Seierstad2014_Rasmussen2014
1445.479	1386.236	Seierstad2014_Rasmussen2014
1446.221	1386.981	Seierstad2014_Rasmussen2014
1446.604	1387.374	Seierstad2014_Rasmussen2014
1447.561	1388.306	Seierstad2014_Rasmussen2014
1449.42	1390.144	Seierstad2014_Rasmussen2014
1450.142	1390.859	Seierstad2014_Rasmussen2014
1450.372	1391.105	Seierstad2014_Rasmussen2014
1450.855	1391.595	Seierstad2014_Rasmussen2014
1452.334	1393.08	Seierstad2014_Rasmussen2014
1454.964	1395.693	Seierstad2014_Rasmussen2014
1455.254	1395.976	Seierstad2014_Rasmussen2014
1456.943	1397.667	Seierstad2014_Rasmussen2014
1459.141	1399.868	Seierstad2014_Rasmussen2014
1459.424	1400.116	Seierstad2014_Rasmussen2014
1460.873	1401.593	Seierstad2014_Rasmussen2014
1461.114	1401.833	Seierstad2014_Rasmussen2014
1462.655	1403.376	Seierstad2014_Rasmussen2014
1463.683	1404.403	Seierstad2014_Rasmussen2014
1465.571	1406.279	Seierstad2014_Rasmussen2014
1467.599	1408.295	Seierstad2014_Rasmussen2014
1468.616	1409.348	Seierstad2014_Rasmussen2014
1469.576	1410.311	Seierstad2014_Rasmussen2014
1469.963	1410.718	Seierstad2014_Rasmussen2014
1470.83	1411.58	Seierstad2014_Rasmussen2014
1473.386	1414.162	Seierstad2014_Rasmussen2014
1474.122	1414.89	Seierstad2014_Rasmussen2014
1476.479	1417.34	Seierstad2014_Rasmussen2014
