#Svensson Bipolar Link Sheet - only inter-greenland tiepoints added
depth1	depth2	reference
1575.712	1517.287	Svensson_Links
1597.2	1539.05	Svensson_Links
1640.88	1585.05	Svensson_Links
1653.88	1598.9	Svensson_Links
1663.79	1609.47	Svensson_Links
1669.73	1615.62	Svensson_Links
1678.25	1624.449	Svensson_Links
1692.25	1639.53	Svensson_Links
1694.24	1641.68	Svensson_Links
1708.64	1657.52	Svensson_Links
1713.915	1663.325	Svensson_Links
1715.71	1665.4	Svensson_Links
1717.28	1666.99	Svensson_Links
1718.666	1668.483	Svensson_Links
1725.74	1676.25	Svensson_Links
1744.25	1696.15	Svensson_Links
1753.92	1706.57	Svensson_Links
1787.32	1742.28	Svensson_Links
1798.17	1753.75	Svensson_Links
1799.765	1755.46	Svensson_Links
1805.39	1761.44	Svensson_Links
1812.8	1769.48	Svensson_Links
1818.88	1775.82	Svensson_Links
1821.266	1778.339	Svensson_Links
1821.52	1778.62	Svensson_Links
1835.425	1793.372	Svensson_Links
1838.6	1796.72	Svensson_Links
1915.734	1874.755	Svensson_Links
1922.77	1882.23	Svensson_Links
1963.65	1926.337	Svensson_Links
2006.76	1973.03	Svensson_Links
2030.73	1997.82	Svensson_Links
2033.89	2001.127	Svensson_Links
2050.57	2018.919	Svensson_Links
2057.05	2025.84	Svensson_Links
2059.5	2028.25	Svensson_Links
2066.17	2035.26	Svensson_Links
2086.38	2055.99	Svensson_Links
2109.92	2080.41	Svensson_Links
2117.06	2087.83	Svensson_Links
2125.72	2096.91	Svensson_Links
2160.05	2131.4	Svensson_Links
2169.35	2140.49	Svensson_Links
2179.13	2150.0	Svensson_Links
2188.78	2159.12	Svensson_Links
2202.73	2172.18	Svensson_Links
2206.65	2175.9	Svensson_Links
2217.63	2186.42	Svensson_Links
2224.844	2193.328	Svensson_Links
2229.705	2197.994	Svensson_Links
2232.367	2200.507	Svensson_Links
2234.17	2202.29	Svensson_Links
2239.51	2207.53	Svensson_Links
2256.34	2223.93	Svensson_Links
2269.62	2236.819	Svensson_Links
2274.583	2241.555	Svensson_Links
2283.78	2250.53	Svensson_Links
2285.24	2252.045	Svensson_Links
2291.12	2257.93	Svensson_Links
2299.22	2265.98	Svensson_Links
2303.13	2269.91	Svensson_Links
2315.01	2281.58	Svensson_Links
2317.11	2283.64	Svensson_Links
2320.35	2286.78	Svensson_Links
2320.62	2287.04	Svensson_Links
2324.65	2291.05	Svensson_Links
2332.678	2298.735	Svensson_Links
2339.05	2304.88	Svensson_Links
2341.167	2306.902	Svensson_Links
2343.475	2309.126	Svensson_Links
2355.18	2320.513	Svensson_Links
2362.96	2328.03	Svensson_Links
2382.3	2347.35	Svensson_Links
2386.05	2351.03	Svensson_Links
2396.69	2361.54	Svensson_Links
2401.8	2366.64	Svensson_Links
2411.08	2375.84	Svensson_Links
2421.67	2386.63	Svensson_Links
2425.618	2390.604	Svensson_Links
2449.2	2415.02	Svensson_Links
2454.18	2420.13	Svensson_Links
2454.467	2420.448	Svensson_Links
2462.903	2429.538	Svensson_Links
2464.255	2431.0	Svensson_Links
2480.283	2447.875	Svensson_Links
2482.037	2449.785	Svensson_Links
2485.052	2453.106	Svensson_Links
2489.829	2458.0	Svensson_Links
2493.25	2461.6	Svensson_Links
2522.96	2493.81	Svensson_Links
2532.45	2504.25	Svensson_Links
2576.369	2549.772	Svensson_Links
2578.57	2551.894	Svensson_Links
2591.095	2564.67	Svensson_Links
2591.64	2565.18	Svensson_Links
2593.03	2566.58	Svensson_Links
2593.868	2567.46	Svensson_Links
2602.63	2576.28	Svensson_Links
2607.9	2581.3	Svensson_Links
2621.88	2594.65	Svensson_Links
2632.4	2604.73	Svensson_Links
2636.28	2608.54	Svensson_Links
2640.711	2612.846	Svensson_Links
2644.83	2616.73	Svensson_Links
2651.9	2623.96	Svensson_Links
2658.324	2630.662	Svensson_Links
2660.27	2632.624	Svensson_Links
2662.279	2634.719	Svensson_Links
2673.537	2646.247	Svensson_Links
2678.7	2650.814	Svensson_Links
2698.934	2672.177	Svensson_Links
2708.23	2684.72	Svensson_Links
2717.206	2694.724	Svensson_Links
2728.1	2713.05	Svensson_Links
2738.6	2732.72	Svensson_Links
2756.88	2753.96	Svensson_Links
