#From Sigl Ion dataset, produced for GISP2 core. NEEM interpolation by Quinn with data from GICC21. Some tiepoints left out due to NEEM interp data ending at 410.6m
depth1	depth2	reference
32.99315	35.54782997897393	SiglIonData
35.95934	37.798441976450796	SiglIonData
39.861427	40.2335371306919	SiglIonData
42.502235	43.32243819980623	SiglIonData
46.066727	46.862582451930244	SiglIonData
48.9571	49.77920756446564	SiglIonData
51.251053	52.28463391526307	SiglIonData
56.846928	56.49377772795496	SiglIonData
58.112118	57.42877973163726	SiglIonData
62.88266	61.20711168831169	SiglIonData
64.48452	62.81321990723562	SiglIonData
72.35766	69.81969049481958	SiglIonData
76.49529	74.00638438779774	SiglIonData
77.805756	75.01660322580645	SiglIonData
79.72026	76.53058	SiglIonData
83.830124	80.19016	SiglIonData
86.51046	82.43237669404517	SiglIonData
94.95904	90.13249493472584	SiglIonData
102.130646	96.2658336920061	SiglIonData
107.7019	100.97560492021276	SiglIonData
108.862564	101.88871892730496	SiglIonData
118.08952	110.73906958424507	SiglIonData
122.378975	114.60875015706806	SiglIonData
126.49996	118.41514768201871	SiglIonData
139.61214	130.20593076056338	SiglIonData
148.39807	137.4055967836419	SiglIonData
152.27052	141.09377776824036	SiglIonData
160.24779	149.11671735383894	SiglIonData
179.84401	165.3654015068493	SiglIonData
183.53804	168.47015409656981	SiglIonData
193.18169	177.12375961904763	SiglIonData
195.48555	179.30578880208333	SiglIonData
199.5844	182.942124099777	SiglIonData
205.99373	188.86856766050053	SiglIonData
211.00575	193.54548428069	SiglIonData
213.2745	195.61326663540447	SiglIonData
215.07982	197.2188929157595	SiglIonData
217.3675	199.26257475190843	SiglIonData
219.63953	201.29615560327872	SiglIonData
230.05138	210.50610342672417	SiglIonData
232.74095	213.0768457327586	SiglIonData
234.12032	214.06802087326943	SiglIonData
251.6331	230.48437436640117	SiglIonData
253.4397	231.75752136752135	SiglIonData
256.13763	233.79907706341464	SiglIonData
272.40356	248.38417861421547	SiglIonData
274.913	250.59612405997694	SiglIonData
277.56934	253.21031801540832	SiglIonData
280.45056	255.564548	SiglIonData
286.4226	260.9405155611907	SiglIonData
291.28983	265.65064339766315	SiglIonData
298.5949	272.42834886761614	SiglIonData
310.28717	283.2643466555463	SiglIonData
313.80057	286.02956466610306	SiglIonData
318.6242	289.65598196416266	SiglIonData
327.5521	297.9442195422535	SiglIonData
328.65982	298.8350524773203	SiglIonData
339.41492	308.6575471229947	SiglIonData
340.49	309.5318426628011	SiglIonData
362.74066	329.28077237724085	SiglIonData
366.98196	332.98240357752286	SiglIonData
374.49908	339.6168196994992	SiglIonData
376.85315	341.87523216348285	SiglIonData
382.0109	346.3339156703911	SiglIonData
383.60614	347.8430112405757	SiglIonData
386.69962	350.3735477176148	SiglIonData
409.03915	370.7658240179461	SiglIonData
413.22134	374.26905724374177	SiglIonData
416.72552	377.2038398901099	SiglIonData
422.47617	382.02348454517886	SiglIonData
426.1652	385.6065621011014	SiglIonData
436.73477	394.70129413659794	SiglIonData
438.6083	396.3155936	SiglIonData
441.35675	398.6567081022187	SiglIonData
448.2275	405.11839177224203	SiglIonData
